Bavarian	Bavarian	probability
β	-	1.0
ˈɑː	-	1.0
ˈoː	-	1.0
ˈiː	-	1.0
ˈa	-	1.0
ʃ_ʋ	s	1.0
ɡ̊_#>	#>	1.0
ə	-	1.0
ç	-	1.0
x_d̥	d̥	1.0
x_#>	j_#>	1.0
s_n	ð̞ˠ_ə	1.0
r	ʁ	1.0
kʰ	kʰ	1.0
i	-	1.0
h	h	1.0
f_#>	b̥_#>	1.0
eɐ̯	-	1.0
d̥_ˈu	d̥	1.0
d̥_a	ɐ	1.0
d̥_#>	#>	1.0
b̥	b̥	1.0
a_#>	#>	1.0
<#_ˈoɐ̯	<#_ˈeˀ	1.0
<#_ʋ_ˈo	<#_ˈu	1.0
<#_ʋ	<#	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_h	<#_j	1.0
l	l	0.909
f	f	0.895
m	m	0.88
ʋ	ʋ	0.875
n_d̥	nˀ	0.778
#>	ə_#>	0.778
ˈau̯	ˈuˀ	0.7
s	s	0.684
j	lˀ	0.667
a	ə	0.621
ˈuɐ̯	ˈoˀ	0.6
d̥_n	ð̞ˠ_ə	0.6
<#_d̥	<#_d̥	0.591
ʦ	ʦʰ	0.583
ʃ	s	0.583
x	-	0.556
ˈoɐ̯	ˈeˀ	0.545
n	n	0.538
ˈi	ˈe	0.524
ˈɑ	ˈa	0.5
ˈɑ	-	0.5
ˈou̯	ˈœˀ	0.5
ˈou̯	-	0.5
ˈeː	-	0.5
ɡ̊	ɡ̊	0.5
b̥_#>	w_#>	0.5
b̥_#>	#>	0.5
ˈɒː	-	0.462
d̥	ð̞ˠ	0.462
ˈoɐ̯	-	0.455
ˈe	ˈɛ	0.444
ɐ	ɐ	0.444
ʦ	d̥	0.417
ʃ	s_ɡ̊	0.417
<#_d̥	<#_ʦʰ	0.409
ˈiɐ̯	ˈyˀ	0.4
d̥_n	ə	0.4
ˈai̯	ˈiˀ	0.389
d̥	d̥	0.346
ˈo	-	0.333
ˈi	-	0.333
ˈaː	ˈʌ	0.333
ˈaː	ˈœˀ	0.333
ˈaː	-	0.333
ˈai̯	-	0.333
j	l	0.333
s	ð̞ˠ	0.316
ˈiɐ̯	ˈyː	0.3
ˈiɐ̯	-	0.3
ˈau̯	-	0.3
ˈu	ˈʌ	0.294
ˈo	ˈo	0.278
ɐ	ɐˀ	0.278
a	ɐ	0.276
ŋ	ŋˀ	0.267
ˈeː	ˈeˀ	0.25
ɡ̊	j	0.25
ɡ̊	-	0.25
ˈu	ˈœ	0.235
ˈɒː	ˈɔˀ	0.231
ˈɒː	ˈa	0.231
n	-	0.231
ˈe	-	0.222
x	ˈɛ	0.222
x	w	0.222
n_d̥	n_ə	0.222
#>	ˈoˀ_#>	0.222
ˈuɐ̯	ˈøː	0.2
ˈuɐ̯	-	0.2
ŋ	ə	0.2
ŋ	ŋ	0.2
ŋ	-	0.2
ˈu	ˈɔ	0.176
ˈu	-	0.176
ˈo	ˈa	0.167
ˈeː	ˈøː	0.167
ˈe	ˈe	0.167
ˈe	j	0.167
ˈai̯	ˈiː	0.167
ɐ	-	0.167
ˈi	ˈø	0.143
ŋ	w_ə	0.133
ʋ	-	0.125
m	w_ə	0.12
ˈu	ˈu	0.118
n	ə	0.115
n	nˀ	0.115
d̥	-	0.115
ˈo	ˈɛ	0.111
ˈo	ˈu	0.111
ˈai̯	ˈɑ	0.111
ɐ	ˈoˀ_ɐ	0.111
f	b̥	0.105
a	ʌ	0.103
l	-	0.091
ˈeː	ˈœː	0.083
ˈɒː	ˈæˀ	0.077
d̥	ð̞ˠ_ə	0.077
