Bavarian	Nynorsk Norwegian	probability
a	e_ɾ	0.225
a	ɑ	0.203
a	ɾ	0.154
a	n	0.142
a	e	0.07
a	ə	0.065
a	ɾ_e	0.065
a	ɛ	0.055
b̥	b	0.754
b̥	-	0.233
d	d	0.229
d̥	d	0.412
d̥	-	0.356
d̥	tʰ	0.1
d̥_a	ɾ	1.0
d̥_n	ɑ	0.479
f	f	0.579
f	p	0.185
f	ʋ	0.16
h	h	0.938
h	-	0.06
i	ŋ	0.488
i	lː	0.129
i	ɑ	0.129
j	l	0.622
j	lː	0.155
j	-	0.143
j	ˈʉː	0.065
k	ʰkː	0.316
k	ç	0.151
kʰ	kʰ	0.715
kʰ	-	0.154
kʰ	ç	0.106
l	l	0.744
l	-	0.129
l	j	0.074
m	m	0.866
m	-	0.084
n	n	0.386
n	ɑ	0.258
n	-	0.242
n	nː	0.111
n_d̥	nː	1.0
p	ʋ	1.0
p͡f	ʋ	0.574
p͡f	p	0.275
r	ɾ	0.947
r	-	0.053
s	s	0.485
s	t	0.381
s	-	0.06
t	-	0.434
t	t	0.268
t	d	0.208
t	ç	0.081
x	k	0.53
x	s	0.28
x	ɡ	0.106
x_t	ʰtː	1.0
ç	k	0.548
ç	ç	0.188
ç	ɡ	0.112
ŋ	ŋː	0.4
ŋ	ɡ	0.195
ŋ	ɲ	0.129
ŋ	-	0.091
ŋ	ʰkː	0.068
ŋ	j	0.066
ɐ	ɾ	0.734
ɐ	-	0.257
ə	-	0.384
ə	ə	0.173
ə	e	0.16
ə	ʋ	0.101
ɡ̊	ɡ	0.504
ɡ̊	-	0.19
ɡ̊	ɡː	0.137
ɡ̊	j	0.12
ɪ	e	0.229
ʃ	s	0.574
ʃ	s_k	0.211
ʃ	ʃ	0.211
ʋ	ʋ	0.53
ʋ	-	0.344
ʋ	ˈʉː	0.067
ʋ	v	0.053
ʦ	tʰ	0.465
ʦ	t	0.13
ʦ	-	0.103
ʦ	ç	0.103
ʦ	çː	0.079
ʦ	ɾ_t	0.078
ˈa	ˈɑ	0.556
ˈa	e	0.153
ˈa	ˈɑː	0.146
ˈa	ˈæʉ̯	0.074
ˈai̯	ˈiː	0.443
ˈai̯	ˈyː	0.296
ˈai̯	ˈʏ	0.071
ˈai̯	ˈɛ	0.057
ˈai̯	ˈeː	0.057
ˈai̯	ˈæɪ̯	0.053
ˈai̯_t	ˈiː	1.0
ˈau̯	ˈʉː	0.789
ˈau̯	ˈæʉ̯	0.079
ˈau̯	ˈʉ	0.076
ˈaː	ˈæʉ̯	0.291
ˈaː	ˈoː	0.253
ˈaː	ˈœʏ̯	0.151
ˈaː	ˈɑ	0.151
ˈe	ˈɛ	0.32
ˈe	ˈøː	0.19
ˈe	j	0.134
ˈe	ˈʉː	0.105
ˈe	ˈɛː	0.091
ˈe	ˈœʏ̯	0.066
ˈeɐ̯	ˈiː	0.234
ˈeɐ̯	ˈuː	0.234
ˈeɐ̯	ˈøː	0.234
ˈeː	ˈøː	0.403
ˈeː	ˈeː	0.168
ˈeː	ˈiː	0.138
ˈeː	ˈɛ	0.138
ˈi	ˈɪ	0.3
ˈi	ˈiː	0.22
ˈi	ˈʏ	0.161
ˈi	ˈeː_ɡ	0.117
ˈi	ˈeː	0.077
ˈi	ˈɛ	0.058
ˈi	ˈʊ	0.058
ˈiɐ̯	ˈøː	0.301
ˈiɐ̯	ˈeː	0.199
ˈiɐ̯	ˈuː	0.199
ˈiɐ̯	ˈyː	0.118
ˈiɐ̯	ˈʉː	0.118
ˈiː	ˈyː	0.53
ˈiː	ˈɪ	0.304
ˈiː	ˈʉː	0.1
ˈo	ˈɑ	0.372
ˈo	ˈʉ	0.209
ˈo	ˈɑː	0.127
ˈo	ˈʏ	0.094
ˈo	ˈɛ	0.087
ˈo	ˈæɪ̯	0.065
ˈou̯	ˈæʉ̯	1.0
ˈoɐ̯	ˈæɪ̯	0.37
ˈoɐ̯	ˈʊ_ɾ	0.123
ˈoɐ̯	ˈɑ	0.097
ˈoɐ̯	ˈuː	0.093
ˈoɐ̯	ˈiː	0.071
ˈoɐ̯	ˈæʉ̯	0.071
ˈoɐ̯	ˈœʏ̯	0.057
ˈoɐ̯	ˈoː	0.056
ˈoː	ˈɑː	0.771
ˈoː	ˈɔ	0.097
ˈoː	ˈʉ	0.058
ˈu	ˈʊ	0.285
ˈu	ˈʏ	0.248
ˈu	ˈɔ	0.229
ˈu	ˈœ	0.112
ˈu	-	0.081
ˈuɐ̯	ˈuː	0.857
ˈuɐ̯	ˈʉː	0.118
ˈy	ˈoː	0.479
ˈɒ	ˈɑ	0.348
ˈɒ	ˈɑː	0.348
ˈɒ	ˈɛ	0.132
ˈɒ	ˈɔ	0.087
ˈɒː	ˈɑ	0.392
ˈɒː	ˈoː	0.216
ˈɒː	ˈɑː	0.216
ˈɔ	ˈoː	0.502
ˈɔ	ˈɔ	0.19
ˈɔ	ˈɑ	0.165
ˈɔ	ˈʉː	0.125
ˈɛ	ˈeː	0.242
ˈɛ	ˈɛ	0.211
ˈɛ	ˈɔ	0.139
ˈɛ	ˈɛː	0.139
ˈɛ	ˈʏ	0.098
ˈɛ	ˈœ	0.071
ˈɛː	ˈøː	0.479
ˈʏ	ˈʏ	0.229
