Afrikaans	Afrikaans	probability
χ_ə	ɣ	1.0
χ_r	ɡ_r	1.0
ˈʊə̯_t	ˈaʊ̯_t	1.0
ˈɛː	ˈɛ	1.0
ˈə	ˈɪ	1.0
ˈœ	ˈʏ	1.0
ˈæː_r	ˈaː	1.0
ˈæː	-	1.0
ˈyː	ˈyː	1.0
ˈoː	-	1.0
ˈi_χ	ˈae̯_ŋ	1.0
ˈa_r	ˈaː	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_r	æ	1.0
w	ˈae̯	1.0
v̥_#>	v̥_#>	1.0
s_ə	z	1.0
s_k	ʃ	1.0
r_s	s_t	1.0
n_t	n_t	1.0
n_d	n	1.0
m	m	1.0
i	ae̯	1.0
d_ə	ɾ	1.0
d	d	1.0
b	b	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
t	t	0.935
v̥	f	0.926
p	p	0.917
n	n	0.909
v	v	0.852
ˈœɪ̯	ˈuː	0.818
d̥	d̥	0.806
ˈa	ˈa	0.8
ˈæ	ˈɛ	0.714
ˈəɪ̯	ˈiː	0.706
ŋ	ŋ	0.688
ˈɑː	ˈɒː	0.625
ˈu	ˈaʊ̯	0.625
ˈœu̯	ˈɔ_l	0.6
j	-	0.6
k	k	0.567
ˈɔ	ˈʊ	0.565
ˈi	ˈae̯	0.562
ˈʊə̯_r	ˈuː	0.5
ˈʊə̯_r	æ	0.5
ˈɪø̯	ˈœː	0.5
ˈɪø̯	-	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ə	æ	0.462
ˈɪə̯	ˈae̯	0.45
k	kʰ	0.433
ˈʊə̯	ˈaʊ̯	0.4
ˈœu̯	ˈuː	0.4
j	j	0.4
r	r	0.395
s	ʃ	0.385
ˈu	ˈɔʏ̯	0.375
χ	ç	0.353
r	æ	0.349
s	z	0.327
ə	ɪ	0.308
ˈɪə̯	ˈɛː	0.3
ˈæ	-	0.286
#>	t_#>	0.286
#>	d̥_#>	0.286
χ	ɡ	0.265
ˈʊə̯	-	0.25
ˈi	ˈiː	0.25
ə	-	0.231
ˈɔ	ˈɔ	0.217
ˈɔ	-	0.217
#>	ŋ_#>	0.214
#>	b_m_#>	0.214
ˈɑː	-	0.208
χ	x	0.206
ŋ	n	0.188
ˈœɪ̯	ˈyː	0.182
ˈəɪ̯	ˈɪ	0.176
s	z̥	0.154
ˈʊə̯	ˈɔʏ̯	0.15
ˈʊə̯	ˈuː	0.15
ˈɪə̯	ˈɛ	0.15
v	w	0.148
s	s	0.135
ˈa	-	0.133
d̥	n	0.129
ˈɑː	ˈoː	0.125
ˈi	-	0.125
ŋ	-	0.125
χ	j	0.118
ˈəɪ̯	ˈae̯	0.118
ˈɪə̯	-	0.1
r	-	0.093
p	pʰ	0.083
v̥	m	0.074
r	ɾ_æ	0.07
ˈa	ˈaː	0.067
t	-	0.065
d̥	-	0.065
ˈi	ˈaɪ̯	0.062
χ	ɣ̊	0.059
n	-	0.055
