Sixian	Sixian	probability
⁵⁵	⁴⁵	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɨ	z̩	1.0
ɕ	ɕ	1.0
¹¹	¹¹	1.0
²	²	1.0
w	w	1.0
v	v	1.0
t̚	ʔ	1.0
p̚	ʔ	1.0
pʰ	pʰ͡x	1.0
o_ŋ	ɒ̃	1.0
o_j	a_j	1.0
n_a	n	1.0
l	l	1.0
k̚	ʔ	1.0
j_²⁴	j_¹¹	1.0
j_u	ỹ	1.0
i_²⁴	z̩_¹¹	1.0
e_n	e	1.0
a_ŋ	ŋ	1.0
a_n	æ̃	1.0
a_m	æ̃	1.0
³¹	⁵³	0.958
²⁴	¹¹	0.861
n	ŋ	0.75
ŋ	ŋ	0.733
s	s	0.733
p	p	0.714
⁵	²	0.667
tʰ	tʰ͡x	0.667
f	f	0.667
a	a	0.667
m	m	0.6
k	ʨ	0.6
e	ə	0.529
ɲ	ʐ	0.5
t	ʦ	0.5
t	t	0.5
o_n	æ̃	0.5
o_n	w_æ̃	0.5
kʰ	ʨʰ	0.5
kʰ	kʰ͡x	0.5
j	j	0.444
<#	<#_ɣ	0.429
h	x	0.417
k	k	0.4
⁵	⁵⁴	0.333
tʰ	t	0.333
f	x_w	0.333
o	ɤ	0.308
o	a_w	0.308
i	i	0.3
p	f	0.286
<#	<#_ʦ	0.286
<#	<#_v	0.286
u	ə	0.281
ŋ	-	0.267
j	ɥ	0.259
ɲ	n	0.25
ɲ	-	0.25
u	ũ	0.25
n	ə̃_ŋ	0.25
i	ĩ	0.25
a	-	0.222
m	ŋ	0.2
m	æ̃	0.2
j	-	0.185
e	a	0.176
e	-	0.176
h	ʨʰ	0.167
h	ɕ	0.167
h	kʰ͡x	0.167
u	ə̃	0.156
u	ə_w	0.156
u	u	0.156
o	w_a	0.154
o	-	0.154
i	ə_ɻ	0.15
i	y	0.15
i	e_j	0.15
²⁴	⁵³	0.139
s	ɕ	0.133
s	-	0.133
e	j_a	0.118
j	w	0.111
a	ĩ	0.111
h	h	0.083
o	o	0.077
