Nynorsk Norwegian	Luxembourgish	probability
b	b	1.0
d	d	0.655
d	t	0.341
e	-	0.566
e	ɐ	0.275
e	ə	0.102
f	f	1.0
h	h	0.916
h	-	0.083
j	-	0.499
j	ɡ	0.188
j	ʑ	0.121
j	ˈɛː	0.103
k	ɕ	0.573
k	χ	0.225
k	k	0.196
kʰ	kʰ	0.795
kʰ	f	0.196
kʰ_ʋ	v	1.0
l	l	0.895
l	l_ə	0.07
lː	l	1.0
m	m	0.925
m	v	0.053
m_j	m	1.0
mː	m	0.489
n	n	0.65
n	-	0.313
nː	n	0.46
nː	n_t	0.396
nː	-	0.131
p	f	0.778
p	p	0.165
p_e	f	1.0
pʰ	f	0.489
s	ʃ	0.415
s	z	0.353
s	s	0.198
s_e	s	1.0
s_k	ʃ	1.0
sː	s	0.489
t	s	0.542
t	t	0.319
t	ʦ	0.114
tʰ	d	0.584
tʰ	ʦ	0.404
v	v	0.239
ç	d	0.463
ç	t	0.149
ç	kʰ	0.141
ç	ɕ	0.141
çː	ʦ	0.239
ŋ	e	1.0
ŋː	ŋ	1.0
ɑ	ə_n	0.726
ɑ	-	0.186
ə	ˈɑɪ̯	0.239
ɛ	-	0.574
ɛ	ɐ	0.281
ɡ	ɡ	0.392
ɡ	ɕ	0.269
ɡ	-	0.261
ɡ	χ	0.056
ɡ_l	l	1.0
ɡː	k	0.74
ɡː	-	0.192
ɲ	ŋ	1.0
ɾ	ʀ	0.452
ɾ	ɐ	0.259
ɾ	-	0.212
ʃ	ʃ	0.742
ʃ	z	0.104
ʃ	m	0.068
ʉ	-	1.0
ʋ	v	0.425
ʋ	-	0.274
ʋ	ə_f	0.136
ʋ	w	0.103
ʰkː	ŋ_k	0.53
ʰkː	k	0.461
ʰtː	ɕ_t	0.616
ʰtː	χ	0.215
ʰtː	t	0.131
ˈeː	ˈiə̯	0.218
ˈeː	ˈə	0.137
ˈeː	ˈəɪ̯	0.125
ˈeː	ˈi	0.095
ˈeː	ˈeː	0.093
ˈeː	ˈɑɪ̯	0.093
ˈeː	ˈɛ	0.09
ˈeː	ˈæːɪ̯	0.069
ˈiː	ˈæːɪ̯	0.392
ˈiː	ˈə	0.156
ˈiː	ˈe_ŋ	0.136
ˈiː	ˈæɪ̯	0.136
ˈiː	ˈɑɪ̯	0.071
ˈiː	-	0.056
ˈoː	ˈoː	0.45
ˈoː	ˈəɪ̯	0.171
ˈoː	ˈɑ	0.149
ˈoː	ˈi	0.098
ˈoː	ˈæ	0.075
ˈuː	ˈʊ_t	0.259
ˈuː	ˈu	0.244
ˈuː	ˈʊ	0.225
ˈuː	ʀ	0.09
ˈuː	ˈəʊ̯	0.09
ˈyː	ˈɑɪ̯	0.585
ˈyː	ˈəɪ̯	0.409
ˈæ	ˈiː	0.117
ˈæɪ̯	ˈeː	0.678
ˈæɪ̯	ˈoː	0.174
ˈæɪ̯	ˈɛ	0.122
ˈæʉ̯	ˈaː	0.423
ˈæʉ̯	ˈəʊ̯_t	0.369
ˈæʉ̯	ˈəɪ̯	0.129
ˈæːɪ̯	ˈeː	1.0
ˈøː	ˈəɪ̯	0.625
ˈøː	ˈe	0.133
ˈøː	ˈiə̯	0.082
ˈøː	ˈiː	0.067
ˈœ	ˈiː	0.322
ˈœ	ˈə	0.322
ˈœʏ̯	ˈaː	0.297
ˈœʏ̯	ˈeː	0.181
ˈœʏ̯	ˈəɪ̯	0.181
ˈœʏ̯	ˈəʊ̯	0.181
ˈɑ	ˈɑ	0.519
ˈɑ	ˈaː	0.257
ˈɑ	ˈoː	0.065
ˈɑ	-	0.054
ˈɑ	ˈu	0.054
ˈɑ	ˈuə̯	0.054
ˈɑ_ɾ	ˈaː	1.0
ˈɑː	ˈaː	0.676
ˈɑː	ˈuə̯	0.208
ˈɑː	ˈu	0.096
ˈɔ	ˈuː	0.266
ˈɔ	ˈuə̯	0.201
ˈɔ	ˈaː	0.153
ˈɔ	ˈiə̯	0.11
ˈɔ	ˈɑɪ̯	0.107
ˈɔ	ˈʊɪ̯	0.107
ˈɛ	ˈeː	0.217
ˈɛ	ˈə	0.189
ˈɛ	ˈɛ	0.16
ˈɛ	ˈiː	0.14
ˈɛ	ˈaː	0.122
ˈɛ	ˈæ	0.075
ˈɛ	ˈɛː	0.07
ˈɛː	ˈɛː	0.322
ˈɛː	ˈiə̯	0.157
ˈɪ	ˈɑ	0.305
ˈɪ	ˈə	0.281
ˈɪ	ˈe	0.171
ˈɪ	ˈi	0.098
ˈɪ	ˈaː	0.096
ˈʉ	ˈo	0.244
ˈʉ	v_ˈo	0.171
ˈʉ	ˈiː	0.14
ˈʉ	ˈu	0.14
ˈʉ	ˈɔ	0.14
ˈʉ	ˈə	0.098
ˈʉː	ˈæːʊ̯	0.465
ˈʉː	ˈəɪ̯	0.234
ˈʉː	ˈu	0.092
ˈʉː	ˈiə̯	0.071
ˈʉː	ˈo	0.071
ˈʉː	ˈəʊ̯	0.055
ˈʊ	ˈaː	0.311
ˈʊ	ˈe	0.122
ˈʊ	ˈi	0.122
ˈʊ	ˈɑɪ̯	0.122
ˈʊ	ˈɔ	0.122
ˈʊ	ˈæ	0.09
ˈʊ	j	0.051
ˈʏ	ˈo	0.242
ˈʏ	ˈe	0.159
ˈʏ	ˈə	0.139
ˈʏ	ˈɑ	0.121
ˈʏ	ˈiː	0.092
ˈʏ	ˈæːɪ̯	0.089
ˈʏ	w	0.084
