Icelandic	Scots	probability
a	-	0.737
a	ə	0.248
aːu̯	i	1.0
b̥	b	0.925
b̥	-	0.075
c	-	0.528
c	k	0.472
cʰ	k	0.565
cʰ	kʰ	0.421
d̥	d	0.925
d̥	-	0.075
f	f	0.977
h	h	1.0
i	-	1.0
j	-	0.405
j	ˈiː	0.226
j	ˈi	0.191
j	ˈeː	0.111
k	k	0.741
k	-	0.189
k	ʧ	0.069
kʰ	kʰ	0.748
kʰ	ʍ	0.252
l	l	0.971
l̥	-	0.495
l̥	l	0.432
l̥	d	0.073
m	m	0.942
n	n	0.907
nː	n	0.535
nː	θ	0.348
nː	ð	0.117
n̥	n	0.778
n̥	-	0.222
p	p	0.875
p	m	0.067
p	-	0.058
pʰ	pʰ	1.0
r	r	0.861
r	-	0.107
rː̥	ˈaɪ̯	1.0
r̥	-	0.714
r̥	r	0.286
s	s	0.771
s	ʃ	0.13
sː	s	1.0
t	t	0.794
t	-	0.206
tʰ	tʰ	1.0
u	ˈu	0.357
u	i	0.321
u	ˈɪ	0.321
v	w	0.481
v	-	0.354
v	v	0.092
x	x	0.945
x	-	0.055
ç	h	1.0
ð	d	0.559
ð	ð	0.182
ð	θ	0.115
ð	-	0.103
ŋ	ŋ	0.775
ŋ	-	0.225
ɑu̯	e	1.0
ɛ	ˈeː	1.0
ɛː	ɪ	1.0
ɟ̊	ɡ	0.657
ɟ̊	-	0.343
ɟ̊ː	-	0.5
ɟ̊ː	ɡ	0.5
ɡ̊	-	0.588
ɡ̊	ɡ	0.232
ɡ̊	j	0.1
ɡ̊	ç	0.081
ɡ̊ː	ɡ	0.424
ɡ̊ː	ʤ	0.306
ɡ̊ː	-	0.27
ɣ	-	0.976
ɪ	ə	0.885
ɪ	-	0.115
ɲ	ŋ	1.0
ʏ	-	0.868
ʏ	ə	0.109
ʰk	k	0.51
ʰk	ŋ_k	0.49
ʰp	p	1.0
ʰt	ç	0.508
ʰt	t	0.372
ʰt	x	0.109
ˈa	ˈa	0.319
ˈa	ˈeː	0.312
ˈa	ˈɑː	0.215
ˈa	ˈɛ	0.078
ˈai̯	ˈi	0.717
ˈai̯	w	0.283
ˈau̯	ˈɛ	0.577
ˈau̯	ˈeː	0.335
ˈau̯	ˈɑː	0.088
ˈaː	ˈeː	0.26
ˈaː	ˈe	0.237
ˈaː	ˈa	0.162
ˈaː	ˈɑː	0.093
ˈaː	j	0.069
ˈaː	ˈɛ	0.069
ˈaː	ˈɪ	0.054
ˈaː	ˈiː	0.054
ˈaːi̯	ˈi	0.461
ˈaːi̯	ˈɑː	0.296
ˈaːi̯	ˈø	0.139
ˈaːi̯	ˈɛ	0.105
ˈaːu̯	ˈeː	0.685
ˈaːu̯	ˈʌ	0.168
ˈaːu̯	ˈoː	0.146
ˈeːi̯	ˈiː	0.531
ˈeːi̯	ˈeː	0.469
ˈi	ˈɪ	0.912
ˈi	ˈʌu̯	0.088
ˈiː	ˈəi̯	0.447
ˈiː	ˈuː	0.234
ˈiː	ˈiː	0.205
ˈou̯	ˈi	0.38
ˈou̯	ˈa	0.31
ˈou̯	ˈʌu̯	0.31
ˈoːu̯	-	0.458
ˈoːu̯	ˈɪ	0.174
ˈoːu̯	ˈø	0.166
ˈoːu̯	ˈʌu̯	0.107
ˈoːu̯	ˈu	0.051
ˈu	ˈʌ	0.72
ˈu	w	0.139
ˈu	ˈu	0.08
ˈu	ˈɪ	0.061
ˈuː	-	0.441
ˈuː	ˈu	0.318
ˈuː	ˈuː	0.149
ˈuː	ˈəi̯	0.053
ˈœ	ˈø	0.271
ˈœ	-	0.243
ˈœ	ˈɑː	0.15
ˈœ	j	0.131
ˈœ	ˈi	0.087
ˈœ	ˈa	0.059
ˈœ	ˈe	0.059
ˈœː	ˈɛ	0.563
ˈœː	ˈɑː	0.228
ˈœː	ə	0.145
ˈœː	ˈi	0.063
ˈœːy̯	ˈi	0.334
ˈœːy̯	ˈe	0.291
ˈœːy̯	ˈiː	0.214
ˈœːy̯	ˈeː	0.161
ˈɑu̯	ˈa	0.427
ˈɑu̯	ˈɑː	0.414
ˈɑu̯	ˈɛ	0.159
ˈɑːu̯	ˈi	0.529
ˈɑːu̯	j	0.147
ˈɑːu̯	ˈiː	0.101
ˈɑːu̯	ˈø	0.075
ˈɑːu̯	ˈeː	0.061
ˈɑːu̯	-	0.057
ˈɔ	w	0.365
ˈɔ	ˈo	0.349
ˈɔ	-	0.119
ˈɔ	ˈoː	0.079
ˈɔu̯	ˈɪ	0.595
ˈɔu̯	ˈo	0.259
ˈɔu̯	ˈø	0.146
ˈɔː	ˈʌ	0.355
ˈɔː	ˈi	0.334
ˈɔː	ˈɪ	0.312
ˈɛ	ˈɛ	0.301
ˈɛ	-	0.216
ˈɛ	ˈɔɪ̯	0.116
ˈɛ	ˈʌ	0.111
ˈɛ	ˈɪ	0.069
ˈɛ	ˈe	0.055
ˈɛ	ə	0.055
ˈɛi̯	ˈe	1.0
ˈɛː	-	0.404
ˈɛː	ˈɛ	0.151
ˈɛː	ˈiː	0.128
ˈɛː	ˈeː	0.081
ˈɛː	ˈa	0.052
ˈɛː	ˈɪ	0.052
ˈɛːi̯	ˈe	0.5
ˈɛːi̯	ˈiː	0.299
ˈɛːi̯	-	0.149
ˈɛːi̯	ˈi	0.052
ˈɪ	ˈɪ	0.783
ˈɪ	ˈaːɪ̯	0.089
ˈɪ	ˈo	0.085
ˈɪː	ˈo	0.372
ˈɪː	ˈɪ	0.326
ˈɪː	ˈe	0.151
ˈɪː	ˈi	0.151
ˈʏ	ˈʌ	0.361
ˈʏ	ˈu	0.323
ˈʏ	-	0.111
ˈʏ	ˈɪ	0.098
ˈʏ	ˈuː	0.08
ˈʏː	ˈɪ	0.545
ˈʏː	ˈəi̯	0.131
ˈʏː	ˈiː	0.108
ˈʏː	ˈo	0.108
ˈʏː	ˈɛ	0.108
θ	θ	0.816
θ	d	0.106
θ	j	0.056
