Northern Low Saxon	Icelandic	probability
b	b̥	0.709
b	p_ʏ	0.094
b	p	0.082
b	ʰp	0.054
b	v	0.051
d	ð	0.273
d	d̥	0.216
d	θ	0.154
d	t_ʏ	0.111
d	t	0.09
f	f	0.787
f	-	0.093
f	v_ʏ	0.088
f	d̥	0.034
h	h	0.859
h	ç	0.133
i	u	0.468
j	ˈeːi̯	0.219
k	c	0.269
k	ʰk	0.269
kʰ	kʰ	0.573
kʰ	cʰ	0.191
kʰ	-	0.094
l	l	0.573
l	l̥	0.346
l	-	0.04
l	ʏ	0.037
m	m	0.519
m	m_ʏ	0.208
m	v_a	0.108
m	a	0.07
m	-	0.04
n	n	0.426
n	a	0.166
n	-	0.135
n	nː	0.123
n	t_n̥	0.051
p	p	0.468
r	r	0.865
r	-	0.107
r	r̥	0.033
s	s	0.729
s	s_t	0.142
s	v	0.053
s	sː	0.051
s	r	0.033
t	t	0.569
t	d̥	0.197
t	-	0.094
t	n	0.092
tʰ	tʰ	1.0
v	v	0.651
v	-	0.296
v	ʰt	0.047
x	ɣ	0.372
x	r̥	0.138
x	-	0.125
x	ʰt	0.125
x	ɡ̊	0.08
x_d	ʰt	1.0
z	s	0.916
z	m	0.084
ç	r̥	0.214
ç	ʏ_r̥	0.138
ç	ɣ_ʏ	0.12
ç	rː̥	0.104
ç	s	0.104
ŋ	ŋ	0.585
ŋ	-	0.171
ŋ	ɡ̊	0.098
ŋ	a	0.073
ŋ	ɲ	0.054
ɐ	r̥	0.304
ɐ	ɪ	0.275
ɐ	r	0.177
ɐ	r_t	0.123
ɐ	-	0.062
ə	ˈœː	0.219
ɡ	ɡ̊	0.385
ɡ	k	0.279
ɡ	ɟ̊	0.184
ɡ	ʰk	0.09
ɡ	c	0.048
ɪ	ɡ̊_ʏ	0.477
ɪ	ɑu̯	0.361
ɪ	ɛː	0.066
ʃ	s	0.442
ʃ	s_k	0.277
ʃ	c	0.263
ʒ	-	1.0
ˈa	ˈa	0.311
ˈa	ˈaː	0.215
ˈa	ˈɑu̯	0.156
ˈa	ˈɛ	0.095
ˈa	ˈa_r̥	0.068
ˈaɪ̯	j	0.287
ˈaɪ̯	j_ˈoːu̯	0.149
ˈaɪ̯	ˈɛːi̯	0.127
ˈaɪ̯	j_ˈuː	0.11
ˈaɪ̯	ˈiː	0.085
ˈaʊ̯	ˈœːy̯	0.261
ˈaʊ̯	ˈoːu̯	0.261
ˈaʊ̯	ˈɔ	0.084
ˈaʊ̯	ˈa	0.077
ˈaʊ̯	ˈɔu̯	0.051
ˈaː	ˈa_r	0.225
ˈaː	ˈɪ	0.155
ˈaː	ˈa	0.129
ˈaː	ˈɑu̯	0.1
ˈaː	ˈɛ	0.083
ˈeɪ̯	ˈaː	0.401
ˈeɪ̯	ˈɛ	0.401
ˈeɪ̯	j_ˈoːu̯	0.072
ˈeː	ˈɛ	0.195
ˈeː	ˈɛː	0.195
ˈeː	ˈɪː	0.129
ˈeː	ˈaːi̯	0.093
ˈeː	ˈiː	0.089
ˈiː	ˈiː	0.714
ˈiː	ˈɛː	0.133
ˈiː	ˈɪ	0.088
ˈiː	ˈɪː	0.052
ˈoː	ˈɑːu̯	0.352
ˈoː	ˈaː	0.173
ˈoː	ˈa	0.112
ˈoː	ˈœ	0.112
ˈoː	ˈɔː	0.058
ˈuː	ˈuː	0.705
ˈuː	ˈʏ	0.151
ˈuː	ˈoːu̯	0.085
ˈyː	ˈiː	0.478
ˈyː	ˈi	0.148
ˈyː	ʏ	0.091
ˈyː	ˈʏː	0.091
ˈø	ˈɛ	1.0
ˈøː	ˈɔː	0.242
ˈøː	ˈœː	0.15
ˈøː	ˈɛː	0.15
ˈøː	ˈi	0.141
ˈøː	ˈiː	0.141
ˈœ	ˈou̯	1.0
ˈœː	ˈʏ	0.407
ˈœː	ˈɛ	0.089
ˈɔ	ˈʏː	0.211
ˈɔ	r	0.13
ˈɔ	ˈa	0.13
ˈɔ	ˈɔu̯	0.13
ˈɔ	ˈɔ	0.084
ˈɔʏ̯	ˈaːi̯	0.245
ˈɔʏ̯	ˈeːi̯	0.162
ˈɔʏ̯	ˈɛːi̯	0.162
ˈɔʏ̯	ˈʏ	0.162
ˈɔʏ̯	ˈou̯	0.072
ˈɔː	ˈɔ	1.0
ˈɛ	j	0.509
ˈɛ	ˈɛː	0.154
ˈɛ	ˈaː	0.126
ˈɛ	ˈɛ	0.079
ˈɛɪ̯	ˈɛi̯	0.66
ˈɛɪ̯	ˈa	0.145
ˈɪ	ˈɪ	0.233
ˈɪ	ˈɛ	0.19
ˈɪ	ˈi	0.116
ˈɪ	ˈɪː	0.093
ˈɪ	ˈiː	0.081
ˈʊ	ˈu	0.372
ˈʊ	ˈʏ	0.232
ˈʊ	ˈʏ_t	0.232
ˈʊ	ˈou̯	0.072
ˈʊ	ˈɔ	0.072
ˈʏ	ˈai̯	0.346
ˈʏ	ˈɪ	0.301
ˈʏ	ˈʏ	0.173
ˈʏ	ˈʏː	0.173
