Bokmål Norwegian	Danish	probability
b	b̥	1.0
d	d̥	0.713
d	ð̞ˠ	0.232
d	-	0.055
f	f	0.939
f	-	0.061
h	h	1.0
i	i	1.0
j	j	0.733
j	ɡ̊	0.267
k	k	0.509
k	j	0.327
k	-	0.155
kʰ	kʰ	1.0
kː	k	1.0
l	l	0.937
l	lˀ	0.063
lː	lˀ	0.817
lː	l	0.183
m	m	0.946
m	mˀ	0.054
mː	m	0.888
mː	mˀ	0.112
n	n	0.964
nː	nˀ	0.526
nː	n	0.474
p	b̥	0.922
p	p	0.078
pʰ	pʰ	1.0
pː	p	1.0
s	s	1.0
sː	s	1.0
t	ð̞ˠ	0.643
t	t	0.357
tʰ	ʦʰ	0.976
tː	ð̞ˠ	0.677
tː	t	0.323
ŋ	ŋ	1.0
ŋː	ŋˀ	0.652
ŋː	ŋ	0.348
ɕ	kʰ	0.95
ə	ə	0.763
ə	-	0.235
ɡ	ɡ̊	0.531
ɡ	w	0.353
ɡ	-	0.115
ɡː	ɡ̊	1.0
ɪ	e	1.0
ɳ	n	0.449
ɳ	ɐ_n	0.289
ɳ	ɐˀ_n	0.262
ɾ	ɐ	0.421
ɾ	ʁ	0.4
ɾ	ɐˀ	0.102
ɾ	-	0.052
ʂ	s	1.0
ʃ	k	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	ʋ	0.721
ʋ	w	0.211
ʋ	wˀ	0.055
ˈeː	ˈeˀ	0.619
ˈeː	ˈɛː	0.104
ˈeː	ˈeː	0.091
ˈeː	ˈɛˀ	0.091
ˈiː	ˈiˀ	0.683
ˈiː	ˈiː	0.294
ˈoː	ˈɔˀ	0.488
ˈoː	ˈɔː	0.283
ˈoː	ˈɒˀ	0.118
ˈoː	ˈoː	0.059
ˈoː	ˈɒː	0.053
ˈuː	ˈoˀ	0.381
ˈuː	ˈo	0.308
ˈuː	ˈoː	0.116
ˈuː	ɐˀ	0.089
ˈuː	ˈʌ	0.089
ˈyː	ˈyˀ	0.626
ˈyː	ˈyː	0.262
ˈyː	ˈi	0.112
ˈæ	j	0.658
ˈæ	ˈɑ	0.342
ˈæɪ̯	ˈeˀ	0.391
ˈæɪ̯	jˀ	0.343
ˈæɪ̯	ˈɑˀ	0.211
ˈæɪ̯	ˈɑ	0.055
ˈæː	ˈɛˀ	0.388
ˈæː	ˈeˀ	0.272
ˈæː	ˈɛ	0.196
ˈæː	ˈæ	0.143
ˈøː	ˈœˀ	0.347
ˈøː	ˈøː	0.291
ˈøː	ˈeˀ	0.088
ˈøː	ˈøˀ	0.088
ˈøː	ˈʌ	0.067
ˈøː	ˈʌˀ	0.066
ˈøː	ˈœː	0.054
ˈœ	ˈœ	0.586
ˈœ	ˈœˀ	0.414
ˈœʏ̯	ˈʌˀ	1.0
ˈɑ	ˈa	0.459
ˈɑ	ˈɑ	0.182
ˈɑ	ˈɛ	0.144
ˈɑ	ˈɑˀ	0.125
ˈɑː	ˈɑː	0.348
ˈɑː	ˈɑˀ	0.186
ˈɑː	ˈa	0.166
ˈɑː	ˈaː	0.109
ˈɑː	ˈɛˀ	0.066
ˈɑː	ˈʌ	0.057
ˈɔ	ˈʌ	0.55
ˈɔ	ˈɔˀ	0.18
ˈɔ	ˈoˀ	0.097
ˈɔ	ˈɒ	0.074
ˈɔ	ˈɔ	0.074
ˈɛ	ˈɛ	0.32
ˈɛ	ˈe	0.193
ˈɛ	ˈɛˀ	0.158
ˈɛ	ˈeˀ	0.103
ˈɛ	ˈɑ	0.089
ˈɪ	ˈe	0.847
ˈɪ	ˈi	0.125
ˈʉ	ˈu	0.521
ˈʉ	ˈɔ	0.43
ˈʉː	ˈuˀ	0.55
ˈʉː	ˈuː	0.232
ˈʉː	ˈu	0.104
ˈʉː	ˈyˀ	0.051
ˈʊ	ˈʌ	0.53
ˈʊ	ˈo	0.285
ˈʊ	ˈɒ	0.185
ˈʏ	ˈø	0.39
ˈʏ	ˈœ	0.367
ˈʏ	ˈy	0.242
