East Frisian Low Saxon	East Frisian Low Saxon	probability
χ_t	ʃ_d̥	1.0
χ	x	1.0
ˈʏə̯	ˈɪ	1.0
ˈʊə̯	-	1.0
ˈɪə̯	ˈaɪ̯	1.0
ˈɪ_n	n	1.0
ˈɛːɪ̯_#>	ˈaɪ̯_#>	1.0
ˈɛːɪ̯	ˈeː	1.0
ˈɛə̯	-	1.0
ˈɔː	ˈoː	1.0
ˈɒːɒ̯	-	1.0
ˈɑːʊ̯	-	1.0
ˈɑːɑ̯_j	ˈɑːɪ̯	1.0
ˈɑːɑ̯	ˈɑ	1.0
ˈɑɪ̯	ˈẽː	1.0
ˈœːy̯	ˈu	1.0
ˈœy̯_n	ˈĩː	1.0
ˈœy̯	ˈiː	1.0
ˈøː_n	ˈõː	1.0
ˈøy̯	ˈuː	1.0
ˈæː	ˈiː	1.0
ˈyː	ˈaɪ̯	1.0
ˈuːu̯	ˈau̯	1.0
ˈoːo̯	-	1.0
ˈiːi̯	ˈaɪ̯	1.0
ˈiː_n	ˈɑ̃ɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈeːe̯	ˈɛ_r	1.0
ʊ	ˈu	1.0
ɫ	l	1.0
ɣ̊_#>	ɡ̊_#>	1.0
ɣ̊	ʃ	1.0
ɡ̊	ɪ	1.0
ɡ_n	n	1.0
ə	-	1.0
ɑɪ̯	eː	1.0
z̥	s	1.0
w	β	1.0
v̥_#>	b̥_#>	1.0
v	β	1.0
t_n	s_ə	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_#>	ɡ̊_s_#>	1.0
r	r	1.0
p_#>	f_#>	1.0
o	ˈɑ	1.0
n_n	n_ə	1.0
m	m	1.0
l_ˈoː	l_ˈɑː	1.0
l_d̥	l_d̥	1.0
l	l	1.0
k_n	ɡ̊_ə	1.0
k_#>	x_#>	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d_n	r_ə	1.0
<#_ˈɑːɑ̯	<#_ˈɑ	1.0
<#_t	<#_ʣ̥	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
#>	ə_#>	1.0
ɐ	ɐ	0.918
ˈɪ	ˈɪ	0.913
d	d̥	0.909
z	s	0.895
s	ʃ	0.889
b	b̥	0.889
ˈɑʊ̯	ˈuː	0.818
ŋ	ŋ	0.818
ˈʊ	ˈu	0.727
ˈɑ	ˈɑ	0.714
ˈuː	ˈau̯	0.7
k	ʃ	0.667
ɡ	ɡ̊	0.65
ˈɔ	ˈɔ	0.636
ˈeː	ˈɛ	0.625
ˈœ	-	0.6
ˈɛ	ˈɛ	0.556
n	n	0.542
ˈʏ	ˈɪ	0.5
ˈʏ	-	0.5
ˈøːø̯	ˈu	0.5
ˈøːø̯	-	0.5
ˈæːɪ̯	ˈeː	0.5
ˈæːɪ̯	-	0.5
ˈøː	-	0.444
p	f	0.444
p	b̥	0.444
ˈoː	ˈoː	0.438
t	d̥	0.421
ˈœ	ˈu	0.4
ˈæɪ̯	ˈɛː	0.389
ˈɑː	ˈɛ	0.375
ˈɑː	ˈɑ	0.375
ˈeː	ˈɛː	0.375
t	s	0.342
n	ə	0.339
ˈæɪ̯	ˈiː	0.333
k	ɡ̊	0.333
ˈɒː	ˈɑ	0.312
ˈɒː	ˈoː	0.312
ˈoː	ˈɔ	0.312
ˈʊ	ˈɔ	0.273
ˈɑː	ˈɑː	0.25
ˈoː	ˈɑː	0.25
ˈɛ	ˈɪ	0.222
ˈɛ	-	0.222
ˈøː	ˈɛ	0.222
ˈøː	ˈeː	0.222
ˈuː	-	0.2
ɡ	x	0.2
ˈɑ	ˈɑː	0.19
ˈɒː	ˈɑː	0.188
t	ʣ̥	0.184
ˈɔ	ˈɑ	0.182
ˈɔ	-	0.182
ˈɑʊ̯	-	0.182
ŋ	-	0.182
ˈæɪ̯	ˈeː	0.167
ɡ	j	0.15
ˈɒː	-	0.125
n	-	0.119
ˈøː	ˈi	0.111
ˈæɪ̯	-	0.111
s	n_s	0.111
p	pʰ	0.111
b	b̥_r	0.111
z	s_ˈau̯	0.105
ˈuː	ˈau̯̯	0.1
ˈɑ	-	0.095
d	r	0.091
ˈɪ	ˈaɪ̯	0.087
ˈɒː	ˈo	0.062
t	ʃ_d̥	0.053
