Czech	Slovak	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ̊	-	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɪ	i	1.0
ɟ	ɟ	1.0
ɛ_#>	ɛ_#>	1.0
z	z	1.0
v_j	ʋ	1.0
u	u	1.0
s	s	1.0
r̝̊	r	1.0
r̝	r	1.0
r	r	1.0
p	p	1.0
ou̯	uː	1.0
o	ɔ	1.0
m̩	ɛ_m	1.0
m	m	1.0
l_ɪ	ʎ	1.0
l_u	ɫ̩	1.0
k	k	1.0
j	j	1.0
iː_t	i_c	1.0
d̥	d̥	1.0
c	c	1.0
b̥	b̥	1.0
b	b	1.0
a_v	a_ʋ	1.0
a	a	0.957
v	ʋ	0.913
ɦ	ɦ	0.9
x	x	0.833
n	n	0.783
d	d	0.773
r̩	r̩	0.667
ɛ	ɛ	0.656
ɲ	ɲ	0.6
ɛː	ɪ̯ɛ	0.6
l̩	-	0.6
t	t	0.595
aː	a	0.556
iː	iː	0.553
l	ɫ	0.514
uː	ʊ̯ɔ	0.444
aː	aː	0.444
t	c	0.405
ɲ	-	0.4
ɛː	ɛ	0.4
l̩	ɫ̩	0.4
uː	ɔ	0.333
r̩	ɔ_r	0.333
l	l	0.297
d	ɟ	0.227
uː	-	0.222
n	ɲ	0.217
iː	i	0.211
l	ʎ	0.189
x	u_x	0.167
iː	ɪ̯ɛ	0.132
ɛ	a	0.115
ɦ	x	0.1
v	v	0.087
ɛ	ɪ̯ɛ	0.066
ɛ	ɔ	0.066
iː	ɪ̯a	0.053
iː	ɛ	0.053
