East Low German	Standard German	probability
ˈœː	ˈyː	1.0
ˈyː	ˈɔʏ̯	1.0
ˈoː	ˈaː	1.0
ˈeː	ˈeː	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
z	z	1.0
w	v	1.0
v	v	1.0
tʰ	ʦ	1.0
t_n	s_n	1.0
r	ʁ	1.0
p_#>	f_#>	1.0
n	n	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
d_n	t_n	1.0
b	b	1.0
<#_ˈae̯	<#_ˈaɪ̯	1.0
<#_n	<#_n	1.0
æ	ɐ	0.932
ˈa	ˈa	0.885
ˈɪ	ˈɪ	0.846
m	m	0.818
f	f	0.818
ˈuː	ˈaʊ̯	0.765
ˈʏ	ˈʏ	0.75
x	x	0.75
ˈʊ	ˈʊ	0.692
ŋ	ŋ	0.688
ˈɔʏ̯	ˈyː	0.667
ɾ	t	0.667
j	ɡ	0.667
t	t	0.612
ˈiː	ˈaɪ̯	0.611
ˈɛː	ˈɛ	0.6
ˈɔ	ˈɔ	0.6
p	f	0.6
ˈɒː	ˈaː	0.562
ç	ç	0.533
ˈɛ	ˈɛ	0.5
ˈae̯	ˈaɪ̯	0.5
ˈaʊ̯	ˈuː	0.476
s	z̥	0.438
ˈaː	ˈa_ɐ	0.429
ˈɛː	ˈaː	0.4
p	p͡f	0.4
ˈae̯	ˈiː	0.364
k	k	0.35
ˈɔʏ̯	ˈuː	0.333
ɾ	d	0.333
j	j	0.333
d	tʰ	0.319
d	d̥	0.319
d	d	0.319
ŋ	ɡ_n	0.312
ˈʊ	ˈɔ	0.308
k	ç	0.3
ˈaː	ˈaː	0.286
ˈaː	ɐ	0.286
t	s	0.265
ˈʏ	ˈɛ	0.25
ˈɒː	ˈoː	0.25
x	ɡ̊	0.25
s	s	0.25
ˈaʊ̯	ˈoː	0.238
ˈuː	ˈɔ	0.235
ˈɛ	ˈeː	0.214
ˈɔ	ˈʊ	0.2
ˈɔ	ˈa	0.2
ç	ɡ̊	0.2
ˈaʊ̯	ˈaʊ̯	0.19
ˈɒː	ˈa	0.188
s	z_ə	0.188
f	b̥	0.182
ˈiː	ˈiː	0.167
ˈɪ	ˈaɪ̯	0.154
k	x	0.15
ˈɛ	ˈɪ	0.143
ˈɛ	ˈaː	0.143
ˈae̯	ˈeː	0.136
ç	k_ə	0.133
ç	k_n	0.133
s	k_s	0.125
t	ʦ	0.122
m	n	0.121
ˈa	ˈaː	0.115
ˈiː	ˈɛ	0.111
ˈiː	ˈiː_ɐ	0.111
k	x_ə	0.1
k	-	0.1
ˈaʊ̯	ˈa	0.095
æ	ʁ_ə	0.068
m	b_n	0.061
