Northern Low Saxon	Proto-Germanic	probability
b	b	0.64
b	p_ɑ	0.17
b	p_ɑ̃	0.081
b	ɸ	0.042
b	pː	0.041
b	p	0.037
d	d	0.256
d	θ	0.226
d	t	0.132
d	t_ɑ	0.102
d	ð_ɑ̃	0.056
d	ð	0.043
d	ð_i	0.04
d	θ_ɑ̃	0.037
d	ð_ɑ	0.035
d	t_s	0.032
d	t_i	0.031
f	ɸ	0.899
f	β_ɑ̃	0.059
f	β_ɑ	0.042
h	x	0.959
h	-	0.045
i	i	0.059
j	ɣ	1.0
k	k	0.66
k	kʷ	0.16
kʰ	k	1.0
l	l	0.617
l	l_i	0.093
l	l_ɑ	0.078
l	l_u	0.061
l	lː	0.054
l	x_l	0.037
m	m	0.464
m	m_ɑ	0.168
m	n_ɑ̃	0.09
m	β_ɑ	0.081
m	m_i	0.062
m	β	0.054
m	mː	0.038
m	ɸ	0.038
n	n	0.752
n	n_i	0.056
n	u_n	0.038
n	nː_i	0.034
n	ɔː_n	0.032
n	m	0.032
n	nː	0.031
n	n_u	0.031
n	-	0.03
p	p	0.243
r	r	1.0
s	s	0.677
s	s_ɑ̃	0.124
s	s_t	0.097
s	x_s	0.085
t	t	0.728
t	d	0.092
t	ð	0.092
t	ð_ɑ	0.067
tʰ	t	1.0
v	w	0.853
v	β	0.081
v	xʷ	0.059
x	x	0.581
x	ɣ_ɑ	0.372
x	ɣ	0.05
z	s	0.964
z	r	0.045
ç	ɣ	0.274
ç	z	0.23
ç	x_t	0.126
ç	ɡ	0.126
ç	ɣ_ɑ	0.126
ç	x	0.096
ŋ	ŋ_ɡ	0.558
ŋ	ŋ	0.185
ŋ	ɣ	0.148
ŋ	n_x	0.088
ɐ	r	0.275
ɐ	ɛː	0.122
ɐ	r_ɑ	0.077
ɐ	r_ɑ̃	0.077
ɐ	ɔːː	0.067
ɐ	e	0.062
ɐ	r_u	0.062
ɐ	ɔː	0.059
ɐ	ɔː_r	0.054
ɐ	r_i	0.038
ɐ	i	0.035
ɐ	ɑ	0.035
ɐ	ɑ̃	0.035
ə	ɔː	0.243
ɡ	ɣ	0.607
ɡ	k	0.196
ɡ	k_s	0.119
ɡ	k_i	0.071
ɪ	ɑ	0.826
ɪ	ŋ	0.142
ʃ	s_k	0.582
ʃ	s	0.414
ʒ	j	1.0
ˈa	ˈɑ	0.951
ˈa	ˈe	0.049
ˈaɪ̯	ˈeu̯	0.329
ˈaɪ̯	ˈɑi̯	0.315
ˈaɪ̯	ˈe	0.301
ˈaɪ̯	ˈiː	0.049
ˈaʊ̯	ˈɑu̯	0.391
ˈaʊ̯	ˈɔː	0.263
ˈaʊ̯	ˈu	0.149
ˈaʊ̯	ˈɑ	0.098
ˈaʊ̯	ˈɑi̯	0.044
ˈaʊ̯	ˈuː	0.041
ˈaː	ˈɑ_r	0.57
ˈaː	ˈe	0.242
ˈaː	ˈɑ	0.149
ˈeɪ̯	ˈɑi̯	0.582
ˈeɪ̯	ˈe	0.165
ˈeɪ̯	i	0.066
ˈeɪ̯	ˈeu̯	0.066
ˈeː	ˈe	0.488
ˈeː	ˈɑ	0.229
ˈeː	ˈɔː	0.112
ˈeː	w	0.083
ˈeː	ˈi	0.064
ˈiː	ˈiː	0.625
ˈiː	ˈi	0.225
ˈiː	ˈeː	0.079
ˈiː	ˈiu̯	0.064
ˈoː	ˈɑ	0.372
ˈoː	ˈɛː	0.356
ˈoː	ˈɑ_x	0.101
ˈoː	ˈe	0.071
ˈoː	ˈɑu̯	0.054
ˈoː	ˈu	0.046
ˈuː	ˈuː	0.772
ˈuː	ˈɔː	0.124
ˈuː	ɔ̃ː	0.091
ˈyː	ˈiu̯	0.582
ˈyː	ˈɔː	0.308
ˈyː	ˈuː	0.066
ˈø	ˈi	0.325
ˈø	ˈe	0.16
ˈøː	ˈu	0.57
ˈøː	ˈɑ	0.137
ˈøː	ˈe	0.093
ˈøː	ˈuː	0.089
ˈœ	ˈɑ	0.493
ˈœː	nː	0.325
ˈœː	ˈɑi̯	0.325
ˈɔ	ˈu	0.774
ˈɔ	ˈeu̯	0.146
ˈɔ	ˈɑ	0.07
ˈɔʏ̯	ˈɑu̯	0.344
ˈɔʏ̯	ˈɔː	0.267
ˈɔʏ̯	ˈu	0.182
ˈɔʏ̯	ˈɔ	0.105
ˈɔʏ̯	u	0.082
ˈɔː	ˈu	0.493
ˈɛ	ˈe	0.598
ˈɛ	ˈɑ	0.391
ˈɛɪ̯	ˈɑi̯	0.574
ˈɛɪ̯	ˈe	0.283
ˈɪ	ˈi	0.558
ˈɪ	ˈɑi̯	0.128
ˈɪ	ˈe	0.118
ˈɪ	ˈeu̯	0.066
ˈɪ	ˈĩː	0.05
ˈɪ	ˈɑ	0.05
ˈɪ	ˈiː	0.035
ˈʊ	ˈu	1.0
ˈʏ	ˈu	0.725
ˈʏ	j	0.085
ˈʏ	w	0.085
ˈʏ	ˈɑi̯	0.085
