Russian	Russian	probability
ʦ	ʦ	1.0
ʐ̊	ʒ	1.0
ʐ_ɨ	ʒ_ɛ	1.0
ʐ	ʒ	1.0
ʉ	u	1.0
ʂ	-	1.0
ɵ_ˈ	ˈ	1.0
ɫ_ɨ	l	1.0
ɫ_#>	l_ʊ_#>	1.0
ɪ_lʲ	ɛ_l	1.0
ɪ_j	ʊ	1.0
ɨ_ˈ	ɯ_ˈ	1.0
ɡ̊	ɡ_ʊ	1.0
ɡʲ	ɡ	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ə_tʲ	ʊ_t	1.0
æ	-	1.0
z̥	z	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
x	x	1.0
vʲ	v	1.0
v_ɨ	v	1.0
v	v	1.0
t_#>	t_ʊ_#>	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
r_ɨ	r	1.0
r_#>	r_ʊ_#>	1.0
pʲ	p	1.0
p	p	1.0
n_ɨ	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_#>	l_ɪ_#>	1.0
lʲ	l	1.0
kʲ	k	1.0
k_#>	k_ʊ_#>	1.0
k	k	1.0
j_#>	#>	1.0
j	ʊ	1.0
i	i	1.0
fʲ	-	1.0
f	v_ʊ	1.0
d̥ʲ	d_ɪ	1.0
d̥	d_ʊ	1.0
dʲ	d	1.0
d	d	1.0
b̥ʲ	b_ɪ	1.0
b̥	b_ʊ	1.0
bʲ	b	1.0
b	b	1.0
<#_ɐ	<#_ɔ	1.0
<#_tʲ	<#_t	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
ˈ	ˈ	0.931
rʲ	r	0.889
a	ɑ	0.879
ˈ_#>	ˈ_#>	0.87
ɫ	l	0.81
u	ɔ̃	0.75
ʨ	ʧ	0.714
o	ɔ	0.667
ʊ	ɔ̃	0.6
o_ˈ	ʊ_ˈ	0.6
r	r	0.571
e	æ	0.552
#>	ɪ_#>	0.538
ə_#>	ɔ_#>	0.526
ɵ	ɛ	0.5
ɵ	r_ɪ	0.5
ɨ	i	0.5
ɨ	-	0.5
ɐ	ɔ	0.5
tʲ	t_i	0.5
tʲ	t	0.5
ə_#>	ɑ_#>	0.474
#>	ʊ_#>	0.462
r	-	0.429
ʊ	u_ˈ	0.4
o_ˈ	ʊ	0.4
ɪ	ɛ	0.385
ə	-	0.333
nʲ	nʲ_ɪ	0.333
nʲ	n_ɪ	0.333
nʲ	n	0.333
ʨ	-	0.286
ə	ʊ	0.25
ə	ɑ	0.25
u	-	0.25
e	ɛ	0.241
ɪ	ɛ̃	0.231
ɪ	æ	0.192
ɫ	-	0.19
ə	ɛ	0.167
ɐ	ɑ	0.167
ɐ	æ	0.167
ɐ	-	0.167
ˈ_#>	#>	0.13
o	ɑ	0.121
o	-	0.121
ɪ	-	0.115
rʲ	rʲ	0.111
e	ɪ	0.103
e	r_ɪ	0.103
o	l_ɪ	0.091
a	ɛ̃	0.091
ɪ	r	0.077
