Icelandic	Bokmål Norwegian	probability
ˈʏː	-	1.0
ˈɛi̯	ˈæɪ̯	1.0
ˈɔ_r	ˈuː	1.0
ˈɑu̯	ˈɑ	1.0
ˈœːy̯	ˈøː	1.0
ˈœː	-	1.0
ˈuː_a	ɡ_ə	1.0
ˈuː	ˈʉː	1.0
ˈu	ˈʉ	1.0
ˈoːu̯_ð	ˈuː	1.0
ˈoːu̯_r̥	ˈøː	1.0
ˈiː_j	ˈiː	1.0
ˈaːu̯	ˈoː	1.0
ˈa_r	ˈɑː	1.0
ʰt	tː	1.0
ʰp	-	1.0
ɣ	-	1.0
ɡ̊ː	ɡː	1.0
ɡ̊_ʏ	ə	1.0
ɟ̊ː	ɡː	1.0
ɛ	-	1.0
ð_ʏ	ɾ	1.0
ð	-	1.0
x	-	1.0
t͡l̥_ʏ	lː	1.0
tʰ	tʰ	1.0
t_ʏ	t	1.0
s_c	ʂ	1.0
s_#>	s_#>	1.0
p_ʏ	p	1.0
p_n̥	ʋ_n	1.0
p	p	1.0
n̥	n	1.0
nː	nː	1.0
n_ʏ	n	1.0
n_d̥	nː	1.0
n	n	1.0
m_ʏ	m	1.0
l̥	l	1.0
l_d̥	lː	1.0
kʰ_v	ʋ	1.0
kʰ	kʰ	1.0
k_ʏ	k	1.0
k	k	1.0
j_ˈœ	j	1.0
j_ˈuː	ˈyː	1.0
j_ˈoːu̯	ˈyː	1.0
h	h	1.0
f	f	1.0
cʰ	ç	1.0
c	k	1.0
b̥	b	1.0
<#_ˈʏ	<#_ˈʉ	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_ç	<#_h	1.0
<#_r̥	<#_ɾ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_d̥	<#_d	1.0
s	s	0.936
r	ɾ	0.889
l	l	0.879
a	ə	0.873
θ	tʰ	0.867
ˈa	ˈɑ	0.846
v	ʋ	0.84
ð_#>	#>	0.833
ˈoːu̯	ˈuː	0.8
ˈaː	ˈɑː	0.8
ʏ	-	0.769
r̥	-	0.756
ˈɪː	-	0.75
ˈɑːu̯	ˈoː	0.75
ɪ	ə	0.75
ɡ̊	-	0.75
m	m	0.737
ŋ	ŋː	0.727
t͡n̥	ɳ	0.7
t	t	0.692
ˈiː	ˈiː	0.688
v_ʏ_r̥_#>	ʋ_#>	0.667
t͡l̥	l	0.667
j	-	0.619
ˈʏ	ˈʉ	0.6
ˈi	ˈɪ	0.6
ˈɛ	ˈɛ	0.562
ˈɔː	ˈœ	0.5
ˈɔː	ˈoː	0.5
ˈɔu̯	ˈɑ	0.5
ˈɔu̯	-	0.5
ˈɔ	ˈuː	0.5
ˈɔ	-	0.5
ˈaːi̯	ˈøː	0.5
ˈaːi̯	-	0.5
ˈau̯	ˈɛ	0.5
ˈau̯	-	0.5
ˈai̯	ˈɛ	0.5
ˈai̯	-	0.5
ʰk	kː	0.5
ʰk	-	0.5
ɪ_r̥	ɾ	0.5
ɪ_r̥	ə_ɾ	0.5
ɟ̊	ɡ	0.5
ɟ̊	-	0.5
ˈɪ	ˈɪ	0.467
ˈɛː	ˈeː	0.455
ˈɛːi̯	ˈæɪ̯	0.444
ˈi	ˈʏ	0.4
ˈɛːi̯	-	0.333
ˈœ	ˈɔ	0.333
ˈœ	ˈɑ	0.333
ˈœ	-	0.333
v_ʏ_r̥_#>	#>	0.333
t͡l̥	lː	0.333
ˈɛ	-	0.312
ˈiː	-	0.312
t͡n̥	-	0.3
ˈɛː	ˈæː	0.273
ˈɛː	-	0.273
ŋ	ŋ	0.273
m	mː	0.263
ˈɪː	ˈiː	0.25
ˈɑːu̯	-	0.25
ɪ	-	0.25
ɡ̊	ɡ	0.25
r̥	ɾ	0.244
ʏ	ə	0.231
ˈɛːi̯	ˈøː	0.222
ˈʏ	ˈʏ	0.2
ˈʏ	-	0.2
ˈɪ	ˈʏ	0.2
ˈɪ	-	0.2
ˈoːu̯	-	0.2
ˈaː	-	0.2
t	tː	0.192
ð_#>	d_#>	0.167
v	-	0.16
ˈa	-	0.154
j	ˈiː	0.143
j	j	0.143
θ	d	0.133
ˈɪ	ˈœ	0.133
a	-	0.127
ˈɛ	ˈɪ	0.125
l	lː	0.121
t	-	0.115
j	ˈʉː	0.095
s	ʂ	0.064
r	ˈuː	0.056
r	-	0.056
