Czech	Standard Croatian	probability
ʧ	ʧ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɟ	d	1.0
ɛː	j	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
v_ɛ	ʋ_e	1.0
u	uː	1.0
t_a	t_a	1.0
r̝̊	r	1.0
r_iː	a_r	1.0
p	p	1.0
n	n	1.0
m̩	a_m	1.0
m_ɛ	m_eː	1.0
m	m	1.0
l_u	uː	1.0
l_a	l_aː	1.0
j_ɛ	eː	1.0
j	j	1.0
d̥	d̥	1.0
d_ɛ	d_e	1.0
d_l	l	1.0
d	d	1.0
c	t	1.0
b̥	b	1.0
b	b	1.0
v	ʋ	0.981
s	s	0.918
k	k	0.913
r	r	0.86
a	a	0.801
ɦ	ɡ	0.786
aː	a_̂	0.745
o	o	0.744
t	t	0.698
l	l	0.69
ou̯	uː	0.667
ɲ	-	0.657
ɪ	i	0.647
r̝	r	0.576
l̩	-	0.506
l̩	u	0.494
uː	o_̂	0.446
iː	i_̂	0.44
ɛ	e	0.434
r̩	r̩	0.429
ʦ	ʦ	0.396
uː	oː	0.369
ɪ	iː_̂	0.353
ɲ	ɲ	0.343
ʦ	ʨ	0.34
ou̯	u	0.333
ɛ	eː	0.306
t	t_i	0.302
r̩	r̩ː	0.286
r̩	a_r	0.286
ʦ	ʦ_j	0.264
aː	aː_̂	0.255
ɛ	a	0.248
r̝	r_j	0.237
iː	j_eː	0.217
iː	j_e	0.217
ɦ	-	0.214
r̝	r̩	0.187
uː	-	0.185
o	oː	0.182
r	r̩ː	0.14
iː	eː	0.127
a	aː	0.108
l	o	0.107
l	l_j	0.092
s	s_a	0.082
o	a	0.074
l	ʎ	0.074
k	-	0.054
