French	Logudorese	probability
a	a	0.285
a	ˈa	0.194
a	e	0.156
a	-	0.13
a	ɣ_e	0.072
b	b	0.905
b	-	0.068
d	d	0.761
d	n	0.075
d	z	0.053
e	ˈa	0.498
e	i	0.139
e	a	0.133
e	-	0.127
f	f	0.853
f	β	0.078
f	-	0.068
i	ˈi	0.404
i	ˈe	0.2
i	u	0.104
i	e	0.098
i	-	0.095
j	ˈe	0.51
j	u	0.183
j	ʣ_a	0.089
j	e	0.062
j	ˈo	0.062
j	a	0.059
k	k	0.847
k	b	0.106
l	l	0.609
l	r	0.191
l	ɖː	0.089
l	sː	0.05
m	m	0.861
m	mː	0.074
n	n	0.926
o	ˈe	0.385
o	ˈa	0.354
o	ˈo	0.261
p	p	0.813
p	s_p	0.13
p	b	0.057
s	s	0.558
s	k	0.137
s	-	0.091
s	ʣ	0.07
t	t	0.741
t	s_t	0.191
t	s	0.053
u	ˈo	0.466
u	ˈu	0.399
u	o	0.056
v	b	0.673
v	-	0.16
v	β	0.114
w	ˈi	0.445
w	ˈe	0.367
w	ˈu	0.088
w	-	0.051
y	ˈu	0.944
y	ˈi	0.056
z	ɣ	0.848
z	s	0.152
ø	u	0.531
ø	ɣ_u	0.335
ø	o	0.069
ø	ˈo	0.065
œ	ˈo	0.89
œ	-	0.06
ɑ̃	ˈe	0.395
ɑ̃	m	0.198
ɑ̃	u	0.141
ɑ̃	a	0.105
ɑ̃	ˈa	0.064
ɑ̃	ŋ	0.062
ɔ	ˈo	0.695
ɔ	o	0.181
ɔ	ˈu	0.106
ɔ̃	ˈo	0.893
ɔ̃	e	0.074
ə	e	0.617
ə	ˈe	0.11
ə	a	0.101
ə	o	0.097
ə	ˈi	0.075
ɛ	ˈa	0.37
ɛ	-	0.22
ɛ	ˈi	0.185
ɛ	ˈe	0.181
ɛ̃	ˈa	0.451
ɛ̃	ˈi	0.287
ɛ̃	n	0.148
ɛ̃	ɲː	0.064
ɛ̃	-	0.05
ɡ	ɡ	0.418
ɡ	ɣ	0.301
ɡ	b	0.281
ɥ	ˈo	0.424
ɥ	-	0.199
ɥ	ˈu	0.187
ɥ	ʦ	0.136
ɥ	o	0.055
ɲ	n	1.0
ʁ	r	0.739
ʁ	e_r	0.135
ʁ	rː	0.059
ʃ	k	0.938
ʒ	j	0.373
ʒ	ɡ	0.248
ʒ	ð	0.116
ʒ	d	0.093
ʒ	b	0.073
ʒ	ɖ	0.065
