French	Logudorese	probability
a	a	0.257
a	ˈa	0.195
a	-	0.158
a	e	0.156
a	ɣ_e	0.072
b	b	0.905
b	-	0.068
d	d	0.781
d	n	0.077
e	ˈa	0.503
e	i	0.138
e	a	0.134
e	-	0.127
f	f	0.853
f	β	0.078
f	-	0.068
i	ˈi	0.402
i	ˈe	0.199
i	u	0.174
i	-	0.126
j	ˈe	0.504
j	ʣ	0.2
j	u	0.112
j	a	0.085
j	ˈo	0.061
k	k	0.888
k	b	0.064
l	l	0.609
l	r	0.191
l	ɖː	0.089
l	sː	0.05
m	m	0.861
m	mː	0.074
n	n	0.926
o	ˈe	0.385
o	ˈa	0.354
o	ˈo	0.261
p	p	0.825
p	s_p	0.129
s	s	0.602
s	-	0.124
s	k	0.104
s	ʣ	0.069
t	t	0.741
t	s_t	0.191
t	s	0.053
u	ˈo	0.466
u	ˈu	0.399
u	o	0.056
v	b	0.67
v	-	0.185
v	β	0.113
w	ˈi	0.445
w	ˈe	0.367
w	ˈu	0.088
w	-	0.051
y	ˈu	0.944
z	ɣ	0.848
z	s	0.152
ø	u	0.531
ø	ɣ_u	0.335
ø	o	0.069
ø	ˈo	0.065
œ	ˈo	0.89
œ	-	0.06
ɑ̃	ˈe	0.395
ɑ̃	m	0.198
ɑ̃	u	0.142
ɑ̃	a	0.105
ɑ̃	ŋ	0.062
ɔ	ˈo	0.695
ɔ	o	0.181
ɔ	ˈu	0.106
ɔ̃	ˈo	0.893
ɔ̃	e	0.074
ə	e	0.617
ə	ˈe	0.11
ə	a	0.101
ə	o	0.097
ə	ˈi	0.075
ɛ	ˈa	0.378
ɛ	ˈi	0.213
ɛ	ˈe	0.189
ɛ	-	0.179
ɛ̃	ˈa	0.37
ɛ̃	ˈi_n	0.246
ɛ̃	n	0.215
ɛ̃	-	0.087
ɛ̃	ɲː	0.064
ɡ	ɡ	0.418
ɡ	ɣ	0.301
ɡ	b	0.281
ɥ	ˈo	0.424
ɥ	-	0.199
ɥ	ˈu	0.187
ɥ	ʦ	0.136
ɥ	o	0.055
ɲ	n	1.0
ʁ	r	0.747
ʁ	e_r	0.155
ʁ	rː	0.06
ʃ	k	0.938
ʒ	j	0.373
ʒ	ɡ	0.248
ʒ	ð	0.116
ʒ	d	0.093
ʒ	b	0.073
ʒ	ɖ	0.065
