Bavarian	Westphalian	probability
a	ɐ	0.609
a	-	0.217
a	ə	0.1
a	m	0.074
b̥	b	0.687
b̥	-	0.159
b̥	v	0.154
d̥	d	0.773
d̥	t	0.206
eɐ̯	aɪ̯	1.0
f	f	0.706
f	p	0.203
h	h	0.954
i	l	0.5
i	ɪ	0.5
j	l	0.863
j	j	0.097
k	k	0.649
k	ç	0.324
kʰ	k	1.0
l	l	0.964
m	m	0.823
m	v	0.165
n	n	0.975
p	p	1.0
p͡f	p	1.0
r	r	0.752
r	z	0.117
r	-	0.075
r	ɐ	0.057
s	s	0.575
s	t	0.339
t	t	0.657
t	d	0.26
t	-	0.084
x	k	0.532
x	x	0.372
x	ç	0.096
ç	k	1.0
ŋ	ŋ	0.853
ŋ	-	0.064
ŋ	ɪ	0.063
ɐ	ɐ	0.72
ɐ	-	0.246
ə	ə	0.591
ə	-	0.166
ə	l	0.166
ə	ʋ	0.076
ɡ̊	x	0.472
ɡ̊	ɡ	0.316
ɡ̊	ç	0.066
ɡ̊	k	0.054
ɡ̊	ɣ	0.054
ʃ	ʃ	0.957
ʋ	v	0.701
ʋ	ʋ	0.209
ʋ	-	0.09
ʦ	t	1.0
ˈa	ˈa	0.852
ˈa	ˈɪ	0.111
ˈai̯	ˈiː	0.436
ˈai̯	ˈyː	0.151
ˈai̯	ˈø	0.11
ˈai̯	ˈeː	0.086
ˈai̯	ˈɪ	0.059
ˈai̯	ˈaɪ̯	0.056
ˈai̯	ˈɪə̯	0.052
ˈau̯	ˈʊ	0.36
ˈau̯	ˈuː	0.358
ˈau̯	ˈaʊ̯	0.282
ˈaː	ˈaʊ̯	0.465
ˈaː	ˈʊ	0.251
ˈaː	ˈɔː	0.186
ˈaː	ˈa	0.067
ˈe	ˈɪɛ̯	0.416
ˈe	ˈɛː	0.171
ˈe	ˈɛ	0.161
ˈe	ˈɔː	0.083
ˈe	ˈaɪ̯	0.064
ˈe	ˈœː	0.059
ˈeɐ̯	ˈoː	0.263
ˈeɐ̯	ˈɪ	0.263
ˈeɐ̯	ˈaɪ̯	0.237
ˈeɐ̯	ˈøː	0.237
ˈeː	ˈiɛ̯	0.358
ˈeː	ˈɪə̯	0.233
ˈeː	ˈɪɛ̯	0.215
ˈeː	ˈeː	0.129
ˈeː	ˈøː	0.065
ˈi	ˈɪ	0.711
ˈi	ˈiː	0.113
ˈiɐ̯	ˈaɪ̯	0.765
ˈiɐ̯	ˈøː	0.143
ˈiɐ̯	ˈɛ	0.092
ˈiː	ˈaɪ̯	0.538
ˈiː	ˈɪ	0.235
ˈiː	ˈɪə̯	0.227
ˈo	ˈa	0.286
ˈo	ˈʊ	0.242
ˈo	ˈɔ	0.217
ˈo	ˈɛ	0.127
ˈou̯	ˈaʊ̯	1.0
ˈoɐ̯	ˈeː	0.517
ˈoɐ̯	ˈa	0.122
ˈoɐ̯	ˈɔː	0.114
ˈoɐ̯	ˈaʊ̯	0.095
ˈoɐ̯	ˈiː	0.088
ˈoɐ̯	ˈaɪ̯	0.064
ˈoː	ˈɔː	0.38
ˈoː	ˈuə̯	0.12
ˈoː	ˈɒː	0.12
ˈoː	ˈɛ	0.099
ˈoː	ˈaː	0.082
ˈoː	ˈɛː	0.082
ˈoː	ˈa	0.06
ˈoː	ˈuːə̯	0.059
ˈu	ˈʊ	0.329
ˈu	ˈʏ	0.132
ˈu	ˈɪɛ̯	0.116
ˈu	ˈuː	0.105
ˈu	ˈuːə̯	0.105
ˈu	ˈøː	0.076
ˈu	-	0.075
ˈuɐ̯	ˈoː	0.593
ˈuɐ̯	ˈøː	0.223
ˈuɐ̯	ˈuə̯	0.088
ˈuɐ̯	ˈuːə̯	0.064
ˈy	ˈyːœ̯	1.0
ˈɑː	ˈaɪ̯	1.0
ˈɒ	ˈaː	0.53
ˈɒ	ˈa	0.47
ˈɒː	ˈɔː	0.52
ˈɒː	ˈa	0.305
ˈɒː	ˈaː	0.176
ˈɔ	ˈa	0.488
ˈɔ	ˈɔː	0.301
ˈɔ	ˈɔ	0.17
ˈɛ	ˈɛ	0.407
ˈɛ	ˈɪɛ̯	0.164
ˈɛ	ˈiɛ̯	0.137
ˈɛ	ˈʏ	0.114
ˈɛ	ˈɛː	0.09
ˈɛ	ˈa	0.087
ˈɛː	ˈaɪ̯	0.751
ˈɛː	ˈœː	0.249
ˈʏ	ˈʏ	1.0
