Northern Low Saxon	Limburgish	probability
b	b	0.656
b	p	0.243
d	t	0.535
d	d	0.282
d	-	0.182
f	v	0.788
f	f	0.176
h	ɦ	1.0
i	ə	1.0
j	ɣ	0.242
k	k	1.0
kʰ	k	1.0
l	l	0.895
l	j	0.067
m	m	0.756
m	v_ə	0.117
m	ə	0.088
n	n	0.686
n	ə	0.249
p	p	1.0
r	ʀ	1.0
s	s	0.874
s	z	0.123
t	t	0.784
t	-	0.204
tʰ	t	1.0
v	β	0.934
v	v	0.064
x	x	1.0
z	z	1.0
ç	x	0.624
ç	ŋ	0.167
ç	k	0.145
ŋ	ŋ	0.616
ŋ	ŋ_ə	0.222
ŋ	ɣ	0.094
ŋ	ɡ	0.058
ɐ	ʀ	0.665
ɐ	ə_ʀ	0.293
ə	ʀ	1.0
ɡ	ɣ	0.481
ɡ	k	0.325
ɡ	ə_k	0.113
ɡ	x	0.075
ɪ	ɪ	0.517
ɪ	ə	0.45
ʃ	s	0.595
ʃ	ʃ	0.261
ʃ	z	0.084
ʃ	ʦ	0.052
ʒ	j	1.0
ˈa	ˈɑ	0.375
ˈa	ˈaː	0.3
ˈa	ˈɑː	0.22
ˈa	ˈɑ_ʀ	0.056
ˈaɪ̯	ˈeː	0.463
ˈaɪ̯	ˈɛː	0.17
ˈaɪ̯	ˈi	0.157
ˈaɪ̯	ˈiː	0.095
ˈaɪ̯	ˈɛi̯	0.06
ˈaʊ̯	ˈʊː	0.344
ˈaʊ̯	ˈu	0.181
ˈaʊ̯	ˈɔː	0.105
ˈaʊ̯	ˈoː	0.084
ˈaː	ˈæː	0.519
ˈaː	ˈæ	0.187
ˈaː	ˈɛː	0.127
ˈaː	ˈaː	0.122
ˈeɪ̯	ˈeː	0.53
ˈeɪ̯	ˈɛː	0.186
ˈeɪ̯	ˈi	0.172
ˈeː	ˈeː	0.577
ˈeː	ˈi	0.101
ˈeː	ˈɑː	0.098
ˈeː	ˈɛː	0.098
ˈeː	ˈɪ	0.073
ˈiː	ˈiː	0.639
ˈiː	ˈeː	0.085
ˈiː	ˈœi̯	0.083
ˈiː	ˈɛːi̯	0.083
ˈiː	ˈɛ	0.054
ˈiː	ˈi	0.05
ˈoː	ˈɒː	0.523
ˈoː	ˈaː	0.242
ˈoː	ˈoː	0.093
ˈoː	ˈʊː	0.061
ˈuː	ˈuː	0.685
ˈuː	ˈʊː	0.12
ˈuː	ˈɔu̯	0.105
ˈuː	ˈœi̯	0.08
ˈyː	ˈyː	0.463
ˈyː	ˈœi̯	0.403
ˈyː	ˈøː	0.092
ˈø	ˈɛ	0.574
ˈø	ˈʏ	0.282
ˈøː	ˈøː	0.227
ˈøː	ˈɒː	0.209
ˈøː	ˈʊː	0.209
ˈøː	ˈeː	0.072
ˈœ	ˈæ	0.242
ˈœː	ˈɛ	0.324
ˈœː	ˈɪ	0.324
ˈɔ	ˈɔ	0.604
ˈɔ	ˈœː	0.197
ˈɔ	ˈaː	0.087
ˈɔ	ˈʊː	0.06
ˈɔʏ̯	ˈøː	0.478
ˈɔʏ̯	ˈyː	0.253
ˈɔʏ̯	ˈœi̯	0.102
ˈɔʏ̯	ˈu	0.074
ˈɔʏ̯	-	0.052
ˈɔː	ˈœː	0.492
ˈɛ	ˈeː	0.339
ˈɛ	ˈɛː	0.223
ˈɛ	ˈæ	0.137
ˈɛ	ˈœ	0.098
ˈɛ	ˈɛ	0.089
ˈɛ_l	ˈeː	1.0
ˈɛɪ̯	ˈaː	0.276
ˈɛɪ̯	ˈi	0.276
ˈɛɪ̯	ˈɛː	0.077
ˈɪ	ˈɪː	0.347
ˈɪ	ˈɛː	0.132
ˈɪ	ˈɪ	0.132
ˈɪ	ˈeː	0.122
ˈɪ	ˈɛ	0.09
ˈɪ	ˈi	0.077
ˈʊ	ˈʊː	0.414
ˈʊ	ˈɔː	0.223
ˈʊ	ˈɔ	0.194
ˈʊ	ˈʊ	0.074
ˈʊ	ˈʏː	0.074
ˈʏ	ˈʏː	0.326
ˈʏ	ˈœ	0.247
ˈʏ	ˈoː	0.127
ˈʏ	ˈɪː	0.122
ˈʏ	ˈʏ	0.089
