Old Church Slavonic	Old Church Slavonic	probability
ˈ_#>	#>	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʊ_#>	#>	1.0
ʃ	ʧ	1.0
ɡ_ʊ	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_#>	ɛ_#>	1.0
ɔ_#>	ɔ_#>	1.0
æ_ˈ	ɛ	1.0
z	z	1.0
x_ʊ_#>	x_#>	1.0
x	x	1.0
v_ʊ_#>	ʋ_#>	1.0
v	ʋ	1.0
u_ˈ	u	1.0
u	uː	1.0
t_ʊ_#>	t_#>	1.0
t_ɪ_#>	t_#>	1.0
t_ɑ	t_a	1.0
s_ʊ	s	1.0
rʲ	r_j	1.0
r_ʊ_#>	r_#>	1.0
r_ʊ	ə_r	1.0
r_ɪ	ə	1.0
p	p	1.0
nʲ_ɪ	n	1.0
n_ɪ	n	1.0
n	n	1.0
m_ɪ	ə_m	1.0
m	m	1.0
l_ʊ	w	1.0
l_ɪ	ə_w	1.0
k	k	1.0
j	j	1.0
d_ʊ	d̥	1.0
a	aː	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
#>	́_#>	1.0
s	s	0.914
t	t	0.889
r	r	0.882
d	d	0.846
l	l	0.84
b	b	0.786
ʒ	ʒ	0.778
ɔ̃	oː	0.75
ɯ	iː	0.667
æ	eː	0.652
ɪ_ˈ	́	0.6
ɑ	a	0.595
i	i	0.571
ɔ	oː	0.541
ˈ	́	0.478
ɛ̃	eː	0.455
ɑ	aː	0.405
ɪ_ˈ	r	0.4
ɪ	-	0.375
ʊ	-	0.333
ɯ	i	0.333
ɛ	eː	0.333
ɪ	ə	0.312
ˈ	̀	0.292
i	iː	0.286
æ	eː_̀	0.261
ʊ	ə	0.25
ʊ	w	0.25
ɛ	ɛ	0.25
ɔ̃	oː_́	0.25
ʒ	ʒ̊	0.222
b	b̥	0.214
ˈ	-	0.204
ɔ	ɔː_̀	0.189
ɪ	w	0.188
ɛ̃	ɛː	0.182
ɛ̃	ɛ	0.182
ɛ̃	-	0.182
ʊ	x	0.167
ɛ	ɛː	0.167
ɔ	ɔ	0.162
l	ɔː_́	0.16
d	-	0.154
i	iː_̀	0.143
ɪ	r	0.125
ɛ	eː_́	0.125
ɛ	e	0.125
r	ə_̀	0.118
t	-	0.111
ɔ	o	0.108
æ	e	0.087
s	s_ə	0.086
