Occitan	Lombard	probability
a	a	0.665
a	ã	0.11
a	-	0.103
a	u	0.069
b	b	1.0
d	d	1.0
e	e	0.501
e	-	0.211
e	i	0.087
f	f	1.0
i	ĩ	0.662
i	i	0.214
i	j	0.124
j	-	0.739
j	j	0.221
k	k	0.879
k	ʧ	0.083
l	l	0.731
l	j	0.166
l	-	0.103
lː	s	1.0
m	m	0.849
m	-	0.151
mː	m	1.0
n	n	0.525
n	t	0.203
n	-	0.133
n	ʤ	0.072
n	ɲ	0.067
nː	m	1.0
p	p	0.983
r	r	1.0
s	s	0.682
s	ʧ	0.135
s	ʃ	0.078
s	ʦ	0.066
t	t	0.804
t	-	0.111
t	ʧ	0.085
u	u	0.748
u	o	0.14
u	ũ	0.054
v	ʋ	0.959
w	-	0.445
w	l	0.318
w	f	0.237
y	j	1.0
z	-	0.614
z	z	0.277
z	ʧ	0.108
ð	d	0.898
ð	-	0.051
ð	t	0.051
ŋ	ˈẽː	0.548
ŋ	-	0.335
ŋ	k	0.117
ɔ	a	0.915
ɔ	-	0.085
ɡ	ɡ	0.71
ɡ	ʤ	0.29
ɣ	ɡ	0.723
ɣ	-	0.225
ɣ	w	0.052
ɥ	ˈø	0.642
ɥ	ˈu	0.231
ɥ	-	0.094
ɲ	ɲ	0.86
ɲ	ʦ	0.14
ɾ	r	0.695
ɾ	-	0.286
ʎ	-	0.448
ʎ	ʤ	0.448
ʎ	j	0.104
ʒ	ʤ	0.603
ʒ	-	0.194
ʒ	ʧ	0.171
ʤ	d	0.67
ʤ	ʧ	0.222
ʤ	s	0.058
ʤ	ʤ	0.05
ʦ	s	0.779
ʦ	ʦ	0.221
ʧ	ʧ	0.557
ʧ	t	0.305
ʧ	ʦ	0.138
ˈa	ˈa	0.626
ˈa	ˈãː	0.198
ˈa	ˈaː	0.087
ˈa	ˈɔ	0.068
ˈe	ˈe	0.464
ˈe	-	0.158
ˈe	ˈɔ	0.142
ˈe	ˈɛ	0.113
ˈe	ˈeː	0.064
ˈi	ˈi	0.601
ˈi	ˈĩː	0.266
ˈi	ˈa	0.064
ˈu	ˈu	0.428
ˈu	ˈũː	0.21
ˈu	ˈyː	0.184
ˈu	ˈy	0.052
ˈy	ˈy	0.618
ˈy	ˈu	0.158
ˈy	ˈũː	0.129
ˈɔ	ˈɔ	0.505
ˈɔ	ˈũː	0.19
ˈɔ	ˈøː	0.123
ˈɔ	ˈu	0.094
ˈɛ	ˈɛ	0.373
ˈɛ	ˈe	0.191
ˈɛ	-	0.184
ˈɛ	ˈẽː	0.122
ˈɛ	ˈɛ̃ː	0.096
β	ʋ	0.718
β	-	0.11
β	b	0.084
