Nynorsk Norwegian	North Frisian	probability
b	b	1.0
d	d	0.644
d	-	0.231
d	t	0.055
d	dʲ	0.042
d	z	0.042
e	-	0.501
e	ə	0.474
e	i	0.036
f	f	0.937
f	-	0.063
h	h	1.0
j	-	0.441
j	j	0.296
j	ˈa	0.101
j	ˈɛː	0.077
j	ɡ	0.075
k	k	0.91
k	x	0.076
kʰ	k	1.0
kʰ_ʋ	v	1.0
l	l	0.835
l	ə_l	0.083
l	l_ə	0.052
l	lʲ	0.032
lː	lʲ	0.558
lː	l	0.413
m	m	0.914
m	v	0.051
m	-	0.046
mː	m	1.0
n	n	0.789
n	nʲ	0.109
n	-	0.094
nː	n	0.552
nː	s	0.142
nː	nʲ	0.106
nː	r	0.084
nː	d	0.08
p	p	0.728
p	b	0.119
p	v	0.115
pʰ	p	0.244
s	s	0.853
s	z	0.061
s	r_s	0.053
s	ʃ	0.033
s	x_t	0.03
s_e	s	1.0
s_k	ʃ	1.0
sː	s	1.0
t	t	0.613
t	tʲ	0.239
t	z	0.102
t	d_ə	0.044
tʰ	t	0.796
tʰ	d	0.093
tʰ	tʲ	0.056
tʰ	t_v	0.045
tʰ	d_r	0.038
v	v	1.0
ç	t	0.339
ç	ʃ	0.339
ç	tʲ	0.146
ç	k	0.09
çː	t	0.494
ŋ	ŋ	0.494
ŋː	ŋ	1.0
ɑ	ə	0.851
ɑ	-	0.112
ɑ	w	0.04
ɑ_ɡ	i	0.494
ə	ˈiː	0.244
ɛ	-	0.66
ɛ	ə	0.161
ɡ	ɡ	0.36
ɡ	-	0.32
ɡ	j	0.187
ɡ	k	0.08
ɡ	x	0.045
ɡː	-	0.85
ɡː	w	0.078
ɪ	i	0.494
ɲ	ŋ	0.244
ɾ	r	0.824
ɾ	-	0.056
ɾ	r_d	0.054
ɾ	j	0.03
ʃ	ʃ	0.557
ʃ	s	0.367
ʉ	-	0.244
ʋ	v	0.705
ʋ	-	0.25
ʋ	v_ə	0.043
ʰkː	ŋ_k	0.683
ʰkː	k	0.222
ʰtː	x_t	1.0
ˈeː	ˈeː	0.266
ˈeː	ˈi	0.167
ˈeː	ˈɛː	0.167
ˈeː	ˈaː	0.11
ˈeː	ˈiː	0.11
ˈiː	ˈi	0.498
ˈiː	ˈiː	0.122
ˈiː	ˈeː	0.081
ˈiː	ˈi_d	0.067
ˈiː	ˈa	0.062
ˈoː	ˈiː	0.166
ˈoː	ˈuː	0.153
ˈoː	ˈɔu̯	0.133
ˈoː	ˈɛi̯	0.133
ˈoː	ˈɛː	0.088
ˈuː	ˈɔu̯	0.315
ˈuː	ˈœ_dʲ	0.228
ˈuː	ˈœ	0.187
ˈuː	ˈa	0.114
ˈuː	ˈɔ	0.087
ˈyː	ˈiː	0.634
ˈyː	ˈyː	0.136
ˈyː	ˈøː	0.136
ˈyː	ˈai̯	0.074
ˈæ	ˈɛ	0.494
ˈæɪ̯	ˈiː	0.574
ˈæɪ̯	ˈɒ	0.217
ˈæɪ̯	ˈi	0.085
ˈæɪ̯	ˈeː	0.078
ˈæʉ̯	ˈuː	0.674
ˈæʉ̯	ˈyː	0.284
ˈæːɪ̯	ˈiː	0.494
ˈøː	ˈiː	0.266
ˈøː	ˈɛ	0.266
ˈøː	ˈɛi̯	0.137
ˈøː	ə	0.131
ˈøː	ˈyː	0.097
ˈœ	ˈɔː	1.0
ˈœʏ̯	ˈiː	0.715
ˈœʏ̯	ˈuː	0.28
ˈɑ	ˈœ	0.241
ˈɑ	ˈɒ	0.186
ˈɑ	ˈɔː	0.102
ˈɑ	ˈʊ	0.096
ˈɑ	ˈuː	0.079
ˈɑː	ˈa	0.224
ˈɑː	ˈɒː	0.224
ˈɑː	ˈeː	0.175
ˈɑː	ˈɒ	0.175
ˈɑː	ˈɔː	0.101
ˈɔ	ˈɔː	0.238
ˈɔ	ˈɔ	0.208
ˈɔ	ˈyː	0.119
ˈɔ	ˈœ	0.119
ˈɔ	ˈɒ	0.089
ˈɛ	ˈa	0.254
ˈɛ	ˈeː	0.16
ˈɛ	ˈiː	0.16
ˈɛ	ˈɒː	0.139
ˈɛ	ˈɔi̯	0.074
ˈɛː	ˈɛː	0.574
ˈɛː	ˈa	0.284
ˈɪ	ˈa	0.315
ˈɪ	ˈi	0.298
ˈɪ	ˈai̯	0.253
ˈɪ	ˈɛ	0.099
ˈʉ	ˈʊ	0.367
ˈʉ	ˈøː	0.165
ˈʉ	ˈɔː	0.144
ˈʉ	ˈœ	0.105
ˈʉ	ˈʏ	0.094
ˈʉː	ˈyː	0.505
ˈʉː	ˈiː	0.165
ˈʉː	ˈøː	0.148
ˈʉː	ˈuː	0.085
ˈʉː	ˈɔː	0.068
ˈʊ	ˈɔ	0.295
ˈʊ	ˈʊ	0.288
ˈʊ	ˈeː	0.133
ˈʊ	ˈøː	0.097
ˈʊ	ˈyː	0.094
ˈʏ	ˈʊ	0.369
ˈʏ	ˈʏ	0.279
ˈʏ	ˈeː	0.102
ˈʏ	ˈa	0.101
ˈʏ	ˈœ	0.07
