Alsatian	Icelandic	probability
b̥	b̥	0.862
b̥	v	0.119
d̥	d̥	0.421
d̥	θ	0.206
d̥	d̥_ʏ	0.156
d̥	ð	0.117
d̥	-	0.056
d̥_ə	a	1.0
e	m	0.218
f	f	0.608
f	p	0.15
f	v_ʏ	0.1
f	v	0.05
h	h	1.0
i	-	0.359
i	ʏ_r̥	0.266
i	u	0.102
i	ɑu̯	0.102
i	ʏ	0.102
j	-	0.32
j	ˈu	0.242
j	ˈuː	0.242
j	ɣ	0.141
k	rː̥	0.232
k	ɟ̊ː	0.232
k	k	0.143
k	ɡ̊ː	0.135
k	ʰk	0.135
kʰ	kʰ	0.707
kʰ	cʰ	0.258
l	l	0.606
l	l̥	0.293
m	m	0.586
m	m_ʏ	0.266
m	p	0.074
m	j	0.051
n	n	0.442
n	-	0.234
n	nː	0.154
n	n̥	0.136
p͡f	ʰp	0.871
s	s	0.527
s	t	0.185
s	t_ʏ	0.144
t	ð	0.495
t	t	0.196
t	d̥	0.157
t	-	0.144
v	j	0.287
v	ɡ̊	0.287
v	-	0.154
v	v	0.154
w	ˈɪ	0.574
w	v	0.268
x	r̥	0.758
x	j	0.077
x_t	ʰt	1.0
ŋ	ŋ	0.772
ŋ	-	0.096
ŋ	ɲ	0.096
ə	a	0.482
ə	ɪ	0.169
ə	n̥	0.106
ə	ʏ	0.08
ə	-	0.059
ɡ̊	ɡ̊	0.607
ɡ̊	ɟ̊	0.266
ɡ̊	-	0.122
ʁ	r	0.523
ʁ	r̥	0.338
ʁ	-	0.113
ʃ	s	0.59
ʃ	c	0.182
ʃ	k	0.091
ʋ	v	0.406
ʋ	-	0.325
ʋ	kʰ	0.139
ʋ	ɣ	0.068
ʋ	ˈu	0.052
ʦ	tʰ	0.576
ʦ	t	0.306
ʦ	ɣ	0.089
ˈai̯	ˈeːi̯	0.218
ˈaː	ˈœ	0.5
ˈaː	ˈɛːi̯	0.5
ˈe	ˈɛː	0.244
ˈe	ˈa	0.213
ˈe	ˈɛ	0.185
ˈe	-	0.122
ˈe	ˈʏ	0.122
ˈe	ˈɪː	0.086
ˈei̯	ˈiː_r̥	0.629
ˈei̯	ˈɛː	0.361
ˈeː	ˈɛ	0.22
ˈeː	ˈɛːi̯	0.142
ˈeː	ˈiː	0.136
ˈeː	ˈɑːu̯	0.136
ˈeː	ˈɛː	0.084
ˈeː	j_ˈoːu̯	0.052
ˈi	ˈɪ	0.22
ˈi	ˈi	0.159
ˈi	ˈɪː	0.131
ˈi	ˈai̯	0.114
ˈi	ˈɛ	0.086
ˈi	ˈou̯	0.065
ˈi	ˈɔu̯	0.065
ˈi	j	0.053
ˈiː	ˈiː	0.486
ˈiː	j_ˈoːu̯	0.147
ˈiː	ˈaːi̯	0.095
ˈiː	j	0.072
ˈiː	ˈai̯	0.059
ˈiː	ˈɪ	0.055
ˈiː	ˈʏː	0.055
ˈo	ˈɔ	0.49
ˈo	ˈʏ_t	0.252
ˈo	ˈu	0.126
ˈo	ˈʏː	0.091
ˈoː	ˈɑːu̯	0.31
ˈoː	ˈɔː	0.229
ˈoː	ˈœːy̯	0.217
ˈoː	ˈɔu̯	0.115
ˈoː	ˈɛːi̯	0.081
ˈu	ˈʏ	0.19
ˈu	ˈɔ	0.165
ˈu	ˈu	0.144
ˈu	-	0.125
ˈu	ˈoːu̯	0.125
ˈu	ˈɪ	0.125
ˈu	ˈʏː	0.086
ˈyː	ˈuː	0.863
ˈyː	ˈʏ	0.087
ˈæ	ˈɛː	0.407
ˈæ	ˈɛ	0.354
ˈæ	ˈɪː	0.156
ˈæː	ˈɑːu̯	0.322
ˈæː	ˈœ	0.188
ˈæː	ˈɛ	0.173
ˈæː	ˈʏː	0.101
ˈø	ˈʏ	1.0
ˈøi̯	ˈuː	0.467
ˈøː	ˈɔu̯	0.354
ˈøː	ˈoːu̯	0.077
ˈœ	ˈœːy̯	1.0
ˈɒ	ˈa	0.411
ˈɒ	ˈɑu̯	0.163
ˈɒ	ˈaː	0.151
ˈɒ	ˈaːi̯	0.069
ˈɒ	ˈœ	0.06
ˈɒ	ˈɛ	0.06
ˈɒ_n	ˈaː	1.0
ˈɒː	ˈaː	0.401
ˈɒː	ˈa	0.139
ˈɒː	ˈɑːu̯	0.137
ˈɒː	ˈɔu̯	0.099
ˈɒː	ˈɛː	0.065
ˈɒː	ˈœ	0.061
ˈɔi̯	ˈɔ	0.467
ˈəi̯	ˈɛːi̯	0.44
ˈəi̯	ˈɛ	0.179
ˈəi̯	ˈɛi̯	0.11
ˈəi̯	ˈeːi̯	0.071
ˈəi̯	ˈœː	0.066
ˈɛ	ˈɛ	0.354
ˈɛ	ˈœː	0.165
ˈʊː	ˈoːu̯	0.581
ˈʊː	ˈœːy̯	0.155
ˈʊː	ˈiː	0.117
ˈʊː	ˈɛːi̯	0.081
