English	English	probability
ˈɜː	r	1.0
ˈɛ	ˈɑː	1.0
ˈəʊ̯_ɫ	ˈœu̯	1.0
ˈuː_#>	#>	1.0
ˈe_ð	ˈɪə̯	1.0
ʧ	k	1.0
ʤ	χ	1.0
ɹ	r	1.0
ɫ	ɫ	1.0
ɡ	ə	1.0
ɜː	ˈæː	1.0
əʊ̯	χ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	s	1.0
w	v	1.0
v_#>	#>	1.0
t	t	1.0
s_t	s	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
l	ɫ	1.0
k_s	s	1.0
k	k	1.0
h	ɦ	1.0
f_#>	χ_#>	1.0
f	v̥	1.0
d_ˈe	d_ˈʊə̯	1.0
d_ɹ	d_r	1.0
d_#>	#>	1.0
b	b	1.0
<#_ɹ	<#_r	1.0
<#_ɡ	<#_χ	1.0
<#_tʰ	<#_t	1.0
<#_kʰ	<#_k	1.0
m	m	0.926
n	n	0.918
ˈæ	ˈa	0.833
θ	d	0.667
d	d̥	0.659
ˈɒ	ˈɔ	0.6
ˈiː_#>	ˈəɪ̯_#>	0.6
ˈaɪ̯_t	ˈə_χ	0.6
j	j	0.6
ʃ	s_k	0.583
ˈeɪ̯	ˈɑː	0.545
ˈʊ	ˈɔ	0.5
ˈʊ	ˈu	0.5
ˈɐ	ˈɔ	0.5
ˈaʊ̯	ˈœɪ̯	0.5
ˈaʊ̯	-	0.5
ɪ	ə_χ	0.5
ɪ	ə	0.5
v	v̥	0.5
v	-	0.5
ə	ə_r	0.452
ˈuː	-	0.429
ʃ	s	0.417
ˈaɪ̯	ˈəɪ̯	0.409
ˈɒ	ˈa	0.4
ˈiː_#>	ˈi_#>	0.4
ˈaɪ̯_t	ˈa_χ	0.4
j	χ	0.4
#>	n_#>	0.4
ə	r	0.387
ˈɔː	r	0.385
ˈɪ	ˈə	0.382
θ	d̥	0.333
ˈɑː	ˈa	0.333
ˈəʊ̯	ˈɪə̯	0.312
ˈɔː	ˈʊə̯_r	0.308
d	d	0.293
ˈuː	ˈu	0.286
ˈuː	ˈa_n	0.286
ˈeɪ̯	-	0.273
ˈəʊ̯	ˈəɪ̯	0.25
ˈaɪ̯	ˈə	0.227
ˈiː	ˈʊə̯	0.214
ˈiː	ˈɑː	0.214
ˈiː	ˈu	0.214
#>	χ_#>	0.2
#>	s_#>	0.2
#>	k_#>	0.2
ˈe	ˈɪə̯	0.19
ˈəʊ̯	ˈʊə̯	0.188
ˈəʊ̯	-	0.188
ˈeɪ̯	ˈa_χ	0.182
ˈiː	ˈi	0.179
ˈɑː	ˈɑː	0.167
ˈɑː	ˈæː	0.167
ˈɑː	ˈa_ɫ	0.167
ˈɑː	ˈa_r	0.167
ˈæ	-	0.167
ˈɔː	ˈɔ	0.154
ˈɔː	ˈa_r	0.154
ˈɐ	ˈɪø̯	0.15
ˈɐ	ˈu	0.15
ˈɪ	ˈœ	0.147
ˈe	ˈɑː	0.143
ˈe	-	0.143
ˈaɪ̯	ˈʊə̯_χ	0.136
ˈaɪ̯	ˈi_χ	0.136
ˈɪ	ˈi	0.118
ˈiː	ˈɪə̯	0.107
ˈɐ	ˈʊə̯	0.1
ˈɐ	ˈœɪ̯	0.1
ə	ˈyː_r	0.097
ˈe	ˈʊə̯	0.095
ˈe	ˈɛ	0.095
ˈe	ˈæ	0.095
ˈe	ˈi	0.095
ˈe	ˈa	0.095
ˈaɪ̯	-	0.091
ˈɪ	ˈʊə̯	0.088
ˈɪ	ˈɪə̯	0.088
ˈɪ	ˈɛ	0.088
ˈɪ	-	0.088
n	ə_ŋ	0.082
m	m_ˈɑː	0.074
ˈiː	-	0.071
ə	ə	0.065
ˈəʊ̯	w	0.062
