Eastphalian	Eastphalian	probability
ˈɛɪ̯_n	ˈɛ_n	1.0
ˈɛə̯	ˈa	1.0
ˈøː	-	1.0
ˈyː	ˈaɪ̯_ə	1.0
ˈuː	ˈɔɪ̯	1.0
ˈeo̯	ˈɔɪ̯	1.0
ˈaː	-	1.0
ˈaʊ̯	ˈʊ	1.0
ˈaɪ̯	ˈɛɪ̯	1.0
ɪ	ɪ	1.0
ɣ̊	ɡ	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɒː	-	1.0
z̥	z	1.0
z	z	1.0
x	χ	1.0
w	v	1.0
v̥	b	1.0
v_n	b_n	1.0
r	ʀ	1.0
p_#>	f_#>	1.0
l	ɫ	1.0
h	h	1.0
b_m	f_n	1.0
b	b	1.0
<#_r	<#_ʀ	1.0
<#	<#_ˈɪ	1.0
ə_#>	#>	0.933
f	f	0.931
n	n	0.887
ˈa	ˈa	0.885
ʃ	ʃ	0.857
ˈiː	ˈaɪ̯	0.833
ˈʊ	ˈʊ	0.818
s	ʃ	0.812
ˈɪ	ˈɪ	0.808
v	v	0.778
m	m	0.76
j	ɡ	0.75
ə	-	0.714
#>	ɡ_#>	0.714
d̥	t	0.708
ŋ	ŋ	0.7
ˈɔʏ̯	ˈɪ	0.667
ˈɒː	ˈɔ	0.667
ˈeː	ˈɛ	0.625
ˈœ	ˈɛ	0.6
ç	k	0.6
ˈɛ	ˈɛ	0.583
d	t	0.577
ˈʏ	ˈɪ	0.571
ˈɛː	ˈɛ	0.571
k	k	0.552
ˈɛɪ̯	ˈɛɪ̯	0.526
p	p	0.5
p	f	0.5
ɐ	ə_ʀ	0.488
ˈɔ	ˈɔ	0.462
ˈʏ	ˈaɪ̯	0.429
ˈɛː	ˈɔ	0.429
d	d	0.423
ˈœ	-	0.4
ç	χ	0.4
ɐ	ʀ	0.39
k	χ	0.379
ˈeː	-	0.375
ˈɛɪ̯	ˈɪ	0.368
t	t	0.34
t	s	0.34
ˈɔʏ̯	-	0.333
ˈɒː	ˈa	0.333
ˈoː	ˈɔ	0.333
t	ʦ	0.319
ˈɔ	ˈʊ	0.308
ŋ	ŋ_ɡ	0.3
d̥	d	0.292
ə	ɡ	0.286
#>	d_#>	0.286
ˈɛ	ˈɪ	0.25
j	j	0.25
ˈɔ	ˈa	0.231
ˈoː	ˈʊ	0.222
ˈoː	ˈɔɪ̯	0.222
ˈoː	-	0.222
s	s	0.188
ˈʊ	ˈɔ	0.182
ˈɛ	ˈɔ	0.167
ˈiː	ˈɪ_ʀ	0.167
ʃ	ʧ	0.143
m	n	0.12
m	m_ə	0.12
ˈɪ	-	0.115
ˈa	ˈɔ	0.115
ˈɛɪ̯	ˈaɪ̯	0.105
ˈɪ	ˈaɪ̯	0.077
v	v_ˈa	0.074
v	b	0.074
v	-	0.074
ɐ	ʀ_ə	0.073
k	k_ə	0.069
f	b	0.069
ə_#>	ə_#>	0.067
