East Franconian	West Frisian	probability
β	-	1.0
ˈɛː	-	1.0
ˈɛ_ɡ̊	ˈɛi̯	1.0
ˈɘ	-	1.0
ˈɔ_ɐ	ˈoə̯	1.0
ˈɒː	ˈɪə̯	1.0
ˈa	k_ˈɛ	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	r	1.0
ɪ	ɪ	1.0
ɣ̊	-	1.0
ɣ	ˈɛi̯	1.0
ɡ̊_n	ɣ̥	1.0
ə	ˈuː_ɣ̥	1.0
ɐ_ʦ	t	1.0
z̥_n	t_ə	1.0
z̥	t_ə	1.0
v̥	p	1.0
n_d̥	n	1.0
n_a	n	1.0
m	m	1.0
i	ɪ	1.0
h	h	1.0
f_a	v_ə	1.0
eː	ɪ_n	1.0
b̥͡v̥	p	1.0
b̥	b	1.0
l	l	0.981
r	r	0.936
f	f	0.9
s	s	0.889
a	ə	0.831
n	n	0.701
v	ʋ	0.687
ˈuː	ˈuə̯	0.685
ˈaʊ̯	ˈuː	0.679
x	k	0.665
ŋ	ŋ	0.635
ɐ	r	0.609
ˈɔ	ˈɔ	0.601
ʃ	s_k	0.584
ɡ̊	ɡ	0.496
ˈɪ	ˈɪ	0.455
ˈaː	ˈɪə̯	0.422
ç	k	0.419
ʃ	s	0.416
ˈɔ	-	0.399
d̥	d	0.391
d̥	t	0.377
ˈɛ	ˈɛ	0.362
x	χ	0.335
ˈeː	ˈɪə̯	0.332
ç	χ	0.326
ˈaʊ̯	-	0.321
ˈʊ	ˈɔ	0.32
v	v	0.313
ˈaː	-	0.31
ˈɛ	ˈɪ	0.286
ˈiː	ˈiə̯	0.286
ˈɒ	ˈa	0.282
ˈɛ	-	0.264
ɡ̊	ɣ	0.261
ŋ	n	0.255
ç	ɣ̥	0.254
n	ə	0.253
ˈaɪ̯	ˈi	0.245
ɡ̊	k	0.243
ˈoː	ˈiə̯	0.238
ɐ	ə_r	0.236
ˈʊ	ˈu	0.234
ˈɒ	ˈaː	0.225
ˈeː	ˈɛi̯	0.224
ˈeː	ˈeː	0.224
ˈoː	ˈa	0.222
ˈɒ	ˈɔː	0.22
ˈeː	-	0.22
ˈoː	ˈoə̯	0.205
ˈiː	ˈɪə̯	0.205
ˈiː	ˈɪ	0.204
ˈaɪ̯	ˈiː	0.203
d̥	d̥	0.196
ˈɒ	-	0.195
ˈɪ	ˈi	0.192
a	-	0.169
ˈoː	ˈaː	0.167
ˈoː	-	0.167
ˈaː	ˈaː	0.164
ˈuː	-	0.16
ˈɪ	ˈiː	0.157
ˈuː	ˈɪə̯	0.155
ˈaɪ̯	ˈɛ_j	0.134
ˈʊ	ˈɪ	0.124
ˈʊ	-	0.124
ˈɪ	-	0.116
ˈaɪ̯	j	0.116
ˈʊ	ˈuː	0.113
s	ɕ	0.111
ŋ	ɣ_j	0.11
ˈiː	j_ˈɪ	0.109
ˈaː	ˈɪ	0.104
f	p	0.1
ˈiː	ˈiː	0.098
ˈɛ	ˈɛː	0.088
ˈʊ	ˈyː	0.085
ɐ	ə	0.083
ˈɪ	ˈɔ	0.08
ˈɒ	ˈɪə̯	0.078
ˈaɪ̯	ˈuː	0.077
ˈaɪ̯	-	0.077
ˈaɪ̯	ˈøə̯	0.075
ˈaɪ̯	j_ˈuə̯	0.073
ɐ	ˈɪə̯_r	0.072
ˈiː	j	0.068
r	-	0.064
