Upper Franconian	Upper Franconian	probability
β	ʋ_e	1.0
ˈɛː	ˈœʏ̯	1.0
ˈɘ	-	1.0
ˈɒː	ˈɑː	1.0
ˈɒ_f	ʰpː	1.0
ˈuː_d̥_#>	ˈæʉ̯_#>	1.0
ˈuː_#>	ˈʉː_#>	1.0
ˈiː_s	ˈøː_t	1.0
ˈiː_n_#>	ˈoː_#>	1.0
ˈaʊ̯	ˈʉː	1.0
ˈa	k_ˈɑ	1.0
ʃ_v	s	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	ɾ	1.0
ɪ	e_ɡ	1.0
ɣ̊	ˈeː	1.0
ɡ̊_n	ɡː	1.0
ɐ_n	ɾ_n	1.0
ɐ_d̥	ˈuː_ɾ	1.0
ç_d̥	ʰtː	1.0
z̥	t	1.0
x_d̥	ʰtː	1.0
t	ç	1.0
r	ɾ	1.0
n_s	sː	1.0
n_d̥_#>	nː_#>	1.0
n_a	nː_ɑ	1.0
n_#>	#>	1.0
l_d̥	lː	1.0
l_#>	l_#>	1.0
i_ç	ŋ	1.0
h	h	1.0
f_#>	p_#>	1.0
eː	e_n	1.0
b̥͡v̥	pʰ	1.0
b̥	b	1.0
a_#>	#>	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_v	<#	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
v	ʋ	0.889
m	m	0.862
ˈuː	ˈuː	0.818
ˈɒ	ˈɑ	0.778
ˈaː	ˈæɪ̯	0.75
f	f	0.727
l	l	0.72
s	s	0.696
ç	ɡ	0.667
b̥_#>	ʋ_#>	0.667
ɐ	ɾ	0.656
ˈeː	-	0.625
ˈaɪ̯	ˈiː	0.611
ʦ	tʰ	0.6
<#_ˈɒ	<#_ˈɑ	0.6
s_#>	s_#>	0.538
ˈɛ	ˈɛ	0.526
ʃ	s	0.524
ˈɔ	-	0.5
a	ɑ	0.5
a	e	0.5
#>	ɾ_#>	0.5
#>	ɑ_#>	0.5
s_#>	t_#>	0.462
ˈoː	ˈoː	0.45
ˈʊ	ˈʉ	0.438
ɡ̊	kʰ	0.429
x	ɡ	0.417
x	k	0.417
<#_ˈɒ	<#	0.4
d̥	d	0.392
n	n	0.385
ˈɪ	ˈɪ	0.375
ˈeː	ˈeː	0.375
ŋ	ŋː	0.375
n	ɑ	0.359
ʃ	ʂ	0.333
ç	k	0.333
b̥_#>	#>	0.333
ˈɔ	ˈʉ	0.312
ˈɪ	ˈʏ	0.292
ˈʊ	-	0.25
ˈɪ	-	0.25
ˈoː	ˈɑː	0.25
ˈiː	ˈʉː	0.25
ˈaː	ˈæʉ̯	0.25
d̥	-	0.235
ˈaɪ̯	ˈyː	0.222
ˈɛ	-	0.211
ˈiː	ˈyː	0.2
ˈiː	ˈeː	0.2
ʦ	tː	0.2
ʦ	t	0.2
d̥	tʰ	0.196
ɡ̊	-	0.19
ˈʊ	ˈɔ	0.188
ˈɔ	ˈʊ	0.188
ŋ	ɡ_ɑ	0.188
ŋ	-	0.188
ˈuː	ˈɔ	0.182
ˈaɪ̯	ˈɛ	0.167
x	ˈɔ	0.167
l	lː	0.16
ˈiː	ˈiː	0.15
ʃ	s_k	0.143
f	ʋ	0.136
f	p	0.136
s	ʂ	0.13
ˈʊ	ˈʏ	0.125
ɐ	-	0.125
ŋ	j_ɑ	0.125
l	j	0.12
ˈɒ	ˈɑː	0.111
ˈɒ	-	0.111
v	v	0.111
ˈɛ	ˈæː	0.105
ˈɛ	ˈeː	0.105
n	nː	0.103
ˈoː	ˈɑ_nː	0.1
ˈoː	ˈɑ	0.1
ˈoː	-	0.1
ˈiː	ˈɪ	0.1
ˈiː	ˈøː	0.1
ɡ̊	ʰkː	0.095
ɡ̊	ɡː	0.095
ɡ̊	ç	0.095
ɡ̊	j	0.095
ɐ	ə_ɾ	0.094
s	ʰtː	0.087
s	s_e	0.087
ˈɪ	ˈɛ	0.083
m	ʋ_ɑ	0.069
m	mː	0.069
ɐ	ɾ_e	0.062
ɐ	e	0.062
ŋ	ɲ	0.062
ŋ	jː	0.062
d̥	ʰtː	0.059
ˈɛ	ˈæ	0.053
n	k_e	0.051
n	e	0.051
n	-	0.051
