Gan	Standard Mandarin	probability
⁴²	⁵⁵	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʔ_⁵	⁵¹	1.0
ɨ_t̚	u	1.0
ɥ	ɥ	1.0
ɕ	ɕ	1.0
ɔ_ʔ	w_ɔ	1.0
ɔ	ɑ	1.0
¹¹	⁵¹	1.0
²⁴	³⁵	1.0
y	y	1.0
w	w	1.0
t̚	-	1.0
t	t	1.0
pʰ	pʰ	1.0
p	p	1.0
o	w_ɔ	1.0
n	n	1.0
m	m	1.0
l_a	n_a	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_²¹³	j_⁵¹	1.0
i_n	i_ŋ	1.0
h	x	1.0
e	y	1.0
a_ŋ	ɤ_ŋ	1.0
a_w	ɑ_w	1.0
²¹³	²¹⁴	0.882
³⁵	³⁵	0.875
a	a	0.875
ŋ	ŋ	0.864
j	j	0.792
i	i	0.786
ʦʰ	ʈ͡ʂʰ	0.727
s	ʂ	0.727
tʰ	tʰ	0.667
⁵	⁵¹	0.625
ʦ	ʈ͡ʂ	0.625
t̚_⁵	²¹⁴	0.6
f	f	0.583
z̩	ʐ̩	0.571
ɛ_t̚	ɤ	0.5
ɛ_t̚	e_j	0.5
z̩	z̩	0.429
nʲ	n	0.429
ɛ	ɑ	0.417
t̚_⁵	⁵⁵	0.4
⁵	⁵⁵	0.375
ʦ	ʦ	0.375
u	ʊ	0.368
ɨ	ə	0.333
ɨ	o	0.333
ɨ	e	0.333
ɛ	o	0.333
tʰ	t	0.333
u	u	0.316
ɵ	ɛ	0.308
ɵ	a	0.308
nʲ	ʐ	0.286
nʲ	-	0.286
ʦʰ	ʦʰ	0.273
s	s	0.273
ɛ	ɛ	0.25
f	x_w	0.25
ɵ	ɻ	0.231
i	j_o	0.214
j	-	0.208
f	x	0.167
u	w_ə	0.158
u	w	0.158
ɵ	w_a	0.154
ŋ	-	0.136
³⁵	⁵¹	0.125
a	ɤ	0.125
²¹³	⁵¹	0.118
