Min Bei	Min Bei	probability
⁵⁵	⁵¹	1.0
⁵⁴_#>	#>	1.0
⁵⁴	⁵⁵	1.0
œ_ɥ	y	1.0
œ	ɤ_ɻ	1.0
³³_#>	#>	1.0
u_j	a	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
n	ʐ	1.0
m	m	1.0
l	l	1.0
j_a	j_ɑ	1.0
e_j	i	1.0
a_ŋ	ŋ	1.0
a_j	ɤ	1.0
<#_ŋ	<#	1.0
<#_n	<#_n	1.0
<#	<#_x	1.0
³³	³⁵	0.793
⁴²	⁵¹	0.778
w	w	0.778
kʰ	kʰ	0.75
²¹	²¹⁴	0.667
u	u	0.615
a	a	0.609
e	o_w	0.6
ŋ	n	0.588
k	ʨ	0.583
ʦ	ʦ	0.556
t	t	0.5
p	p	0.455
ʦʰ	ʈ͡ʂʰ	0.444
ŋ	ŋ	0.412
x	x	0.4
x	f	0.4
e	-	0.4
u	w	0.385
s	ʂ	0.385
s	ɕ	0.385
i	i	0.375
ʦʰ	ʦʰ	0.333
²¹	³⁵	0.333
ɔ	ʊ	0.316
ɔ	ɑ	0.316
ɛ	a	0.312
²⁴	⁵⁵	0.312
²⁴	⁵¹	0.312
i	ʐ̩	0.312
t	ʈ͡ʂ	0.3
y	ɥ	0.273
p	pʰ	0.273
p	f	0.273
kʰ	ʨʰ	0.25
k	k	0.25
j	ɛ	0.235
s	s	0.231
y	y	0.227
⁴²	w_⁵¹	0.222
ʦʰ	ʨʰ	0.222
ʦ	ʨʰ	0.222
ʦ	ʈ͡ʂ	0.222
a	ɑ	0.217
ɔ	ə	0.211
x	-	0.2
t	ʈ͡ʂʰ	0.2
ɛ	-	0.188
i	j_ɛ	0.188
j	ə	0.176
j	j_o	0.176
j	-	0.176
k	-	0.167
ɔ	w_ɔ	0.158
³³	⁵¹	0.138
y	w	0.136
y	u	0.136
y	-	0.136
ɛ	ɤ	0.125
ɛ	ɛ	0.125
ɛ	j	0.125
ɛ	e	0.125
²⁴	³⁵	0.125
²⁴	²¹⁴	0.125
²⁴	j_²¹⁴	0.125
i	z̩	0.125
j	o	0.118
j	i	0.118
w	a	0.111
w	-	0.111
y	o	0.091
a	ɤ	0.087
a	i	0.087
³³	j_⁵¹	0.069
