Limburgish	Swiss German	probability
b	b̥	0.943
b	-	0.058
d	t	0.576
d	d̥	0.409
d	ʦ	0.032
f	f	0.509
f	b̥	0.481
j	-	0.244
j	t	0.232
j	l	0.141
j	j	0.123
j	d̥	0.112
j	tː	0.097
k	χ	0.682
k	k	0.153
k	-	0.078
k	ɡ̊ː	0.059
k	ɡ̊	0.034
l	l	0.943
l	w	0.032
l	-	0.031
m	m	0.958
m	mː	0.046
n	n	0.748
n	-	0.187
n	l	0.032
n	nː	0.032
n_t	ŋ	1.0
p	f	0.399
p	p͡f	0.344
p	fː	0.168
p	p	0.073
s	ʃ	0.536
s	s	0.357
s	χ_s	0.084
s	ʃː	0.033
t	t	0.318
t	ʦ	0.203
t	sː	0.181
t	d̥	0.128
t	s	0.101
t	-	0.038
v	f	0.798
v	b̥	0.119
v	-	0.081
w	l	0.239
x	ɡ̊	0.485
x	χ_t	0.274
x	χ	0.187
x	-	0.043
z	s	0.781
z	ʃ	0.218
ŋ	ŋ	0.814
ŋ	ɡ̊	0.174
ə	ə	0.606
ə	-	0.327
ə	i	0.053
ɡ	ɡ̊	0.489
ɣ	ɡ̊	0.947
ɣ	-	0.055
ɦ	h	1.0
ɪ	i	1.0
ɪː	ˈi	0.239
ʀ	r	0.974
ʀ_s	ʃ	0.489
ʃ	ʃ	1.0
ʦ	ʃ	0.489
ˈaː	ˈɒ	0.521
ˈaː	ˈɒː	0.195
ˈaː	ˈa	0.166
ˈaː	ˈæ	0.107
ˈeː	ˈæ	0.273
ˈeː	ˈyː	0.209
ˈeː	ˈi	0.157
ˈeː	ˈiə̯	0.107
ˈeː	ˈe	0.088
ˈeː	ˈæː	0.067
ˈeː	ˈy	0.044
ˈeː	-	0.039
ˈi	ˈeː	0.324
ˈi	ˈi	0.226
ˈi	ˈæː	0.193
ˈi	ˈøi̯	0.089
ˈi	ˈiə̯	0.072
ˈi	ˈɒː	0.05
ˈiː	ˈiː	0.754
ˈiː	ˈeː	0.094
ˈiː	ˈiə̯	0.066
ˈiː	ˈyː	0.066
ˈoː	ˈuə̯	0.538
ˈoː	ˈo	0.257
ˈoː	ˈoː	0.194
ˈu	ˈoː	0.826
ˈu	ˈøː	0.141
ˈuː	ˈuː	0.794
ˈuː	ˈoː	0.096
ˈuː	ˈu	0.091
ˈv	f	0.239
ˈyː	ˈøː	0.461
ˈyː	ˈyː	0.401
ˈyː	ˈo	0.067
ˈæ	ˈɒ	0.488
ˈæ	ˈæ	0.1
ˈæ	ˈø	0.089
ˈæː	ˈa	0.341
ˈæː	ˈɒː	0.341
ˈæː	ˈæ	0.192
ˈæː	ˈe	0.043
ˈøː	ˈyə̯	0.516
ˈøː	ˈyː	0.252
ˈøː	ˈøː	0.105
ˈøː	ˈy	0.098
ˈœ	ˈu	0.488
ˈœ	ˈɒː	0.196
ˈœ	ˈou̯	0.181
ˈœi̯	ˈyː	0.477
ˈœi̯	ˈøi̯	0.477
ˈœː	ˈu	1.0
ˈɑ	ˈɒ	0.541
ˈɑ	ˈa	0.107
ˈɑ	ˈæ	0.107
ˈɑ	ˈæː	0.107
ˈɑ	ˈø	0.107
ˈɑ	ˈɒː	0.036
ˈɑː	ˈɒ	1.0
ˈɒː	ˈɒː	0.66
ˈɒː	ˈoː	0.138
ˈɒː	ˈo	0.096
ˈɒː	ˈɒ	0.055
ˈɔ	ˈo	0.622
ˈɔ	ˈu	0.237
ˈɔ	ˈuə̯	0.136
ˈɔu̯	ˈou̯	0.66
ˈɔu̯	ˈau̯	0.158
ˈɔː	ˈo	0.45
ˈɔː	ˈau̯	0.267
ˈɔː	ˈou̯	0.198
ˈɛ	ˈæ	0.372
ˈɛ	ˈi	0.245
ˈɛ	ˈe	0.214
ˈɛ	ˈiː	0.13
ˈɛi̯	ˈyː	0.489
ˈɛː	ˈæi̯	0.307
ˈɛː	ˈɛi̯	0.267
ˈɛː	ˈi	0.214
ˈɛː	ˈy	0.099
ˈɛː	ˈei̯	0.072
ˈɛː_n	ˈei̯	0.489
ˈɛːi̯	ˈei̯	1.0
ˈɪ	ˈæ	0.234
ˈɪ	ˈø	0.185
ˈɪ	ˈiː	0.154
ˈɪ	ˈi	0.131
ˈɪː	ˈi	0.779
ˈɪː	ˈe	0.098
ˈɪː	ˈy	0.098
ˈʊ	ˈu	0.489
ˈʊː	ˈuə̯	0.237
ˈʊː	ˈu	0.201
ˈʊː	ˈo	0.18
ˈʊː	ˈoː	0.153
ˈʊː	ˈuː	0.116
ˈʊː	ˈɒː	0.076
ˈʏ	ˈy	0.489
ˈʏː	ˈy	0.361
ˈʏː	ˈø	0.361
ˈʏː	ˈøi̯	0.203
β	ʋ	0.968
β	t	0.041
