Belarusian	Proto-Slavic	probability
ˈɨ_#>	i_#>	1.0
ˈa	ǎ	1.0
ʦ	ʦ	1.0
ʣʲ	d	1.0
ʐ	ʒ	1.0
ʌ	e	1.0
ʂ	ʒ	1.0
ɫ_ɨ	l_ŭ	1.0
ɣ	ɡ	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
vʲ	v	1.0
v	v	1.0
u	õː	1.0
t_a	t_o	1.0
t_#>	t_ŭ_#>	1.0
sʲ	s	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r	r	1.0
pʲ	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_#>	l_ĭ_#>	1.0
lʲ	l	1.0
kʲ	k	1.0
k	k	1.0
j	-	1.0
i	ŭ	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a_#>	o_#>	1.0
<#_ʦʲ	<#_t	1.0
<#_x	<#_x	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#	<#_s	1.0
ɨ	ŭ	0.818
t	t	0.818
ʧ	ʧ	0.714
ˈi	ǐ	0.667
w	l	0.667
ɫ	l	0.636
ˈæ	ẽ	0.6
ʦʲ	t_ĭ	0.6
ɫ_a	l	0.6
x	ɡ_ŭ	0.6
e	e	0.6
p	p	0.556
ˈɨ	ɨ̌	0.5
ˈɨ	ɨˀ	0.5
r_a	r_ɛː	0.5
r_a	r	0.5
p	b	0.444
æ	e	0.417
#>	ŭ_#>	0.417
ˈæ	ẽ̂ː	0.4
ʦʲ	t	0.4
ɫ_a	o_l	0.4
x	x	0.4
e	-	0.4
#>	ĭ_#>	0.375
a	o	0.36
ˈi	i	0.333
w	v_ŭ	0.333
nʲ	n_ĭ	0.333
nʲ	n	0.333
nʲ	ĭ	0.333
ˈe	ɛ̂ː	0.312
ˈo	ô	0.303
ʧ	k_t	0.286
ˈe	ɛˀ	0.25
æ	ẽ	0.25
a	e	0.24
#>	i_#>	0.208
a	a	0.2
ˈe	ɛ̌	0.188
ˈo	ǒ	0.182
ɫ	l_ŭ	0.182
ɫ	d_l	0.182
ɨ	e	0.182
t	d_ŭ	0.182
æ	ɛː	0.167
æ	ẽː	0.167
ˈo	ôː	0.152
ˈe	ĭ	0.125
ˈe	ê	0.125
ˈo	-	0.121
a	ŭ	0.12
a	ǒ	0.08
ˈo	ŭ̌	0.061
ˈo	ŭ̂	0.061
ˈo	ĭ̂	0.061
ˈo	ĭˀ	0.061
