Teochew	Teochew	probability
⁵⁵	⁵³	1.0
⁵²	³³	1.0
⁴⁴	⁵⁵	1.0
⁴	⁵	1.0
ʨʰ	ʦʰ	1.0
ʦʰ	ʦʰ	1.0
ʦ_j	s_w	1.0
ʦ	ʦ	1.0
ʔ	ʔ	1.0
¹¹	²⁴²	1.0
³⁵	²⁴²	1.0
³³	⁵⁵	1.0
²⁴	⁵³	1.0
²¹³	²¹³	1.0
²	²⁴	1.0
w_e	w_a	1.0
ũ	a	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
p̚	ʔ	1.0
pʰ	pʰ	1.0
p	p	1.0
õ	ɔ_ŋ	1.0
m	m	1.0
k	k	1.0
i_m	i_ŋ	1.0
h	h	1.0
ẽ	a_ŋ	1.0
b	m	1.0
ã	ŋ	1.0
a_ŋ	ŋ	1.0
a_w	a_w	1.0
a_m	a_ŋ	1.0
a_j	i	1.0
<#_ɡ	<#_ŋ	1.0
<#_w	<#_w	1.0
<#	<#_ʦ	1.0
kʰ	kʰ	0.818
ŋ	ŋ	0.658
k̚	ʔ	0.643
l	l̃	0.625
n	nˡ	0.6
w	w	0.556
j	j	0.556
ʣ	nˡ	0.5
ʣ	-	0.5
ĩ	j_a	0.5
ĩ	j	0.5
ɯ	o_w	0.429
o	o	0.421
n	l̃	0.4
l	nˡ	0.375
i	j_e	0.35
e	a	0.318
i	i	0.3
ɯ	w	0.286
ɯ	-	0.286
u	u	0.278
o	-	0.263
i	ɛ_j	0.25
a	ɑ	0.242
a	o	0.242
e	j	0.227
u	w	0.222
u	-	0.222
j	-	0.222
k̚	ɥ_ʔ	0.214
a	ø	0.212
w	u	0.185
w	-	0.185
kʰ	-	0.182
e	o	0.182
u	o_w	0.167
o	w_ɔ	0.158
o	w	0.158
k̚	j_ʔ	0.143
ŋ	ɥ_ŋ	0.132
ŋ	o_ŋ	0.132
a	a	0.121
u	w_ɔ	0.111
j	ɛ	0.111
j	j_ɛ	0.111
i	-	0.1
e	ɑ	0.091
e	y	0.091
e	e_w	0.091
a	ɥ	0.091
a	-	0.091
ŋ	w_ŋ	0.079
w	e	0.074
