Saterland Frisian	Swiss German	probability
a	ˈyː	0.525
a	ə	0.475
b	b̥	0.92
b	-	0.08
d	t	0.602
d	d̥	0.222
d	-	0.058
d	tː	0.057
f	f	0.928
f	b̥	0.072
h	h	0.957
i	æ	1.0
j	-	0.387
j	ˈyː	0.204
j	ɡ̊	0.136
j	ˈi	0.06
j	j	0.058
k	χ	0.535
k	-	0.274
k	k	0.124
k	ɡ̊	0.062
l	l	0.968
m	m	0.903
n	n	0.799
n	-	0.165
p	f	0.484
p	p͡f	0.294
p	p	0.118
p	fː	0.104
r	r	0.97
s	s	0.458
s	ʃ	0.423
s	χ	0.086
t	t	0.257
t	sː	0.231
t	ʦ	0.227
t	d̥	0.136
t	s	0.129
v	ʋ	0.821
v	-	0.086
v	b̥	0.069
w	ˈyː	0.806
w	b̥	0.194
x	χ	0.472
x	ɡ̊	0.338
x	ɡ̊ː	0.117
x	f	0.055
z	s	0.843
z	r	0.157
ŋ	ŋ	0.921
ŋ	-	0.079
ə	ə	0.852
ə	-	0.11
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.822
ɣ	-	0.054
ɣ	f	0.054
ɪ	i	0.664
ɪ	-	0.336
ɫ	l	1.0
ˈa	ˈæ	0.363
ˈa	ˈe	0.206
ˈa	ˈu	0.206
ˈa	ˈø	0.206
ˈaː	ˈɒ	0.466
ˈaː	ˈei̯	0.26
ˈaː	ˈɒː	0.173
ˈaː	ˈæː	0.101
ˈaːi̯	ˈɒː	0.593
ˈaːi̯	ˈɒ	0.25
ˈaːi̯	ˈæ	0.157
ˈaːu̯	ˈou̯	0.532
ˈaːu̯	ˈiə̯	0.24
ˈaːu̯	ˈo	0.228
ˈeː	ˈøː	0.174
ˈeː	ˈei̯	0.167
ˈeː	ˈøi̯	0.167
ˈeː	ˈæ	0.14
ˈeː	ˈeː	0.112
ˈeː	ˈæi̯	0.106
ˈeː	ˈɛi̯	0.059
ˈeːu̯	ˈæː	1.0
ˈi	ˈiː	0.325
ˈi	ˈi	0.294
ˈi	ˈyː	0.101
ˈi	ˈæː	0.084
ˈi	-	0.081
ˈi	ˈæ	0.074
ˈiː	ˈi	0.259
ˈiː	ˈɒː	0.205
ˈiː	ˈæ	0.175
ˈiː	ˈiː	0.108
ˈiː	ˈiə̯	0.101
ˈiːu̯	ˈæ	1.0
ˈoː	-	0.37
ˈoː	ˈoː	0.142
ˈoː	ˈɒ	0.117
ˈoː	ˈau̯	0.093
ˈoː	ˈou̯	0.077
ˈoː	ˈɒː	0.065
ˈoː	ˈeː	0.064
ˈoːu̯	ˈɒ	0.313
ˈoːu̯	ˈo	0.291
ˈoːu̯	ˈuə̯	0.255
ˈoːu̯	ˈoː	0.142
ˈu	-	0.344
ˈu	ˈuː	0.344
ˈu	ˈuə̯	0.312
ˈuː	-	0.247
ˈuː	ˈuː	0.192
ˈuː	ˈoː	0.132
ˈuː	ˈu	0.099
ˈuː	ˈo	0.09
ˈuː	ˈy	0.061
ˈuː	ˈuə̯	0.055
ˈuː	ˈyə̯	0.055
ˈyː	ˈy	0.79
ˈyː	ˈyː	0.21
ˈøː	ˈuː	1.0
ˈœː	ˈøː	1.0
ˈɔ	ˈɒ	0.334
ˈɔ	ˈo	0.194
ˈɔ	ˈy	0.192
ˈɔ	ˈø	0.182
ˈɔ	ˈɒː	0.076
ˈɔː	ˈɒ	0.337
ˈɔː	ˈæ	0.273
ˈɔː	ˈu	0.147
ˈɔː	ˈy	0.115
ˈɔːɪ̯	ˈei̯	1.0
ˈɛ	ˈæ	0.296
ˈɛ	ˈɒː	0.207
ˈɛ	ˈe	0.155
ˈɛ	ˈɛi̯	0.145
ˈɛ	ˈiː	0.098
ˈɛ	ˈɒ	0.098
ˈɛɪ̯	ˈyə̯	0.27
ˈɛɪ̯	ˈɒː	0.149
ˈɛɪ̯	ˈyː	0.122
ˈɛɪ̯	ˈøi̯	0.078
ˈɛɪ̯	ˈoː	0.067
ˈɛɪ̯	ˈuː	0.067
ˈɛɪ̯	ˈɛi̯	0.053
ˈɛɪ̯	ˈiə̯	0.053
ˈɛɪ̯	ˈuə̯	0.051
ˈɛː	ˈy	0.234
ˈɛː	ˈɒ	0.201
ˈɛː	ˈæ	0.188
ˈɛː	-	0.138
ˈɛː	ˈi	0.138
ˈɛː	ˈu	0.101
ˈɪ	ˈi	0.636
ˈɪ	ˈe	0.161
ˈɪ	ˈy	0.149
ˈɪ	ˈiə̯	0.054
ˈʊ	ˈu	0.601
ˈʊ	-	0.223
ˈʊ	ˈɒː	0.067
ˈʊ	ˈo	0.06
