Proto-Germanic	Gothic	probability
b	b	0.981
d	d	0.937
e	a	1.0
i	-	0.496
i	iː	0.192
i	i	0.189
iː	i	1.0
j	j	0.559
j	-	0.413
jː	a	1.0
k	k	0.955
kʷ	kʷ	1.0
l	l	0.965
lː	lː	1.0
m	m	0.968
n	n	0.967
nː	nː	0.638
nː	n	0.362
p	p	1.0
pː	p	0.855
pː	β	0.145
r	r	0.94
r	-	0.06
s	s	0.988
t	t	0.973
u	u	0.76
u	-	0.188
u	i	0.052
w	w	0.799
w	-	0.169
wː	ɡːʷ	1.0
x	h	1.0
xʷ	ʍ	1.0
z	s	0.899
z	-	0.064
ð	ð	0.652
ð	θ	0.197
ð	f	0.058
ð	t	0.056
ŋ	ŋ	0.925
ŋ	-	0.075
ɑ	a	0.532
ɑ	-	0.439
ɑi̯	ˈɛː	1.0
ɑː	aː	1.0
ɑ̃	-	1.0
ɔː	a	0.523
ɔː	oː	0.477
ɔːu̯	ɔː	1.0
ɔːː	a	0.514
ɔːː	oː	0.486
ɔ̃ː	oː	1.0
ɛː	a	1.0
ɡ	ɡ	0.916
ɡ	h	0.084
ɡʷ	ɡʷ	1.0
ɣ	ɡ	0.684
ɣ	ɣ	0.232
ɣ	x	0.059
ɸ	f	0.882
ɸ	kʷ	0.098
ˈe	ˈɛ	0.463
ˈe	ˈi	0.392
ˈe	ˈiu̯	0.08
ˈeu̯	ˈiu̯	0.788
ˈeu̯	ˈu	0.212
ˈeː	ˈeː	1.0
ˈi	ˈi	0.836
ˈi	ˈiː	0.164
ˈiu̯	ˈiu̯	1.0
ˈiː	ˈiː	1.0
ˈu	ˈu	0.609
ˈu	ˈɔ	0.228
ˈu	ˈɔː	0.088
ˈu	ˈuː	0.056
ˈuː	ˈuː	0.957
ˈɑ	ˈa	0.903
ˈɑi̯	ˈɛː	0.983
ˈɑu̯	ˈɔː	0.713
ˈɑu̯	ˈɔ	0.201
ˈɑː	ˈa	1.0
ˈɔː	ˈoː	1.0
ˈɛː	ˈeː	1.0
β	f	0.486
β	β	0.462
β	b	0.052
θ	θ	1.0
