Hoisanese	Hoisanese	probability
ᵐb	m	1.0
ʦ_i	ʦ	1.0
ʦ	ʦ	1.0
ɵ	o	1.0
ɬ	ɕ	1.0
ɛ	o	1.0
ɔ_ŋ	ɑ̃	1.0
ɔ_n	ø	1.0
ɔ_k̚	o_ʔ	1.0
ɔ_j	e	1.0
ɔ	w	1.0
²¹	²³	1.0
²²	²³	1.0
²	²³	1.0
v	ɦ	1.0
u_n	i	1.0
u_j	y	1.0
t	ʦ	1.0
s_j	z	1.0
s	s	1.0
p	p	1.0
m̩	ŋ̍	1.0
m	n	1.0
l	l	1.0
k̚	ʔ	1.0
kʰ	ʥ	1.0
i_w	ɜ	1.0
e_w	ɜ	1.0
e_n	i	1.0
e_j	i	1.0
a_w	ɔ	1.0
a_n	e	1.0
a_m	ø	1.0
a_j	i	1.0
n	n	0.846
ŋ	ŋ	0.8
w	-	0.8
pʰ	b	0.8
ᵑɡ	nʲ	0.778
t̚	ʔ	0.75
³³	⁵³	0.681
w_ɔ	u	0.667
a_ŋ	ã	0.625
a	a	0.611
ⁿd	n	0.6
ʦʰ	ʦʰ	0.571
f	f	0.538
⁵⁵	³⁴	0.526
³²	²³	0.526
k	k	0.5
h_w	kʰ	0.5
h_w	h	0.5
e	ə	0.5
e	j	0.5
<#	<#_d	0.5
³²	¹²	0.474
ʦʰ	z	0.429
tʰ	ʦʰ	0.429
ⁿd	nʲ	0.4
k	ʨ	0.4
j	-	0.4
a_ŋ	n	0.375
w_ɔ	ə	0.333
i	j	0.333
i	i	0.333
i	-	0.333
u	ə	0.3
j	j	0.3
⁵⁵	⁵⁵	0.289
tʰ	ʨʰ	0.286
tʰ	ʑ	0.286
a	o	0.278
u	u	0.25
t̚	ɪ_ʔ	0.25
h	tʰ	0.25
<#	<#_ɦ	0.25
<#	<#_t	0.25
ᵑɡ	ɦ	0.222
³³	³⁴	0.213
ŋ	ɑ̃	0.2
w	ɤ	0.2
u	z̩	0.2
pʰ	pʰ	0.2
j	i	0.2
h	ʨʰ	0.188
h	ɦ	0.188
n	ø	0.154
f	v	0.154
f	kʰ	0.154
f	h	0.154
u	-	0.15
⁵⁵	²³	0.132
h	kʰ	0.125
h	h	0.125
h	-	0.125
a	-	0.111
³³	⁵⁵	0.106
u	ɥ	0.1
k	ɡ	0.1
j	ɦ	0.1
⁵⁵	⁵	0.053
