Shanghainese	Cantonese	probability
⁵³	⁵⁵	1.0
⁵	³	1.0
ʨ	k	1.0
ʑ	ʧʰ	1.0
ɪ_ʔ	t̚	1.0
ɥ	yː	1.0
ɤ	w	1.0
ɜ	ɐ_w	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
¹²	²	1.0
z̩	iː	1.0
w	ɔː	1.0
v	f	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
p	p	1.0
o_ʔ	ɔː_k̚	1.0
m	m	1.0
l	l	1.0
k	k	1.0
i_n	ɪ_ŋ	1.0
f	f	1.0
b	pʰ	1.0
a	aː	1.0
<#	<#_j	1.0
nʲ	j	0.75
n	n	0.75
ʦ	ʦ	0.727
ʔ	k̚	0.7
o	ʊ	0.684
³⁴	³⁵	0.677
kʰ	h	0.667
h	h	0.667
ə	ɐ	0.636
²³	²¹	0.635
z	s	0.625
ʨʰ	h	0.6
d	t	0.6
ã	œː_ŋ	0.6
ʦʰ	ʦʰ	0.571
ɔ	w	0.556
ɑ̃	ɔː_ŋ	0.556
e	ɔː_j	0.545
⁵⁵	⁵	0.5
⁵⁵	³	0.5
ɦ	w	0.5
y	ɵ	0.5
y	ɐ	0.5
u	ɔː	0.5
j	ɐ	0.5
j	iː	0.5
ɔ	o_w	0.444
ɑ̃	ŋ	0.444
ʦʰ	ʧʰ	0.429
ʨʰ	ʦʰ	0.4
d	tʰ	0.4
ã	ŋ	0.4
z	ʦʰ	0.375
kʰ	f	0.333
h	f	0.333
³⁴	³³	0.323
ʔ	t̚	0.3
ø	ɔː_n	0.3
ø	n	0.3
u	o	0.3
ɦ	h	0.286
i	e	0.286
ʦ	ʧ	0.273
e	aː_n	0.273
nʲ	n	0.25
i	ɐ	0.238
²³	²²	0.222
ɦ	j	0.214
ø	yː_n	0.2
ø	aː_m	0.2
u	uː	0.2
ə	ɵ	0.182
ə	ɪ	0.182
e	j	0.182
n	ŋ	0.15
²³	¹³	0.143
i	ɐ_j	0.143
i	iː_n	0.143
o	ɛː	0.105
o	u	0.105
o	aː	0.105
n	m	0.1
i	yː	0.095
i	iː	0.095
