Westphalian	Westphalian	probability
ˈɪ	ˈɪ	1.0
ˈɛː	-	1.0
ˈɔ_l	ˈɑu̯	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈaː	1.0
ˈœː	ˈoː_ɾ	1.0
ˈø	-	1.0
ˈyːœ̯	ˈoː	1.0
ˈyə̯	ˈʏ	1.0
ˈuːə̯	ˈɔ_ɾ	1.0
ˈuə̯	-	1.0
ˈoː	ˈu	1.0
ˈiː_ɐ	ˈi_ɾ	1.0
ˈiː	ˈɛi̯	1.0
ˈiɛ̯	-	1.0
ʃ_ʋ	z_ʋ	1.0
ɪ	ə	1.0
ɣ	χ	1.0
ə	-	1.0
ɐ_#>	#>	1.0
ç	χ	1.0
z̥	z̥	1.0
x_r	χ_ɾ	1.0
x	χ	1.0
v̥	v̥	1.0
r	ɾ	1.0
l	ɫ	1.0
j	j	1.0
h	ɦ	1.0
f	v	1.0
b	b	1.0
aɪ̯	i	1.0
<#_r	<#_ɾ	1.0
#>	n_#>	1.0
d	d	0.939
d̥	d̥	0.933
ˈa	ˈɑ	0.929
m	m	0.885
t	t	0.875
ˈɛ	ˈɛ	0.857
ˈɔː	ˈaː	0.857
n	n	0.851
ŋ	ŋ	0.846
ˈeː	ˈeː	0.833
ˈaɪ̯	ˈi	0.812
ˈʊ	ˈɔ	0.8
ˈɪə̯	ˈeː	0.8
ˈaʊ̯	ˈoː	0.786
ˈøː	ˈu	0.75
ˈuː	ˈœy̯	0.75
p	p	0.75
ɡ	χ_ə	0.714
s	z	0.682
v	ʋ	0.677
ˈʏ	ˈʏ	0.667
ˈaː	ˈaː	0.667
k	k	0.667
ʃ	s	0.652
ˈɪɛ̯	ˈeː	0.545
ˈyː	ˈœy̯	0.5
ˈyː	ˈyː	0.5
ʋ	ʋ	0.5
ʋ	v̥	0.5
ɐ	ɾ	0.5
ɐ	ə_ɾ	0.5
ʃ	s_χ	0.348
ˈʏ	-	0.333
ˈaː	-	0.333
z	z̥	0.333
z	z_ə	0.333
z	z	0.333
s	s	0.318
ɡ	χ	0.286
ˈɪɛ̯	ˈɛ	0.273
ˈøː	ˈoː	0.25
ˈuː	-	0.25
p	p_ə	0.25
ˈaʊ̯	-	0.214
ˈʊ	ˈœy̯	0.2
ˈɪə̯	ˈøː	0.2
v	v̥	0.194
ˈaɪ̯	-	0.188
ˈɪɛ̯	-	0.182
ˈeː	-	0.167
k	k_ə	0.167
k	-	0.167
ŋ	χ_ə	0.154
ˈɛ	-	0.143
ˈɔː	-	0.143
v	v_ə	0.129
t	t_ə	0.125
m	ˈoː_m	0.115
n	n_d	0.074
ˈa	-	0.071
d̥	-	0.067
d	-	0.061
