West Frisian	West Flemish	probability
#>	#>	0.823
#>	ə_#>	0.099
#>	t_#>	0.056
<#	<#	1.0
<#_h	<#	1.0
b	b	0.924
b	-	0.076
d	d	1.0
f	v	0.867
f	f	0.128
h	z	0.461
h	ɦ	0.461
h	k	0.055
j	-	0.624
j	ˈiə̯	0.209
j	j	0.158
j_#>	#>	0.512
j_ˈuə̯	ˈiə̯	1.0
j_ˈɛ	ˈæ	1.0
k	k	0.687
k	h	0.18
k	-	0.129
k_#>	#>	1.0
l	l	0.853
l	w	0.085
l	-	0.06
m	m	1.0
n	n	0.911
n	v_n	0.057
p	p	1.0
r	ɾ	0.994
s	s	0.521
s	z	0.337
s	ʃ	0.086
s	ɾ_s	0.054
t	t	0.906
t	d	0.07
v	ʋ	0.703
v	v	0.19
v	-	0.093
z	s	0.425
z	ɦ	0.25
z	z	0.147
ŋ	ŋ	0.891
ŋ	-	0.1
ɕ	z	1.0
ə	-	0.383
ə	ə	0.344
ə	n	0.271
ɡ	ɦ	1.0
ɣ	ɦ	1.0
ɪ	ɪ	0.871
ɪ	m	0.06
ʋ	ʋ	1.0
ʦ	k	0.461
ʦ	d	0.265
ʦ	t	0.265
ˈa	ˈɑ	0.741
ˈa	ˈɒː	0.141
ˈa	ˈæ	0.107
ˈaː	ˈɒː	0.378
ˈaː	ˈɑ	0.243
ˈaː	ˈɛː	0.148
ˈaː	ˈeː	0.129
ˈaː	ˈoː	0.068
ˈeː	ˈoː	0.339
ˈeː	ˈeː	0.257
ˈeː	ˈiə̯	0.257
ˈeː	ˈɛː	0.105
ˈi	ˈi	0.498
ˈi	ˈɪ	0.224
ˈi	ˈɛ	0.148
ˈi	ˈeː	0.108
ˈiə̯	ˈɒː	0.251
ˈiə̯	ˈɛː	0.243
ˈiə̯	ˈiə̯	0.212
ˈiə̯	ˈuə̯	0.151
ˈiə̯	ˈeː	0.129
ˈiː	ˈi	0.401
ˈiː	ˈɒː	0.119
ˈiː	ˈɛː	0.119
ˈiː	ˈɪ	0.119
ˈiː	ˈyː	0.093
ˈiː	ˈɑ	0.093
ˈiː	ˈœ	0.057
ˈoə̯	ˈoː_ɾ	0.441
ˈoə̯	ˈɔ	0.253
ˈoə̯	ˈøː	0.177
ˈoə̯	ˈɒː	0.117
ˈoː	ˈuə̯	0.512
ˈu	ˈøː	0.574
ˈu	ˈu	0.294
ˈuə̯	ˈuə̯	0.721
ˈuə̯	ˈoː	0.154
ˈuə̯	ˈɑ	0.093
ˈuː	ˈyː	0.478
ˈuː	ˈoː	0.275
ˈuː	ˈu	0.203
ˈy	ˈɛː	1.0
ˈyː	ˈyː	1.0
ˈø	ˈœ	0.388
ˈø	ˈɒː	0.199
ˈøə̯	ˈiə̯	0.512
ˈɔ	ˈɔ	0.334
ˈɔ	ˈœ	0.264
ˈɔ	ˈu	0.129
ˈɔ	ˈæ	0.129
ˈɔ	ˈɪ	0.074
ˈɔ	ˈeː	0.064
ˈɔu̯	ˈu	0.871
ˈɔu̯	ɾ	0.06
ˈɔː	ˈu	0.496
ˈɔː	ˈɑ	0.312
ˈɔː	ˈeː	0.179
ˈɛ	ˈeː	0.341
ˈɛ	ˈæ	0.218
ˈɛ	ˈɒː	0.201
ˈɛ	ˈi	0.082
ˈɛ_j	ˈiə̯	1.0
ˈɛi̯	j	0.176
ˈɛi̯	ˈiə̯	0.176
ˈɛi̯	ˈɒː	0.176
ˈɛi̯	ˈɛ	0.176
ˈɛi̯	ˈɑ	0.087
ˈɛi̯	ˈeː	0.084
ˈɛi̯	ˈæ	0.084
ˈɛː	ˈɑ	0.302
ˈɛː	ˈɒː	0.229
ˈɛː	ˈœ	0.155
ˈɛː	ˈeː	0.105
ˈɛː	ˈæ	0.105
ˈɪ	ˈɪ	0.301
ˈɪ	ˈɛ	0.299
ˈɪ	ˈiə̯	0.066
ˈɪ	ˈoː	0.066
ˈɪ	-	0.058
ˈɪ	ə	0.058
ˈɪ	ˈæ	0.058
ˈɪ	ˈɑ	0.058
ˈɪ	ˈʏ	0.058
ˈɪə̯	ˈoː	0.614
ˈɪə̯	-	0.086
ˈɪə̯	ˈiə̯	0.086
ˈɪə̯	ˈɛː	0.086
ˈɪə̯	ˈɔ	0.073
ˈɪə̯	ˈɒː	0.06
ˈɵ	ˈuə̯	0.512
χ	h	0.719
χ	ɦ	0.133
χ	-	0.073
χ	ç	0.073
