Old English	Old Frisian	probability
θ	θ	1.0
ˈɛ	ˈe	1.0
ˈæːɑ̯	ˈaː	1.0
ˈy	ˈe	1.0
ˈuː	ˈuː	1.0
ˈiy̯	ˈe	1.0
ˈi_ç	ˈa_x	1.0
ʧː	kː	1.0
ʤː	ʣ	1.0
ʤ	ɡː	1.0
ʃ	s_k	1.0
ɫː	lː	1.0
ɣ̊	ɣ̥	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɑ_n	ə	1.0
ŋ	ŋ	1.0
ð	ð	1.0
ç	x	1.0
z	z	1.0
xː	j	1.0
x	x	1.0
v	v	1.0
u	ə	1.0
tː	tː	1.0
t	t	1.0
s	s	1.0
rː	r	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_e	r_ə	1.0
pː	pː	1.0
p	p	1.0
o	ə	1.0
nː	nː	1.0
mː	mː	1.0
m	m	1.0
l	l	1.0
kː	kː	1.0
k	k	1.0
iːy̯	iː	1.0
iː	iː	1.0
f	f	1.0
eo̯	ə	1.0
e	ə	1.0
dː	dː	1.0
bː	bː	1.0
b	b	1.0
a	ə	1.0
r	r	0.962
d	d	0.943
h	h	0.94
n	n	0.934
ˈe	ˈe	0.921
ˈu	ˈu	0.911
ˈi	ˈi	0.876
ˈiː	ˈiː	0.867
ɫ	l	0.848
w	w	0.843
j	j	0.818
ˈæ	ˈe	0.798
ˈoː	ˈoː	0.783
ˈɑː	ˈɛː	0.774
ʧ	k	0.763
ˈeo̯	ˈe	0.754
ˈæː	ˈeː	0.724
ˈæɑ̯	ˈa	0.703
i	i	0.645
ˈeː	ˈeː	0.629
ˈeːo̯	ˈi̯aː	0.61
ɑ	j	0.564
ˈo	ˈo	0.561
ˈiːy̯	-	0.534
ˈɑ	ˈɔː	0.532
ˈyː	ˈuː	0.5
ˈyː	-	0.5
ˈɑ	ˈa	0.468
ˈo	ˈɔː	0.439
ɑ	ə	0.436
i	j	0.355
ˈiːy̯	ˈɛː	0.301
ˈæɑ̯	ˈeː	0.297
ˈæː	ˈaː	0.276
ˈeo̯	ˈeː	0.246
ʧ	ʦ	0.237
ˈɑː	ˈaː	0.226
ˈoː	ˈɔː	0.217
ˈæ	ˈa	0.202
ˈeː	ˈiː	0.186
ˈeː	-	0.186
j	ɣ̥	0.182
ˈeːo̯	-	0.18
ˈiːy̯	ˈiː	0.166
w	-	0.157
ɫ	l_ə	0.152
ˈeːo̯	ˈi̯uː	0.141
ˈiː	-	0.133
ˈu	ˈo	0.089
ˈe	ˈi	0.079
ˈi	j	0.076
ˈeːo̯	ˈeː	0.069
h	-	0.06
d	-	0.057
