Bulgarian	Belarusian	probability
ˈɤ_ɫ	ˈo_w	1.0
ˈɛ_#>	a_#>	1.0
ˈɔ_#>	a_#>	1.0
ˈɔ	ˈo	1.0
ˈa_ɫ	ˈe_ɫ	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɫ_#>	lʲ_#>	1.0
ɫ	ɫ	1.0
ɡ	ɣ	1.0
ɛ_n	n_ɨ	1.0
ɐ_k	kʲ_i	1.0
ɐ_#>	#>	1.0
vʲ	vʲ	1.0
r_ɛ	r_a	1.0
m_#>	m_#>	1.0
lʲ	lʲ	1.0
l	lʲ	1.0
k_ˈɔ	k_ˈo	1.0
j	ʦʲ	1.0
f	v_ɨ	1.0
b	b	1.0
<#_ˈɔ	<#_a	1.0
<#	<#_v	1.0
#>	ɨ_#>	1.0
r	r	0.889
k	k	0.842
o	a	0.778
p	p	0.75
x	x	0.714
n	n	0.667
d	d	0.625
ˈi	ˈi	0.583
s	s	0.583
m	mʲ	0.556
ˈɤ	ˈo	0.545
z	zʲ	0.545
ɛ	æ	0.526
ˈɛ	ˈe	0.5
ɐ	a	0.5
v	vʲ	0.5
v	v	0.5
i	ˈɨ	0.5
i	ɨ	0.5
ˈa	ˈa	0.457
t	ʦʲ	0.457
t	t	0.457
z	z	0.455
m	m	0.444
ˈi	ˈɨ	0.417
s	sʲ	0.417
d	ʣʲ	0.375
n	nʲ	0.333
x	xʲ	0.286
ˈɤ	ˈu	0.273
p	pʲ	0.25
ˈa	ˈe	0.229
ˈɛ	ˈæ	0.222
o	ˈo	0.222
ɛ	e	0.211
ˈɤ	ˈɵ	0.182
ˈɛ	ˈo	0.167
ɐ	-	0.167
ɛ	a	0.158
k	x	0.158
ˈa	ˈo	0.143
ˈa	a	0.114
ˈɛ	ˈɵ	0.111
ɐ	ˈo	0.111
ɐ	u	0.111
ɐ	e	0.111
r	a_r	0.111
ɛ	ˈæ	0.105
t	ʧ	0.086
ˈa	ˈæ	0.057
