West Frisian	Middle English	probability
ˈɪə̯_l	ˈa_ɫ	1.0
ˈɛ_r	r	1.0
ˈɔː	ˈɔː	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈeː_n	1.0
ˈø	ˈɛː	1.0
ˈyː	ˈu	1.0
ˈy	ˈu	1.0
ˈu̯o	ˈeː	1.0
ˈu	ˈu	1.0
ˈoː	ˈuː	1.0
ˈiː_k	k	1.0
ˈiə̯_n	ˈɔː_n	1.0
ˈiə̯_d	ˈeː_d	1.0
ˈi_t	t	1.0
ˈai̯	ˈau̯	1.0
ɪ_ɣ̥	iː	1.0
ɣ	-	1.0
ɡ	ɡ	1.0
ɕ	s	1.0
t_ˈɪ	θ_ˈi	1.0
t_ə	t	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
s	s	1.0
p	p	1.0
n_t	n_t	1.0
l_ˈɛː	l	1.0
l_ə	l_ə	1.0
k_j	k_ə	1.0
j_ɪ	eː	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
m	m	0.932
t	t	0.931
r	r	0.895
ŋ	ŋ_ɡ	0.859
ˈiː	ˈiː	0.852
ʋ	w	0.848
k	k	0.807
χ	ç	0.767
d̥	d	0.766
ˈɛː	ˈa	0.76
ˈɛ	ˈɛ	0.76
l	l	0.74
v	w	0.699
ɣ̥	ʤ	0.693
ˈuː	ˈuː	0.683
ˈɔ	ˈu	0.662
ˈi	ˈiː	0.619
ˈoə̯	ˈɔ	0.599
ˈeː	-	0.572
z	ə	0.557
j	-	0.534
ˈuə̯	ˈoː	0.525
j_ˈɔ	ˈiː	0.5
j_ˈɔ	ˈi	0.5
ˈɪə̯	ˈɛː	0.474
ˈiə̯	ˈeː	0.47
n	n	0.468
ˈɛi̯	ˈæi̯	0.454
z	z	0.443
ə	ə	0.441
ˈeː	ˈi	0.428
ˈiə̯	ˈɛː	0.427
ˈɪ	ˈi	0.412
ˈa	ˈa	0.398
ʦ	-	0.396
ˈɛi̯	-	0.362
ʦ	θ	0.362
ˈuə̯	-	0.337
ˈɪ	-	0.318
ˈuː	ˈiː	0.317
ɣ̥	x	0.307
ə	ə_n	0.302
v	v	0.301
ˈa	-	0.298
ˈaː	ˈa	0.292
ˈoə̯	ˈoː	0.284
j	ˈeː	0.261
ʦ	ʧ	0.242
ˈɛː	r	0.24
ˈɛ	-	0.24
d̥	θ	0.234
χ	x	0.233
ˈi	ˈi	0.23
ˈɪə̯	-	0.228
ˈaː	ˈɔː	0.222
ˈa	ˈaː	0.222
j	ə	0.205
l	ɫ	0.203
k	ʧ	0.193
ˈaː	ˈæi̯	0.192
ˈɛi̯	ˈɛ	0.185
n	-	0.172
ˈɪə̯	ˈɔː	0.163
ˈɔ	ˈɔ	0.162
ˈɪ	ˈu	0.156
ʋ	ʍ	0.152
ˈi	ˈeː	0.151
ˈiː	ˈeː	0.148
ˈaː	ˈɛː	0.148
ˈaː	ˈaː	0.147
ə	n	0.143
ŋ	n_ɡ	0.141
n	n_d	0.14
ˈuə̯	ˈuː	0.138
ˈɪə̯	ˈeː	0.136
ˈoə̯	r	0.117
ə	-	0.115
n	n_ə	0.104
ˈɔ	ˈi	0.103
ˈiə̯	ˈɔu̯	0.103
ˈa	ˈi	0.082
n	r_n	0.082
ˈɔ	-	0.072
t	-	0.069
m	m_b	0.068
r	ə_r	0.067
ˈɪ	ˈɛ	0.059
l	l_ˈɛː	0.057
ˈɪ	ˈiː	0.056
