Afrikaans	Bokmål Norwegian	probability
b	b	1.0
d	d	0.502
d	tʰ	0.334
d	-	0.155
f	f	0.643
f	ʋ	0.132
f	-	0.09
f	ʋ_ə	0.083
j	-	0.365
j	ˈʊ	0.176
k	k	0.43
k	kʰ	0.295
k	-	0.124
k	ç	0.055
m	m	0.827
m	mː	0.139
n	n	0.632
n	nː	0.174
n	-	0.147
n_t	nː	1.0
p	p	0.739
p	-	0.108
p	pʰ	0.094
r	ɾ	0.835
r	ɳ	0.079
r	-	0.06
s	s	0.886
s	-	0.054
t	t	0.319
t	-	0.315
t	tʰ	0.133
t	d	0.102
v	ʋ	0.774
v	-	0.202
v_ˈɔ	ˈʉ	1.0
w	ʋ	0.354
w	ˈøː	0.173
w	ˈɔ	0.173
w	ç	0.119
w	ˈuː	0.119
ŋ	ŋː	0.672
ŋ	-	0.261
ŋ	ŋ	0.065
ŋ_k	kː	1.0
ə	-	0.486
ə	ə	0.401
ə	i	0.068
ɦ	h	0.934
ɦ	j	0.064
ɫ	l	0.843
ɫ	lː	0.138
ˈa	ˈɑ	0.618
ˈa	ˈɛ	0.139
ˈa	ˈɑː	0.097
ˈi	ˈyː	0.399
ˈi	ˈeː	0.172
ˈi	ˈiː	0.105
ˈi	-	0.091
ˈi	ˈʉː	0.091
ˈi	ˈɛ	0.07
ˈi	ˈæː	0.056
ˈi_t	ˈyː	0.232
ˈoːi̯	ˈøː	1.0
ˈu	ˈuː	0.789
ˈu	ˈœ	0.081
ˈu	ˈøː	0.078
ˈuː	ˈuː	0.482
ˈuːi̯	ˈʉː	0.232
ˈyː	ˈyː	0.871
ˈæ	ˈɑ	0.419
ˈæ	ˈæ	0.097
ˈæː	ˈæ	0.5
ˈæː	ˈæː	0.5
ˈœ	ˈʏ	0.67
ˈœ	ˈʊ	0.145
ˈœ	ˈœ	0.098
ˈœi̯	ˈiː	0.482
ˈœu̯	ˈɑ	0.608
ˈœu̯	ˈʉ	0.255
ˈœɪ̯	ˈʉː	0.718
ˈœɪ̯	ˈʊ	0.116
ˈœɪ̯	ˈʏ	0.116
ˈɑː	ˈoː	0.463
ˈɑː	ˈɑː	0.254
ˈɑː	ˈɑ	0.087
ˈɑː	-	0.072
ˈɑː	ˈuː	0.056
ˈɔ	ˈʉ	0.292
ˈɔ	ˈuː	0.17
ˈɔ	ˈœ	0.119
ˈɔ	ˈɔ	0.119
ˈɔ	ˈʉː	0.09
ˈɔ	ˈʊ	0.067
ˈɔ	-	0.055
ˈɔ	ˈɑ	0.052
ˈɔː	ˈæɪ̯	0.202
ˈɔː	ˈʏ	0.202
ˈə	ˈɪ	0.613
ˈə	ˈiː	0.109
ˈə	ˈyː	0.084
ˈə	ˈʏ	0.084
ˈə	ˈɛ	0.065
ˈəɪ̯	ˈiː	0.315
ˈəɪ̯	ˈæɪ̯	0.278
ˈəɪ̯	ˈɛ	0.237
ˈəɪ̯	ˈiː_ə	0.141
ˈɛ	ˈɛ	0.536
ˈɛ	ˈœ	0.171
ˈɛ	ˈæɪ̯	0.113
ˈɛ	ˈøː	0.078
ˈɛ	ˈɪ	0.078
ˈɛː	ˈɑː	0.318
ˈɛː	ˈiː	0.153
ˈɪ	ˈʉː	0.482
ˈɪø̯	ˈeː	0.425
ˈɪø̯	ˈʊ	0.235
ˈɪø̯	ˈœ	0.13
ˈɪə̯	ˈeː	0.228
ˈɪə̯	ˈiː	0.21
ˈɪə̯	ˈæɪ̯	0.21
ˈɪə̯	ˈʉː	0.109
ˈɪə̯	ˈæː	0.085
ˈɪə̯	-	0.065
ˈɪə̯	j	0.064
ˈʊə̯	ˈuː	0.28
ˈʊə̯	ˈøː	0.262
ˈʊə̯	ˈœ	0.102
ˈʊə̯	-	0.058
ˈʊə̯	ˈɔ	0.058
ˈʊə̯	ˈʉː	0.058
ˈʊə̯	ˈʊ	0.058
ˈʊə̯	ˈoː	0.055
ˈʊə̯	ˈœʏ̯	0.05
ˈʊə̯_t	ˈøː	1.0
χ	ɡ	0.307
χ	-	0.243
χ	j	0.159
χ	ɡː	0.087
χ	ɡ_ə	0.074
χ	tː	0.056
χ_t	tː	0.482
