French	Corsican	probability
a	a	0.324
a	ˈa	0.258
a	e	0.191
a	-	0.114
a	d_e	0.053
b	b	0.88
b	-	0.089
d	d	0.775
d	t	0.086
d	n	0.058
d	s	0.058
e	ˈa	0.541
e	-	0.184
e	d_e	0.109
e	e	0.084
e	u	0.063
f	f	0.862
f	v	0.088
i	ˈi	0.356
i	e	0.197
i	u	0.145
i	ˈe	0.128
i	ˈɛ	0.06
j	ʎ	0.238
j	ˈe	0.238
j	c	0.156
j	-	0.148
j	p	0.064
k	k	0.963
l	l	0.506
l	lː	0.245
l	j	0.17
m	m	0.91
n	n	0.914
o	ˈa	0.336
o	ˈɔ	0.188
o	lː_u	0.179
o	ˈe	0.165
o	e	0.066
o	ˈo	0.065
p	p	1.0
s	s	0.48
s	ʧ	0.277
s	-	0.063
s	sː	0.055
t	t	0.385
t	s_t	0.245
t	tː	0.15
t	ʧː	0.06
u	ˈɔ	0.657
u	u	0.119
u	ˈo	0.097
u	ˈi	0.065
v	v	0.81
v	p	0.181
w	ˈɛ	0.489
w	ˈu	0.109
w	ˈɔ_ʧ	0.076
w	-	0.058
w	t	0.053
y	ˈu	0.839
y	ˈo	0.11
y	u	0.051
z	ʧ	0.626
z	ʒ	0.22
z	ɟ	0.095
z	z	0.059
ø	k_u	0.356
ø	u	0.343
ø	i	0.147
ø	ˈɔ	0.079
œ	ˈɔ	0.606
œ	ˈo	0.336
œ	ŋ	0.059
ɑ̃	ˈɛ	0.334
ɑ̃	ˈa	0.259
ɑ̃	ŋ	0.122
ɑ̃	a	0.081
ɑ̃	w	0.081
ɑ̃	ˈa_ŋ	0.068
ɑ̃	ˈe	0.055
ɔ	ˈɔ	0.615
ɔ	u	0.172
ɔ	ˈo	0.145
ɔ	o	0.068
ɔ̃	ˈo	0.368
ɔ̃	u	0.26
ɔ̃	ˈɔ	0.178
ɔ̃	n_u	0.132
ɔ̃	ŋ	0.062
ə	i	0.396
ə	ˈɛ	0.256
ə	a	0.243
ə	ˈe	0.055
ɛ	ˈa	0.476
ɛ	ˈɛ	0.267
ɛ	e	0.076
ɛ	ˈe	0.07
ɛ	-	0.06
ɛ̃	ˈi	0.244
ɛ̃	ɲ	0.192
ɛ̃	ˈa_n	0.185
ɛ̃	n	0.16
ɛ̃	ˈɛ	0.112
ɛ̃	ŋ	0.066
ɡ	ɡ	0.779
ɡ	k	0.138
ɡ	ɟ	0.083
ɥ	tː	0.26
ɥ	ˈu	0.212
ɥ	ʦː	0.126
ɥ	ˈɔ	0.126
ɥ	ˈo	0.094
ɥ	ˈi	0.094
ɥ	-	0.088
ɲ	ɲ	1.0
ʁ	r	0.814
ʃ	k	0.731
ʃ	kː	0.193
ʒ	ɟ	0.614
ʒ	d	0.108
ʒ	v	0.071
ʒ	-	0.061
ʒ	b	0.056
