Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɛː	-	1.0
ˈɛ	-	1.0
ˈœ	-	1.0
ˈøː	ˈʌ	1.0
ˈiː_æ	ɐ	1.0
ˈeː	-	1.0
ˈaɪ̯	-	1.0
ˈae̯_#>	#>	1.0
ɾ_æ	ɐ	1.0
ɾ	ˈeˀ	1.0
ɣ	ˈiˀ	1.0
ɡ̊	-	1.0
z̥_#>	s_#>	1.0
w	ʋ	1.0
v̥	w	1.0
tʰ	ʦʰ	1.0
t_n	ð̞ˠ_ə	1.0
t_#>	#>	1.0
s	s	1.0
r	ʁ	1.0
pʰ	pʰ	1.0
p_n	b̥_ə	1.0
p_#>	b̥_#>	1.0
p	b̥	1.0
n_n	n_ə	1.0
n_d̥	nˀ	1.0
n_#>	#>	1.0
m_#>	#>	1.0
kʰ	kʰ	1.0
k_n	ɡ̊_ə	1.0
k_#>	#>	1.0
j	ɡ̊	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d̥	ð̞ˠ	1.0
b_m	w_ə	1.0
b	b̥	1.0
ae̯	-	1.0
<#_ˈʊ	<#_ˈʌ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
#>	j_#>	1.0
z	s	0.952
v	ʋ	0.867
m	m	0.833
ç	-	0.75
ɡ	ɡ̊	0.714
l	l	0.711
ˈœː	-	0.667
x	-	0.667
ˈiː	ˈiˀ	0.636
ˈyː	-	0.6
ʃ	s	0.583
ˈʊ	ˈu	0.556
ˈɪ	ˈe	0.542
n	n	0.514
ˈoː	ˈœˀ	0.5
ˈoː	-	0.5
ˈaː	ˈa	0.5
v̥_#>	ʋ_#>	0.5
v̥_#>	#>	0.5
t	d̥	0.5
k	j	0.5
æ	ɐ	0.481
ˈae̯	ˈeˀ	0.476
d	ʦʰ	0.448
d	d̥	0.448
ˈʊ	ˈɔ	0.444
t	ð̞ˠ	0.433
ˈɔ	-	0.429
ˈuː	ˈuˀ	0.421
ʃ	s_ɡ̊	0.417
ˈʏ	ˈœ	0.4
ˈʏ	-	0.4
ˈyː	ˈyˀ	0.4
ˈɔʏ̯	ˈœˀ	0.375
ˈiː	ˈiː	0.364
ŋ	ŋˀ	0.357
ˈœː	ˈoˀ	0.333
ˈaː	ˈɑˀ	0.333
x	j	0.333
ˈaʊ̯	ˈoˀ	0.318
k	ɡ̊	0.3
ˈɒː	ˈɔˀ	0.294
ˈɒː	-	0.294
ˈa	ˈa	0.292
l	lˀ	0.289
ˈɔ	ˈɛ	0.286
ˈɔ	ˈu	0.286
ɡ	-	0.286
ˈuː	-	0.263
ˈɔʏ̯	ˈøː	0.25
ˈɔʏ̯	-	0.25
ˈa	-	0.25
ç	ɡ̊	0.25
ˈae̯	-	0.238
ŋ	ŋ	0.214
ˈɪ	-	0.208
ˈa	ˈɛ	0.208
ˈa	ˈɑ	0.208
ˈʏ	ˈɑ	0.2
k	w	0.2
ˈae̯	ˈyː	0.19
æ	ʌ	0.185
æ	ɐˀ	0.185
ˈaʊ̯	ˈœˀ	0.182
ˈaʊ̯	-	0.182
ˈɪ	ˈiˀ	0.167
ˈaː	ˈæː	0.167
n	nˀ	0.162
n	n_ə	0.162
ˈuː	ˈuː	0.158
ˈuː	ˈo	0.158
æ	-	0.148
ŋ	ə	0.143
ŋ	w_ə	0.143
ŋ	-	0.143
ˈaʊ̯	ˈʌ	0.136
v	-	0.133
ˈɔʏ̯	ˈɶˀ	0.125
ˈɒː	ˈʌ	0.118
ˈɒː	ˈɔː	0.118
ˈɒː	ˈa	0.118
n	ə	0.108
d	-	0.103
ˈae̯	ˈyˀ	0.095
ˈaʊ̯	ˈʌˀ	0.091
ˈaʊ̯	ˈɔˀ	0.091
ˈɪ	ɡ̊	0.083
m	wˀ_n	0.083
m	mˀ	0.083
t	ð̞ˠ_ə	0.067
ˈɒː	ˈaː	0.059
n	ð̞ˠ_ə	0.054
