Taiwanese Hokkien	Min Bei	probability
⁴⁴	⁵⁴	1.0
⁴	⁴²	1.0
ʨ	ʦ	1.0
ʦʰ	ʦʰ	1.0
ɪ	j	1.0
ɕ	s	1.0
ŋ_²⁴	ŋ_²¹	1.0
ŋ	ŋ	1.0
¹¹	³³	1.0
³²	²⁴	1.0
w_e	a_j	1.0
t̚_³²	²⁴	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o_ʔ	ɔ	1.0
l_i	œ	1.0
k̚	-	1.0
kʰ	kʰ	1.0
k	k	1.0
ĩ	i_ŋ	1.0
i_w	j_u	1.0
h	x	1.0
b	m	1.0
<#_h	<#	1.0
<#	<#_s	1.0
#>	³³_#>	1.0
⁵³	²¹	0.92
²⁴	³³	0.786
³³	⁵⁵	0.75
o	w	0.714
e	a	0.714
ŋ̍	ɔ_ŋ	0.7
a_j	i	0.667
<#_ɡ	<#_ŋ	0.667
i	i	0.643
a_w	e	0.6
ʦ	ʦ	0.571
m	ŋ	0.571
n	j_ŋ	0.556
l	n	0.545
u	y	0.533
ʨʰ	ʦʰ	0.5
ʨʰ	s	0.5
ɪ_k̚	ɛ	0.5
ɪ_k̚	y	0.5
w_a	ɛ	0.5
w_a	w_ɛ	0.5
w	w	0.5
w	u	0.5
e_ʔ	y_ɛ	0.5
e_ʔ	a	0.5
a	ɔ	0.5
l	l	0.455
ʦ	-	0.429
m	m	0.429
a_w	a_w	0.4
ɔ	u	0.364
i	e	0.357
u	u	0.333
ã	ŋ	0.333
ã	j_ŋ	0.333
ã	a_ŋ	0.333
a_j	ɛ	0.333
<#_ɡ	<#	0.333
ŋ̍	y_j	0.3
o	a_w	0.286
e	o	0.286
a	a	0.286
ɔ	y	0.273
j	-	0.273
³³	⁴²	0.25
j	j	0.227
n	ɥ_ŋ	0.222
n	-	0.222
²⁴	²¹	0.214
a	-	0.214
ɔ	ɔ	0.182
ɔ	-	0.182
j	j_a	0.182
j	a	0.136
u	œ	0.133
j	ɛ	0.091
j	œ	0.091
⁵³	-	0.08
