Campidanese	Sicilian	probability
ˈɔ_z	ˈu	1.0
ˈu_m	nː	1.0
ˈa	ˈa	1.0
ʧ	ɕ	1.0
ʒ	ɕ	1.0
ʃ	ʃː	1.0
ɡ	ɡ	1.0
ɖː	ɖː	1.0
ɔ̆	-	1.0
ɔ_z	ɪ	1.0
ŋ	ŋ	1.0
ð	t	1.0
w	w	1.0
p_ɾ	c	1.0
p	p	1.0
n_ˈu	n_ˈɔ	1.0
l_ˈe	l_ˈɛ	1.0
l_i	l_ɪ	1.0
l_a	l_a	1.0
l	l	1.0
j_u	ʊ	1.0
i_#>	#>	1.0
f_ɾ	ç	1.0
f	f	1.0
d	d	1.0
b_ɾ	v	1.0
ă	-	1.0
a_z	ɪ	1.0
a_r	ʐ	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_j	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
#>	ɪ_#>	1.0
ˈu	ˈu	0.917
m	m	0.897
u	ʊ	0.848
k	k	0.848
ˈi	ˈi	0.846
n	n	0.778
ɭː	ɟː	0.75
z	-	0.75
β	p	0.714
ˈɛ	ˈɛ	0.7
ˈe	ˈɛ	0.688
s	s	0.676
i	ɪ	0.67
ˈɔ	ˈɔ	0.667
ɛ	ɪ	0.667
ŭ_#>	#>	0.667
nː	nː	0.667
e	i	0.667
ɾ	ɾ	0.643
ɣ	k	0.643
t	t	0.613
b	v	0.613
ˈo	ˈɔ	0.529
ɔ	u	0.5
ɔ	o	0.5
r	ʐː	0.5
r	ɾ_n	0.5
j	ˈi	0.5
j	j	0.5
t	tː	0.387
b	b	0.387
ɣ	cː	0.357
ˈɔ	ˈu	0.333
ʤ	ʤ	0.333
ʤ	ɲː	0.333
ʤ	ɕ	0.333
ɛ	i	0.333
ŭ_#>	j_#>	0.333
nː	n	0.333
e	ɪ	0.333
β	v	0.286
ɭː	ɖː	0.25
z	z	0.25
ˈo	ˈu	0.235
ˈo	ˈo	0.235
ˈɛ	ˈi	0.233
s	ʃ	0.189
ˈe	ˈi	0.188
n	-	0.185
k	kː	0.152
ɾ	r	0.143
ˈe	ˈe	0.125
ɾ	-	0.125
m	mː	0.103
ˈu	ˈɔ	0.083
i	ɾ_ɪ	0.082
s	sː	0.081
ˈi	ˈi_v	0.077
ˈi	i	0.077
i	i	0.072
ˈɛ	ˈe	0.067
ɾ	ɽ	0.054
s	ɖː	0.054
i	-	0.052
