Friulian	Romanian	probability
a	-	0.171
a	ˈə	0.149
a	ə	0.103
a	a	0.098
a	i	0.098
a	ɨ	0.098
a	ˈa	0.098
a	o	0.081
a	e	0.078
aː	ˈo	0.263
b	b	1.0
c	k	0.928
c	p	0.061
d	d	0.537
d	t	0.227
d	z	0.095
d	d_ˈe	0.076
d	-	0.052
e	ə	0.71
e	e	0.171
e	a	0.07
f	f	0.654
f	w	0.167
f	-	0.121
f	p	0.056
i	e	0.318
i	-	0.244
i	i	0.157
i	u	0.099
i	r_e	0.08
i	e_r	0.056
j	j	0.64
j	-	0.119
j	ʦ	0.103
j	kʲ	0.059
j	i	0.053
k	k	0.767
k	ʧʲ	0.061
k	p	0.058
k	ʤ	0.058
k	ɡ	0.053
l	l	0.471
l	r	0.307
l	-	0.217
l_a	e	1.0
m	m	0.904
m	n	0.061
n	n	0.896
n	-	0.065
o	u	0.581
o	ˈu	0.135
o	o	0.107
o	e	0.079
o	o̯ˈa	0.072
p	p	0.919
p	-	0.079
r	r	0.878
r	-	0.089
s	s	0.626
s	-	0.119
s	ʧ_e	0.067
s	ʃ_t	0.051
t	t	0.505
t	t_e	0.192
t	p_t	0.114
t	d	0.06
u	o	0.292
u	-	0.221
u	j	0.168
u	u	0.141
u	e	0.123
v	v	0.605
v	-	0.181
v	r	0.093
v	b	0.071
v_ˈɔ	ˈo	1.0
w	u	0.292
w	-	0.234
w	o̯ˈa	0.155
w	ˈo	0.155
w	r	0.109
w_ˈa	o̯ˈa	1.0
w_ˈi	ˈu	1.0
w_ˈɛ	ˈo	1.0
z	ʦ	0.437
z	z	0.331
z	s	0.148
z	ʃ	0.05
ŋ	n	0.515
ŋ	ŋ	0.369
ŋ	m	0.08
ɟ	ŋ	1.0
ɡ	ɡ	0.638
ɡ	k	0.214
ɡ	p	0.085
ɡ	b	0.066
ɲ	n	0.829
ɲ	j	0.169
ʤ	ʤ	0.681
ʤ	t	0.128
ʤ	ʒ	0.128
ʧ	ʧ	0.407
ʧ	ʦ	0.348
ʧ	k	0.08
ʧ	ʤ	0.066
ʧ	z	0.059
ˈa	ˈa	0.653
ˈa	ˈɨ	0.243
ˈaː	ˈa	0.556
ˈaː	ˈa_r	0.432
ˈe	ˈe	0.428
ˈe	e̯ˈa	0.163
ˈe	ˈi	0.142
ˈe	e	0.069
ˈe	ˈa	0.069
ˈe	ˈo	0.069
ˈe	-	0.053
ˈeː	ˈe	0.515
ˈeː	e̯ˈa	0.258
ˈeː	ˈə	0.195
ˈi	ˈi	0.854
ˈi	j	0.061
ˈi	ˈɨ	0.055
ˈiː	ˈi_r	0.369
ˈiː	ˈe	0.348
ˈiː	ˈi	0.152
ˈiː	ˈa	0.066
ˈo	ˈu	0.521
ˈo	-	0.124
ˈo	ˈo	0.103
ˈo	o̯ˈa	0.082
ˈo	u	0.063
ˈo	e	0.059
ˈo	w	0.053
ˈoː	ˈo_j	0.488
ˈoː	o̯ˈa	0.19
ˈoː	ˈu	0.19
ˈu	ˈu	0.734
ˈu	ˈa	0.118
ˈu	ˈɨ	0.073
ˈu	ˈo	0.058
ˈuː	ˈo	0.86
ˈuː	ˈu	0.124
ˈɔ	ˈo	0.345
ˈɔ	ˈu	0.256
ˈɔ	o̯ˈa	0.236
ˈɔ	ˈi	0.135
ˈɔ_l	ˈu	1.0
ˈɔː	ˈo	0.513
ˈɛ	ˈe	0.462
ˈɛ	e̯ˈa	0.107
ˈɛ	ˈi	0.107
ˈɛ	ˈa	0.093
ˈɛ	ˈu	0.064
ˈɛ	j	0.061
ˈɛ	ˈɨ	0.061
ˈɛː	ˈe	0.758
ˈɛː	ˈa	0.102
