West Frisian	Swedish	probability
b	b	0.962
b	-	0.042
d	d	0.683
d	-	0.184
d	tʰ	0.105
d	ɖ	0.028
f	f	0.8
f	v	0.114
f	m	0.046
f	-	0.04
h	h	1.0
j	-	0.582
j	j	0.156
j	ˈiː	0.125
j	ˈʉː	0.049
j	ˈæː	0.04
j_ˈuə̯	ˈyː	0.473
k	k	0.585
k	kʰ	0.282
k	kː	0.088
k	ɡ	0.043
l	l	0.851
l	lː	0.067
l	-	0.051
l	nː	0.029
m	m	0.857
m	mː	0.14
n	n	0.589
n	-	0.218
n	nː	0.14
n	ɳ	0.046
p	p	0.631
p	v	0.139
p	pː	0.1
p	pʰ	0.097
r	r	0.906
r	-	0.043
r	ɖ	0.026
r	ɳ	0.025
s	s	0.888
s	sː	0.055
s	ɧ	0.055
s_k	ɧ	1.0
t	t	0.364
t	d	0.199
t	-	0.152
t	tʰ	0.148
t	tː	0.068
v	v	0.81
v	-	0.139
v	ɕ	0.045
z	s	0.594
z	jː	0.116
z	r	0.074
ŋ	ŋː	0.651
ŋ	ŋ	0.257
ŋ	-	0.08
ɕ	ɧ	0.359
ɕ	s	0.17
ə	a	0.488
ə	-	0.281
ə	ɛ	0.195
ɡ	ɡ	0.828
ɡ	j	0.126
ɣ	ɡ	0.284
ɣ	-	0.254
ɣ	ɡː	0.221
ɪ	-	0.245
ɪ	ɪ	0.213
ɪ	ɵ	0.213
ʋ	v	0.768
ʋ	ˈœ	0.13
ʋ	ˈʊ	0.088
ʋ_ˈɔ	ˈɵ	0.473
ʦ	ɕ	0.822
ʦ	tʰ	0.103
ˈa	ˈa	0.426
ˈa	ˈɑː	0.227
ˈa	ˈɛ	0.125
ˈa	ˈoː	0.064
ˈa	ˈɔ	0.064
ˈaː	ˈɑː	0.309
ˈaː	ˈoː	0.194
ˈaː	ˈa	0.169
ˈaː	ˈeː	0.112
ˈaː	ˈʉː	0.06
ˈeː	ˈøː	0.478
ˈeː	ˈeː	0.315
ˈeː	ˈɵ	0.149
ˈi	ˈiː	0.623
ˈi	ˈɛː	0.112
ˈi	ˈeː	0.082
ˈi	ˈɛ	0.08
ˈi	ˈɪ	0.08
ˈiə̯	ˈoː	0.242
ˈiə̯	j	0.169
ˈiə̯	ˈøː	0.169
ˈiə̯	ˈeː	0.109
ˈiə̯	ˈʉː	0.072
ˈiː	ˈiː	0.476
ˈiː	ˈa	0.153
ˈiː	ˈɪ	0.153
ˈiː	ˈɛ	0.1
ˈiː	ˈeː	0.073
ˈoə̯	ˈoː	0.299
ˈoə̯	ˈœ	0.158
ˈoə̯	ˈɛː	0.158
ˈoə̯	ˈuː	0.157
ˈoə̯	ˈɔ	0.092
ˈoː	ˈuː	0.231
ˈoː	ˈʉː	0.231
ˈoː	ˈʊ	0.231
ˈu	ˈʊ	0.561
ˈu	ˈoː	0.425
ˈuə̯	ˈuː	0.894
ˈuə̯	ˈoː	0.092
ˈuː	ˈɵ	0.391
ˈuː	ˈʉː	0.345
ˈuː	-	0.1
ˈuː	ˈœ	0.1
ˈuː	ˈɔ	0.041
ˈy	ˈoː	1.0
ˈyː	ˈʉː	0.245
ˈyː	ˈɔ	0.213
ˈyː	ˈʏ	0.213
ˈø	ˈoː	0.392
ˈø	ˈæː	0.213
ˈø	ˈʏ	0.213
ˈøə̯	ˈɛ	0.224
ˈɔ	ˈɔ	0.34
ˈɔ	ˈɵ	0.2
ˈɔ	ˈœ	0.148
ˈɔ	ˈʉː	0.098
ˈɔ	ˈʊ	0.085
ˈɔu̯	ˈɵ	0.359
ˈɔu̯	r	0.17
ˈɔː	ˈa	0.815
ˈɔː	ˈʉː	0.143
ˈɛ	ˈa	0.196
ˈɛ	ˈɛ	0.17
ˈɛ	ˈæ	0.129
ˈɛ	ˈeː	0.095
ˈɛ	ˈʏ	0.09
ˈɛi̯	ˈɛ	0.198
ˈɛi̯	ɛ	0.182
ˈɛi̯	ˈɛː	0.182
ˈɛi̯	ˈɑː_ɡ	0.119
ˈɛi̯	ˈeː	0.08
ˈɛː	ˈɑː	0.53
ˈɛː	ˈɛː	0.179
ˈɛː	ˈʏ	0.165
ˈɪ	ˈɪ	0.297
ˈɪ	ˈɛ	0.161
ˈɪ	-	0.12
ˈɪ	ˈeː	0.12
ˈɪ	ˈɵ	0.102
ˈɪə̯	ˈøː	0.366
ˈɪə̯	ˈa	0.147
ˈɪə̯	ˈœː	0.128
ˈɪə̯	ˈøː_d	0.112
ˈɪə̯	ˈœ	0.074
ˈɵ	ˈœ	1.0
χ	tː	0.355
χ	ɡ	0.241
χ	j	0.125
χ	ŋ	0.082
χ	k	0.065
