Asturian	Asturian	probability
θ_#>	s_#>	1.0
β_ˈa	ˈa	1.0
β_e	e	1.0
ˈo_ŋ	ˈu	1.0
ˈe_β	f	1.0
ˈe_ʝ	ʧ	1.0
ˈe_n	ˈe	1.0
ʧ	t	1.0
ʝ_u	j	1.0
ʃ_u	s	1.0
ʃ	z	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_e	e_r	1.0
ɾ_#>	#>	1.0
ɣ_u	k	1.0
ŋ_#>	#>	1.0
s_#>	#>	1.0
r	r	1.0
p	p	1.0
n_u_#>	#>	1.0
m_ˈo	l	1.0
m	m	1.0
l_#>	l_#>	1.0
k_ɾ	k_r	1.0
k	k	1.0
f_e	b	1.0
f	f	1.0
e_s	s	1.0
e_m	y	1.0
e_#>	#>	1.0
d_u	t	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_ɡ_w	<#_ˈø	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_b_j	<#_ˈɛ	1.0
<#_b_e	<#_e	1.0
<#_b	<#	1.0
u_#>	#>	0.958
ˈa	ˈa	0.95
t	t	0.933
a	a	0.909
s	s	0.871
b	b	0.833
ʎ	l	0.828
n	n	0.821
ɣ	ɡ	0.8
u	-	0.778
l	l	0.762
ɾ	r	0.722
ŋ	ŋ	0.714
ɾ_a	r_a	0.667
ɡ	ɡ	0.667
θ	s	0.632
ˈi	ˈi	0.63
ɾ_u	r	0.625
ˈe_ɾ	ˈi	0.6
ɲ	ɲ	0.6
s_a	s_a	0.6
<#_a	<#_a	0.6
e	e	0.579
w	w	0.571
j_ˈe	ˈɛ	0.562
ð	d	0.529
i	i	0.5
i	-	0.5
ð	t	0.471
w_ˈe	ˈɔ	0.471
β	-	0.467
j	-	0.462
o	-	0.45
j_ˈe	ˈe	0.438
ʝ	j	0.429
w	ˈø	0.429
β	b	0.4
ˈe_ɾ	d_ˈi	0.4
ˈe	ˈe	0.4
ɲ	-	0.4
s_a	a	0.4
<#_a	<#	0.4
j	ˈi	0.385
#>	e_#>	0.385
ˈu	ˈy	0.381
ˈo	ˈu	0.375
ɾ_u	e_r	0.375
w_ˈe	ˈø	0.353
o	o	0.35
ˈo	ˈo	0.344
ɾ_a	a	0.333
ɡ	k	0.333
#>	t_#>	0.308
ˈe	ˈɛ	0.286
ʝ	ʤ	0.286
ʝ	-	0.286
ŋ	-	0.286
ˈu	ˈø	0.238
ˈe	-	0.229
u	l	0.222
θ	-	0.211
e	i	0.211
ɣ	-	0.2
w_ˈe	ˈo	0.176
b	ʋ	0.167
θ	z	0.158
j	ˈɛ	0.154
#>	ˈe_#>	0.154
#>	s_#>	0.154
ˈi	ˈe	0.148
ˈi	-	0.148
ˈu	ˈo	0.143
ˈu	-	0.143
l	-	0.143
β	f	0.133
s	-	0.129
ˈo	ˈɔ	0.125
n	ɲ	0.107
e	z_e	0.105
e	-	0.105
ʎ	p_j	0.103
o	ˈɔ	0.1
o	u	0.1
ˈu	ˈu	0.095
l	j	0.095
ˈo	ˈø	0.094
a	-	0.091
ˈe	ˈi	0.086
ɾ	e_r	0.083
ɾ	-	0.083
ˈi	j_ˈø	0.074
n	-	0.071
ʎ	ʧ	0.069
t	s	0.067
ˈo	ˈy	0.062
ɾ	ˈɛ	0.056
ɾ	ˈa	0.056
