Romansch	Neapolitan	probability
a	a	0.891
a	ˈa	0.109
b	v	0.438
b	b	0.366
b	bː	0.161
d	t	0.476
d	d	0.473
d	-	0.051
e	ə	1.0
eː	ɾ	1.0
f	f	0.745
f	v	0.22
i	ə	0.456
i	u	0.308
i	i	0.236
j	-	0.355
j	ˈɛ	0.228
j	ˈe	0.208
j	j	0.206
k	k	0.967
l	l	0.552
l	lː	0.184
l	j	0.155
m	m	0.767
m	mː	0.148
m	-	0.078
n	n	0.831
n	nː	0.077
o	u	0.6
o	o	0.4
p	p	0.947
p	k	0.053
r	ɾ	0.779
r	r	0.162
s	s	0.606
s	-	0.144
s	j	0.137
t	t	0.685
t	tː	0.152
t	dː	0.063
u	u	0.537
u	o	0.122
u	a	0.091
u	i	0.089
u	ˈo	0.064
u	w	0.05
v	v	0.779
v	p	0.178
w	-	0.555
w	ˈɔ	0.304
w	w	0.064
z	s	1.0
ŋ	ŋ	0.66
ŋ	-	0.34
ə	ə	0.73
ə	-	0.115
ə	a	0.108
ɡ	ɡ	0.694
ɡ	-	0.155
ɡ	ɲː	0.129
ɲ	ɲː	0.686
ɲ	ʤ	0.172
ɲ	n	0.071
ɲ	ɲ	0.071
ʃ	ʃ	0.62
ʃ	ʃː	0.088
ʃ	-	0.088
ʃ	s	0.078
ʃ	ʤ	0.07
ʎ	ʎː	0.423
ʎ	ˈɔ_kː	0.173
ʎ	kː	0.158
ʎ	l	0.148
ʎ	-	0.099
ʒ	v	1.0
ʥ	k	0.165
ʥ	-	0.159
ʥ	j	0.159
ʥ	ʤː	0.149
ʥ	ɲː	0.145
ʥ	ɾ	0.145
ʥ	ɡ	0.059
ʦ	ʦː	0.735
ʦ	tː	0.265
ʦː	ʧː	1.0
ʧ	ʃ	0.702
ʧ	ʦː	0.227
ʧ	ʃː	0.065
ʨ	k	0.573
ʨ	tː	0.171
ʨ	kː	0.162
ʨ	t	0.053
ˈa	ˈa	0.533
ˈa	-	0.303
ˈa	ˈi	0.151
ˈaː	ˈa	0.904
ˈaː	ˈi	0.096
ˈe	ˈe	0.394
ˈe	ˈi	0.214
ˈe	ˈu	0.134
ˈe	ə	0.126
ˈe	ˈa	0.099
ˈeː	ˈɛ	0.785
ˈeː	e	0.125
ˈeː	ˈe	0.09
ˈi	ˈi	0.569
ˈi	ˈu	0.257
ˈi	i	0.066
ˈiː	ˈi	0.783
ˈiː	ˈu	0.217
ˈo	ˈɔ	1.0
ˈoː	ˈɔ	1.0
ˈu	ˈu	0.458
ˈu	ˈɔ	0.271
ˈu	ˈo	0.242
ˈuɔ̯	ˈɔ	1.0
ˈuː	ˈo	0.5
ˈuː	ˈu	0.5
ˈɔ	ˈɔ	0.48
ˈɔ	ˈa	0.418
ˈɔ	ˈu	0.07
ˈɔː	ˈɔ	0.857
ˈɔː	ˈa	0.143
ˈɛ	ˈɛ	0.59
ˈɛ	w	0.16
ˈɛ	ˈi	0.102
ˈɛ	ˈa	0.052
ˈɛː	ˈɛ	1.0
