Zeelandic	Zeelandic	probability
ˈʊə̯	ˈoː	1.0
ˈɪə̯	ˈeː	1.0
ˈɛː	ˈaː	1.0
ˈɑu̯	ˈɑu̯	1.0
ˈɑ	ˈɑ	1.0
ˈæi̯	-	1.0
ˈæ	ˈɛ	1.0
ˈuːə̯	-	1.0
ˈuː	ˈu	1.0
ˈoː	ˈoː	1.0
ˈiːə̯	ˈi	1.0
ˈeː	ˈeː	1.0
ʋ	ʋ	1.0
ɾ	ɾ	1.0
ɫ	ɫ	1.0
ɪ	-	1.0
ə_ɫ	ə_ɫ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
x_ə	ˈʏ_χ	1.0
x	χ	1.0
w	w	1.0
v_ə	v̥	1.0
v	v	1.0
t	t	1.0
s	s	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
k	k	1.0
iː	i	1.0
i	ɪ	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ˈæi̯	<#_ˈɛi̯	1.0
<#_ɾ	<#_ɾ	1.0
<#	<#_ɦ	1.0
#>	ə_n_#>	1.0
n	n	0.969
ˈiː	ˈi	0.882
ˈøː	ˈoː	0.857
ˈyː	ˈœy̯	0.857
ˈɪ	ˈɪ	0.833
v̥	v̥	0.8
ˈɔ	ˈɔ	0.773
ˈi	ˈɛi̯	0.688
j	j	0.6
ˈʏ	ˈɔ	0.5
ˈʏ	-	0.5
ˈɒː	ˈɑ	0.5
ˈɒː	ˈaː	0.5
ˈu	ˈɔ	0.5
ˈu	ˈu	0.5
ə	-	0.469
j	-	0.4
ˈi	ˈɪ	0.312
ə	ə_n	0.281
ə	ə	0.25
ˈɔ	-	0.227
v̥	ə_v̥	0.2
ˈɪ	-	0.167
ˈøː	ˈøː	0.143
ˈyː	ˈɛi̯	0.143
ˈiː	ˈyː	0.118
