Limburgish	Alsatian	probability
ˈʏː	-	1.0
ˈʊː_n	n	1.0
ˈɪː	ˈi	1.0
ˈɛːi̯	ˈei̯	1.0
ˈɔu̯	ˈyː	1.0
ˈɒː	ˈoː	1.0
ˈœi̯	-	1.0
ˈœ	ˈu	1.0
ˈæː	ˈæ	1.0
ˈæ	-	1.0
ˈyː	-	1.0
ˈuː	ˈyː	1.0
ˈu	ˈoː	1.0
ˈoː	-	1.0
ˈeː_ɣ	j	1.0
ʃ	ʃ	1.0
ʀ_ə	ʁ_n	1.0
ɪ_ŋ	i	1.0
ɦ	h	1.0
ɡ	-	1.0
ə_x	i	1.0
ə_v̥	f	1.0
ə_l	l	1.0
ə_k	i_ʃ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
x_#>	#>	1.0
s_t	ʃ_t	1.0
n_ˈɒː	n	1.0
n	n	1.0
m	m	1.0
l_ə	l	1.0
l	l	1.0
k_ə	k_ə	1.0
j_ə	t_ə	1.0
d̥_#>	#>	1.0
d_ʀ	t_ʁ	1.0
d	d̥	1.0
b	b̥	1.0
<#_ʀ	<#_ʁ	1.0
#>	d̥_#>	1.0
β	ʋ	0.917
v	f	0.913
ə	ə	0.857
ɣ	ɡ̊	0.846
z	s	0.833
ʀ	ʁ	0.824
p	f	0.778
ˈɑː	ˈɒ	0.714
ˈøː	ˈiː	0.714
x	x	0.714
ˈɑ	ˈɒ	0.7
ˈɪ	ˈe	0.667
ˈɔː	ˈʊː	0.667
ˈaː	ˈɒ	0.667
s	ʃ	0.647
d̥	t	0.619
ˈɛ	-	0.6
j	l	0.6
k	kʰ	0.591
ˈʊː	ˈu	0.562
ˈɛː	ˈəi̯	0.538
ˈɔ	ˈo	0.5
ˈiː	ˈiː	0.5
ˈiː	-	0.5
ˈi	ˈeː	0.5
ˈi	-	0.5
v̥	l_b̥	0.5
v̥	f	0.5
t	s	0.455
t	ʦ	0.424
ˈɛ	ˈi	0.4
j	j	0.4
d̥	d̥	0.381
ˈɪ	-	0.333
ˈɔː	-	0.333
ˈeː	ˈiː	0.333
ˈaː	-	0.333
ˈɛː	-	0.308
ˈɔ	ˈu	0.3
ˈɑ	-	0.3
ˈɑː	ˈɒː	0.286
ˈøː	-	0.286
x	ʃ_t	0.286
ˈʊː	ˈʊː	0.25
p	p͡f	0.222
ˈɔ	-	0.2
ˈeː	ˈi	0.19
ˈeː	-	0.19
ˈʊː	ˈo	0.188
k	ʃ	0.182
z	-	0.167
ˈɛː	ˈi	0.154
ɣ	-	0.154
ˈeː	ˈæ	0.143
ˈeː	ˈe	0.143
k	k	0.136
t	t	0.121
s	ʃ_t	0.118
s	k_s	0.118
s	-	0.118
k	x	0.091
v	ʋ	0.087
β	-	0.083
ə	ʁ	0.061
ʀ	ə_ʁ	0.059
