Icelandic	Proto-Germanic	probability
a	n_ɑ̃	0.39
a	j	0.247
a	ɔ̃ː	0.209
a	ɔːː	0.079
aːu̯	e	1.0
b̥	b	0.971
c	k	0.709
c	kʷ	0.291
cʰ	k	0.922
cʰ	d	0.078
d̥	d	0.953
f	ɸ	0.989
h	x	0.956
i	iː	1.0
j	ˈe	0.501
j	-	0.274
j	ˈe_w	0.16
k	k	0.769
k	k_s	0.207
kʰ	k	0.442
kʰ	-	0.367
kʰ	kʷ	0.125
kʰ	ɸ	0.065
l	l	0.917
l	-	0.05
l̥	l	0.62
l̥	l_ɑ	0.233
l̥	ɑ_l	0.147
m	m	0.96
n	n	0.928
nː	nː	0.52
nː	n_θ	0.427
nː	l	0.053
n̥	ɑ̃	0.293
n̥	n_ɑ	0.29
n̥	ɔːː	0.168
n̥	ɔː	0.097
n̥	n	0.076
n̥	n_ɑ̃	0.076
p	p	0.841
p	m	0.117
r	r	0.889
r	-	0.069
rː̥	r	0.893
rː̥	n	0.107
r̥	z	0.73
r̥	r	0.174
r̥	-	0.06
s	s	0.874
s	s_ɑ̃	0.057
sː	s	0.67
sː	sː	0.33
t	t	0.711
t	-	0.175
t	n	0.113
tʰ	t	1.0
u	w	0.671
u	ˈi	0.329
v	w	0.396
v	β	0.336
v	xʷ	0.115
v	ɸ	0.068
x	k	0.67
x	z	0.33
ç	x	0.978
ð	ð	0.33
ð	ð_ɑ̃	0.233
ð	θ	0.176
ð	t	0.062
ð	θ_ɑ̃	0.058
ð	nː	0.054
ŋ	ŋ	0.795
ŋ	n	0.178
ɑu̯	ɑ	1.0
ɛ	i	1.0
ɟ̊	ɣ	0.772
ɟ̊	ɡʷ	0.228
ɟ̊ː	ɣ	1.0
ɡ̊	ɣ	0.537
ɡ̊	ɡ	0.377
ɡ̊	x	0.066
ɡ̊ː	ɣ	0.504
ɡ̊ː	jː	0.496
ɣ	ɣ	1.0
ɪ	ɛː	0.283
ɪ	ɔːː	0.244
ɪ	e	0.104
ɪ	ɑ	0.094
ɪ	i	0.085
ɪ	ɔː	0.068
ɪ	-	0.061
ɲ	ŋ	1.0
ʏ	ɑ	0.676
ʏ	u	0.134
ʏ	-	0.089
ʏ	i	0.072
ʰc	kː	1.0
ʰk	ŋ_k	0.687
ʰk	k	0.279
ʰp	p	0.608
ʰp	pː	0.392
ʰt	x_t	0.613
ʰt	t	0.387
ˈa	ˈɑ	0.833
ˈa	-	0.088
ˈa	ˈe	0.06
ˈai̯	j	0.773
ˈai̯	ˈɔː	0.153
ˈai̯	w	0.073
ˈau̯	ˈɑ	0.516
ˈau̯	-	0.296
ˈau̯	ˈe	0.134
ˈau̯	ˈɑː	0.053
ˈaː	ˈɑ	0.927
ˈaː	ˈɑi̯	0.073
ˈaːi̯	ˈɔː	0.718
ˈaːi̯	ˈɑ	0.242
ˈaːu̯	ˈɑi̯	0.413
ˈaːu̯	ˈɛː	0.333
ˈaːu̯	ɑ	0.254
ˈeːi̯	ˈɑu̯	0.714
ˈeːi̯	ˈɑi̯	0.286
ˈi	ˈi	0.825
ˈi	ˈu	0.153
ˈiː	ˈiː	0.373
ˈiː	ˈuː	0.259
ˈiː	ˈi	0.14
ˈiː	ˈiu̯	0.112
ˈiː	-	0.085
ˈou̯	ˈu	0.946
ˈou̯	w	0.054
ˈoːu̯	w	0.545
ˈoːu̯	ˈɔː	0.402
ˈu	ˈu	0.914
ˈu	ɑi̯	0.06
ˈuː	ˈuː	0.895
ˈuː	ɑ	0.105
ˈœ	ˈɑ	0.938
ˈœ	ˈe	0.062
ˈœː	u	0.36
ˈœː	-	0.344
ˈœː	ˈɑi̯	0.15
ˈœː	ˈɑu̯	0.093
ˈœː	ˈu	0.053
ˈœːy̯	ˈɑu̯	1.0
ˈɑu̯	ˈɑ	0.83
ˈɑu̯	ˈɑ_x	0.17
ˈɑːu̯	ˈɛː	0.517
ˈɑːu̯	ˈɑu̯	0.236
ˈɑːu̯	ˈɑ	0.14
ˈɑːu̯	ɑ̃	0.069
ˈɔ	ˈu	0.913
ˈɔu̯	ˈu	0.393
ˈɔu̯	ˈɔː	0.242
ˈɔu̯	-	0.228
ˈɔu̯	ˈɑ	0.137
ˈɔː	ˈu	0.592
ˈɔː	ˈe	0.357
ˈɔː	ˈɛː	0.052
ˈɛ	ˈe	0.297
ˈɛ	ˈɑ	0.207
ˈɛ	-	0.189
ˈɛ	ˈi	0.116
ˈɛ	ˈĩː	0.096
ˈɛ	ˈɑi̯	0.095
ˈɛi̯	ˈɑi̯	1.0
ˈɛː	ˈɑ	0.23
ˈɛː	ˈe	0.181
ˈɛː	ɑ̃	0.164
ˈɛː	ˈiː	0.146
ˈɛː	ˈuː	0.126
ˈɛː	-	0.098
ˈɛː	ˈeː	0.056
ˈɛːi̯	ˈɑi̯	0.49
ˈɛːi̯	ˈɑu̯	0.29
ˈɛːi̯	ˈɑ	0.219
ˈɪ	ˈi	0.621
ˈɪ	ˈu	0.267
ˈɪ	ˈe	0.112
ˈɪː	ˈi	0.804
ˈɪː	ˈu	0.196
ˈʏ	ˈu	0.965
ˈʏː	ˈu	0.714
ˈʏː	ˈe	0.116
ˈʏː	ˈeu̯	0.116
ˈʏː	ˈɔː	0.053
θ	θ	0.877
θ	-	0.093
