Saterland Frisian	Swabian	probability
b	b	0.932
b	-	0.067
d	d	0.913
d	t	0.062
d_ə	ʕ	0.491
f	f	0.953
f	b	0.05
h	h	1.0
j	-	0.283
j	ɡ	0.22
j	j	0.138
j	ˈiə̯	0.094
j	ˈeː	0.091
j	ˈeə̯	0.071
j	ˈəi̯	0.057
j_ə	a	1.0
k	kʰ	0.323
k	ɡ	0.279
k	ç	0.141
k	-	0.107
k	k	0.071
k	x	0.066
k_ə	ç	1.0
l	l	1.0
m	m	1.0
n	n	0.534
n	-	0.428
n_ə	n	1.0
p	f	0.681
p	p͡f	0.123
p	b̥	0.091
p	b̥͡f	0.089
r	ʁ	0.547
r	ʕ	0.258
r	-	0.104
r	d_ʌ	0.085
r_j	ʁ	1.0
s	s	0.551
s	ʃ	0.402
s_k	ʃ	1.0
t	d	0.439
t	s	0.26
t	ʦ	0.176
t	-	0.066
t_ə	s	1.0
v	ʋ	0.818
v	b	0.077
v	-	0.051
v	f	0.051
w	m	0.758
w	-	0.09
x	x	0.428
x	ɡ	0.312
x	ç	0.127
x	b	0.084
z	s	0.815
z	ʁ	0.148
ŋ	ŋ	1.0
ə	-	0.521
ə	a	0.406
ə_n	n	0.491
ə_r	ʌ	1.0
ɡ	ɡ	1.0
ɣ	ɡ	0.816
ɣ	f	0.07
ɣ	-	0.059
ɣ	b	0.057
ɪ	ɪ	0.299
ɪ	i	0.168
ɪ	-	0.083
ɪ_x	ɡ	1.0
ɫ	l	0.241
ˈa	ˈɛ	0.723
ˈa	ˈa	0.204
ˈaː	ˈɔe̯	0.389
ˈaː	ˈa	0.339
ˈaː	ˈe	0.157
ˈaːi̯	ˈaː_ɡ	0.667
ˈaːi̯	ˈɛː	0.333
ˈaːu̯	ˈao̯	0.574
ˈaːu̯	ˈi	0.282
ˈeː	ˈeː	0.322
ˈeː	ˈɔe̯	0.306
ˈeː	ˈae̯	0.129
ˈeː	ˈɛ	0.104
ˈeː	ˈeə̯	0.07
ˈeːu̯	ˈɛː	1.0
ˈi	ˈəi̯	0.68
ˈi	ˈi	0.189
ˈi	ˈeː	0.054
ˈi	ˈɛ	0.053
ˈiː	ˈi	0.179
ˈiː	ˈəi̯	0.169
ˈiː	ˈɛ	0.136
ˈiː	ˈa	0.09
ˈiː	ˈeː	0.09
ˈiː	ˈɔː	0.08
ˈiː	ˈʌ	0.07
ˈiː	ˈiː	0.056
ˈiː	ˈɛː	0.056
ˈiː	ˈɪ	0.056
ˈiːu̯	ˈɛː	0.241
ˈoː	ˈoː	0.266
ˈoː	ˈa	0.17
ˈoː	ˈao̯	0.148
ˈoː	-	0.087
ˈoː	ˈɔː	0.083
ˈoː	ˈiː	0.072
ˈoːu̯	ˈo	0.211
ˈoːu̯	ˈuə̯	0.204
ˈoːu̯	ˈaː	0.147
ˈoːu̯	ˈa	0.112
ˈoːu̯	ˈɔ	0.093
ˈoːu̯	ˈoː	0.074
ˈoːu̯	ˈɔə̯	0.074
ˈoːu̯	ˈuː	0.06
ˈu	ˈuə̯	0.574
ˈu	ˈao̯	0.282
ˈuː	ˈao̯	0.279
ˈuː	ˈae̯	0.18
ˈuː	ˈoː	0.153
ˈuː	ˈo	0.101
ˈuː	ˈuə̯	0.06
ˈuː	ˈu	0.06
ˈuː	ˈuː	0.058
ˈuː	ˈɔ	0.058
ˈyː	ˈəi̯	0.183
ˈyː	ˈae̯	0.09
ˈœː	ˈeː	0.241
ˈɔ	ˈɔ	0.419
ˈɔ	ˈa	0.279
ˈɔ	ˈɪ	0.14
ˈɔ	ˈɔː	0.098
ˈɔ	ˈo	0.051
ˈɔː	ˈa	0.575
ˈɔː	ˈɛː	0.088
ˈɔː	ˈaː	0.085
ˈɔː	ˈi	0.082
ˈɔː	ˈu	0.082
ˈɔː	ˈɔː	0.067
ˈɔːɪ̯	ˈɔe̯	1.0
ˈɛ	ˈa	0.324
ˈɛ	ˈaː	0.186
ˈɛ	ˈɔː	0.186
ˈɛ	ˈae̯	0.126
ˈɛ	ˈe	0.126
ˈɛɪ̯	ˈiə̯	0.261
ˈɛɪ̯	ˈae̯	0.099
ˈɛɪ̯	ˈeə̯	0.094
ˈɛɪ̯	ˈoː	0.094
ˈɛɪ̯	ˈɔe̯	0.094
ˈɛɪ̯	ˈɛ	0.075
ˈɛɪ̯	ˈiː	0.073
ˈɛɪ̯	ˈɔː	0.073
ˈɛɪ̯	ˈəi̯	0.058
ˈɛɪ̯	ˈao̯	0.057
ˈɛː	ˈa	0.293
ˈɛː	ˈu	0.293
ˈɛː	ˈaː	0.169
ˈɛː	ˈʌ	0.114
ˈɛː	ˈɛ	0.08
ˈɪ	ˈi	0.352
ˈɪ	ˈe	0.314
ˈɪ	ˈɪ	0.197
ˈɪ	ˈa	0.062
ˈɪ	ˈəi̯	0.061
ˈʊ	ˈo	0.471
ˈʊ	ˈi	0.183
ˈʊ	ˈɛ	0.16
ˈʊ	ˈɪ	0.082
ˈʊ	ˈu	0.078
