Saterland Frisian	Swabian	probability
b	b	0.959
d	d	0.863
d	ʕ_d	0.061
f	f	0.974
h	h	1.0
i	eə̯	1.0
j	-	0.463
j	ɡ	0.178
j	ˈiə̯	0.109
j	j	0.081
j	ˈeː	0.066
j	ˈəi̯	0.055
k	-	0.332
k	ç	0.236
k	kʰ	0.162
k	x	0.147
k	ɡ	0.109
l	l	1.0
m	m	0.961
n	n	0.661
n	-	0.339
p	f	0.697
p	b̥͡f	0.187
p	b̥	0.071
r	ʁ	0.464
r	ʕ	0.272
r	ʌ	0.148
r	d_ʌ	0.1
s	s	0.487
s	ʃ	0.463
s	kʰ	0.051
t	d	0.359
t	s	0.35
t	ʦ	0.275
v	ʋ	0.791
v	b	0.163
w	m	0.671
w	-	0.329
x	ɡ	0.488
x	x	0.25
x	ç	0.141
x	f	0.092
z	s	0.955
ŋ	ŋ	1.0
ə	a	0.629
ə	ʌ	0.188
ə	-	0.11
ɡ	ɡ	1.0
ɣ	ɡ	0.884
ɪ	-	0.518
ɪ	i	0.371
ɪ	ɪ	0.111
ɫ	e	1.0
ˈa	ˈɛ	0.464
ˈa	ˈa	0.268
ˈa	ˈu	0.268
ˈaː	ˈa	0.421
ˈaː	ˈe	0.278
ˈaː	ˈɔe̯	0.169
ˈaː	ˈɛ	0.133
ˈaːi̯	ˈɛː	0.587
ˈaːi̯	ˈaː	0.413
ˈaːu̯	ˈi	0.698
ˈaːu̯	ˈao̯	0.302
ˈeː	ˈɔe̯	0.37
ˈeː	ˈeː	0.3
ˈeː	ˈeə̯	0.126
ˈeː	ˈae̯	0.125
ˈeː	ˈɛ	0.052
ˈeːu̯	ˈɛː	1.0
ˈi	ˈəi̯	0.443
ˈi	ˈeː	0.253
ˈi	ˈiː	0.172
ˈi	ˈi	0.075
ˈi	ˈɛ	0.057
ˈiː	ˈɔː	0.265
ˈiː	ˈɛ	0.183
ˈiː	ˈəi̯	0.093
ˈiː	ˈiː	0.089
ˈiː	ˈɪ	0.088
ˈiː	ˈi	0.088
ˈiː	ˈeː	0.059
ˈiːu̯	ˈɛː	1.0
ˈoː	-	0.285
ˈoː	ˈoː	0.205
ˈoː	ˈa	0.148
ˈoː	ˈao̯	0.106
ˈoː	ˈɔː	0.068
ˈoːu̯	ˈa	0.197
ˈoːu̯	ˈo	0.174
ˈoːu̯	ˈoː	0.164
ˈoːu̯	ˈuə̯	0.135
ˈoːu̯	ˈɔə̯	0.113
ˈoːu̯	ˈaː	0.099
ˈoːu̯	ˈɔ	0.071
ˈu	ˈao̯	0.7
ˈu	ˈuə̯	0.3
ˈuː	-	0.212
ˈuː	ˈao̯	0.162
ˈuː	ˈoː	0.14
ˈuː	ˈo	0.102
ˈuː	ˈi	0.095
ˈuː	ˈɔ	0.079
ˈuː	ˈae̯	0.073
ˈuː	ˈuə̯	0.066
ˈyː	ˈae̯	0.664
ˈyː	ˈəi̯	0.336
ˈøː	ˈao̯	1.0
ˈœː	ˈeː	1.0
ˈɔ	ˈɔː	0.307
ˈɔ	ˈɔ	0.231
ˈɔ	ˈa	0.188
ˈɔ	ˈo	0.166
ˈɔ	ˈɪ	0.108
ˈɔː	ˈa	0.582
ˈɔː	ˈɛː	0.145
ˈɔː	ˈi	0.138
ˈɔː	ˈaː	0.05
ˈɔːɪ̯	ˈɔe̯	1.0
ˈɛ	ˈa	0.298
ˈɛ	ˈae̯	0.196
ˈɛ	ˈɛ	0.196
ˈɛ	ˈɔː	0.12
ˈɛ	ˈaː	0.111
ˈɛ	ˈe	0.078
ˈɛɪ̯	ˈiə̯	0.157
ˈɛɪ̯	ˈuə̯	0.144
ˈɛɪ̯	ˈɛ	0.118
ˈɛɪ̯	ˈeə̯	0.099
ˈɛɪ̯	ˈae̯	0.09
ˈɛɪ̯	ˈoː	0.083
ˈɛɪ̯	ˈɔe̯	0.067
ˈɛɪ̯	ˈao̯	0.065
ˈɛɪ̯	ˈiː	0.062
ˈɛɪ̯	ˈɔː	0.062
ˈɛɪ̯	ˈəi̯	0.052
ˈɛː	ˈa	0.281
ˈɛː	ˈɛ	0.228
ˈɛː	-	0.164
ˈɛː	ˈʌ	0.164
ˈɛː	ˈu	0.163
ˈɪ	ˈe	0.49
ˈɪ	ˈɪ	0.196
ˈɪ	ˈi	0.19
ˈɪ	ˈa	0.079
ˈʊ	ˈo	0.519
ˈʊ	ˈɪ	0.214
ˈʊ	ˈɛ	0.078
ˈʊ	ˈi	0.078
ˈʊ	ˈa	0.074
