Afrikaans	English	probability
b	b	1.0
d	d	0.581
d	θ	0.305
d	ð	0.105
f	f	0.863
f	v	0.094
f	d	0.039
j	j	1.0
k	k	0.318
k	ʧ	0.283
k	kʰ	0.215
k	-	0.165
l	l	0.733
l	ɫ	0.254
m	m	1.0
n	n	0.871
n	-	0.099
n	ɫ	0.029
n_s	s	1.0
n_t	θ	0.489
p	p	0.909
p	pʰ	0.085
r	-	0.392
r	ɹ	0.388
r	ə	0.206
r_t	d	1.0
s	s	0.804
s	ʃ	0.086
s	z	0.068
s	-	0.035
s_k	ʃ	1.0
t	t	0.468
t	d	0.257
t	tʰ	0.112
t	θ	0.072
t	ɫ_d	0.051
v	w	0.869
v	v	0.069
v	f	0.06
w	w	0.603
w	ˈɔː	0.179
w	ˈəʊ̯	0.121
w	-	0.059
ŋ	ŋ	0.729
ŋ	n	0.193
ŋ	-	0.056
ə	ə	0.479
ə	-	0.464
ə	ɪ	0.053
ə_χ	ɪ	1.0
ɦ	h	1.0
ɫ	l	0.523
ɫ	ɫ	0.414
ɫ	ˈəʊ̯	0.035
ɫ	-	0.033
ˈa	ˈæ	0.383
ˈa	ˈɑː	0.179
ˈa	ˈɒ	0.101
ˈa	ˈaɪ̯	0.075
ˈa	ˈɐ	0.059
ˈa_n	ˈuː	0.489
ˈa_r	ˈɑː	0.561
ˈa_r	ˈɔː	0.274
ˈa_χ	ˈeɪ̯	1.0
ˈi	ˈiː	0.47
ˈi	ˈɪ	0.226
ˈi	-	0.117
ˈi	ˈe	0.089
ˈi	ˈəʊ̯	0.045
ˈi_χ	ˈaɪ̯	1.0
ˈoːi̯	ˈe	1.0
ˈu	ˈiː	0.443
ˈu	ˈʊ	0.24
ˈu	ˈɐ	0.235
ˈu	ˈuː	0.065
ˈuː	ˈɐ	0.489
ˈuːi̯	ˈaʊ̯	0.239
ˈyː	ˈaɪ̯	0.323
ˈyː	ˈɪ	0.323
ˈæ	ˈaɪ̯	0.574
ˈæ	ˈɑː	0.281
ˈæː	ˈæ	0.574
ˈæː	ˈɑː	0.281
ˈœ	ˈɪ	0.77
ˈœ	ˈɜː	0.229
ˈœi̯	ˈaɪ̯	1.0
ˈœu̯	ˈəʊ̯	0.675
ˈœu̯	ˈɒ	0.304
ˈœɪ̯	ˈaʊ̯	0.814
ˈœɪ̯	ˈaɪ̯	0.182
ˈɑː	ˈeɪ̯	0.267
ˈɑː	ˈiː	0.228
ˈɑː	ˈɛ	0.102
ˈɑː	ˈe	0.066
ˈɑː	-	0.058
ˈɔ	ˈɐ	0.26
ˈɔ	ˈɒ	0.188
ˈɔ	ˈɔː	0.147
ˈɔ	ˈʊ	0.139
ˈɔ	ˈaʊ̯	0.088
ˈɔː	ˈe	0.5
ˈɔː	ˈeɪ̯	0.5
ˈə	ˈɪ	0.686
ˈə	ˈaɪ̯	0.306
ˈəɪ̯	ˈaɪ̯	0.442
ˈəɪ̯	ˈəʊ̯	0.221
ˈəɪ̯	ˈiː	0.167
ˈəɪ̯	ˈɪ	0.077
ˈəɪ̯	ˈe	0.063
ˈɛ	ˈɪ	0.392
ˈɛ	ˈe	0.208
ˈɛ	ˈɔː	0.137
ˈɛ	ˈɜː	0.137
ˈɛ	ˈeɪ̯	0.096
ˈɛː	ˈeɪ̯	0.323
ˈɛː	ˈæ	0.323
ˈɪ	ˈe	1.0
ˈɪø̯	ˈəʊ̯	0.517
ˈɪø̯	ˈɐ	0.188
ˈɪə̯	ˈəʊ̯	0.192
ˈɪə̯	ˈiː	0.15
ˈɪə̯	ˈe_ð	0.131
ˈɪə̯	ˈe	0.122
ˈɪə̯	ˈɪ	0.095
ˈʊə̯	ˈiː	0.351
ˈʊə̯	ˈe	0.238
ˈʊə̯	ˈɪ	0.196
ˈʊə̯	ˈəʊ̯	0.059
ˈʊə̯	ˈeɪ̯	0.057
ˈʊə̯_r	ˈɔː	1.0
ˈʊə̯_χ	ˈaɪ̯	1.0
χ	ɡ	0.357
χ	-	0.216
χ	t	0.156
χ	ʤ	0.139
χ	f	0.087
