Afrikaans	English	probability
b	b	0.971
d	d	0.634
d	θ	0.282
d	ð	0.084
f	f	0.82
f	v	0.12
i	ˈiː	1.0
j	j	1.0
k	k	0.345
k	ʧ	0.243
k	kʰ	0.208
k	-	0.205
m	m	0.964
n	n	0.905
n	-	0.083
p	p	0.901
p	pʰ	0.099
r	ɹ	0.395
r	ə	0.387
r	-	0.218
s	s	0.767
s	ʃ	0.147
s	z	0.065
t	t	0.442
t	d	0.223
t	tʰ	0.111
t	θ	0.097
t	ɫ_d	0.073
t	-	0.053
v	w	0.94
w	w	0.508
w	-	0.29
w	ˈəʊ̯	0.142
w	ˈɔː	0.059
ŋ	ŋ	1.0
ə	ə	0.608
ə	-	0.287
ə	ɪ	0.105
ɦ	h	1.0
ɫ	l	0.592
ɫ	ɫ	0.339
ɫ	-	0.069
ˈa	ˈæ	0.327
ˈa	ˈɑː	0.176
ˈa	ˈuː	0.109
ˈa	ˈɔː	0.094
ˈa	ˈe	0.072
ˈa	ˈɒ	0.068
ˈi	ˈiː	0.332
ˈi	ˈɪ	0.249
ˈi	ˈe	0.156
ˈi	ˈɔː	0.068
ˈi	ˈaɪ̯	0.066
ˈi	ˈuː	0.054
ˈoːi̯	ˈe	1.0
ˈu	ˈiː	0.464
ˈu	ˈʊ	0.276
ˈu	ˈɐ	0.142
ˈu	ˈuː	0.117
ˈuː	ˈɐ	1.0
ˈuːi̯	ˈaʊ̯	0.5
ˈuːi̯	ˈiː	0.5
ˈyː	ˈaɪ̯	0.506
ˈyː	ˈaʊ̯	0.247
ˈyː	ˈɪ	0.247
ˈæ	ˈaɪ̯	1.0
ˈæː	ˈæ	0.526
ˈæː	ɜː	0.256
ˈæː	ˈɑː	0.218
ˈœ	ˈɪ	0.533
ˈœ	ˈɜː	0.313
ˈœ	ˈɐ	0.154
ˈœi̯	ˈaɪ̯	1.0
ˈœu̯	ˈəʊ̯	0.605
ˈœu̯	ˈɒ	0.313
ˈœu̯	w	0.083
ˈœɪ̯	ˈaʊ̯	0.637
ˈœɪ̯	ˈɐ	0.253
ˈœɪ̯	ˈaɪ̯	0.11
ˈɑː	ˈeɪ̯	0.25
ˈɑː	ˈiː	0.151
ˈɑː	ˈɪ	0.101
ˈɑː	ˈɑː	0.086
ˈɑː	ˈuː	0.08
ˈɑː	ˈəʊ̯	0.08
ˈɑː	ˈɛ	0.061
ˈɑː	ˈɐ	0.057
ˈɔ	ˈɐ	0.568
ˈɔ	ˈaʊ̯	0.107
ˈɔ	ˈuː	0.084
ˈɔ	ˈɔː	0.071
ˈɔ	ˈɒ	0.07
ˈɔ	ˈʊ	0.07
ˈɔː	-	0.913
ˈɔː	ˈeɪ̯	0.087
ˈə	ˈɪ	0.683
ˈə	ˈaɪ̯	0.281
ˈəɪ̯	ˈaɪ̯	0.463
ˈəɪ̯	ˈiː	0.206
ˈəɪ̯	ˈəʊ̯	0.196
ˈəɪ̯	ˈe	0.068
ˈəɪ̯	ˈɪ	0.051
ˈɛ	ˈɪ	0.425
ˈɛ	ˈe	0.393
ˈɛ	ˈɔː	0.063
ˈɛ	ˈɜː	0.062
ˈɛː	ˈæ	0.672
ˈɛː	ˈeɪ̯	0.328
ˈɪ	ˈe	0.906
ˈɪ	ˈiː	0.094
ˈɪø̯	ˈɐ	0.93
ˈɪø̯	ˈəʊ̯	0.07
ˈɪə̯	ˈe	0.278
ˈɪə̯	ˈəʊ̯	0.221
ˈɪə̯	ˈiː	0.114
ˈɪə̯	ˈɛ	0.105
ˈɪə̯	ˈuː	0.093
ˈɪə̯	ˈɪ	0.073
ˈɪə̯	ˈeɪ̯	0.052
ˈʊə̯	ˈiː	0.281
ˈʊə̯	ˈɔː	0.24
ˈʊə̯	ˈɪ	0.14
ˈʊə̯	ˈəʊ̯	0.092
ˈʊə̯	ˈe	0.089
χ	ɡ	0.325
χ	ʤ	0.252
χ	t	0.18
χ	-	0.072
χ	f	0.063
χ	k	0.054
χ	j	0.053
