Western Lombard	Ladin	probability
ã	a	1.0
ĩ	i	1.0
m	m	1.0
n	n	1.0
p	p	1.0
t	t	1.0
u	o	1.0
w	-	1.0
z	ʒ	1.0
ɡ	ɡ	1.0
ʃ	ʧ	1.0
ˈeː	ˈe	1.0
ˈẽː	ˈɛ_n	1.0
ˈi	ˈi	1.0
ˈĩː	ˈi_n	1.0
ˈũː	ˈo_n	1.0
ˈøː	w_ˈɛ	1.0
ˈɛ̃ː	ˈɛ	1.0
d	-	0.101
e	-	0.121
l	l	0.961
s	s	0.711
ʋ	v	0.981
ʦ	ʨ	0.051
ʧ	-	0.191
ˈa	ˈa	0.381
ˈaː	ˈe	0.21
ˈe	ˈe	0.611
ˈy	ˈu	0.931
ˈɛ	ˈe_j	0.261
b	b	0.892
r	r	0.962
ʤ	ʒ	0.742
ʧ	d_l	0.292
ˈa	n_#>	0.152
ˈãː	ˈa_n	0.882
ˈe	-	0.082
ˈyː	ˈu	0.2
ˈɔ	w_ˈɛ	0.082
f	f	0.983
k	k	0.53
ˈɔ	ˈɔ	0.753
a	a	0.914
j	l	0.344
ʤ	ʥ	0.124
ʧ	t	0.274
ˈe	j_ˈɛ	0.074
ˈu	ˈo_w	0.214
ˈø	ˈɛ	0.274
i	i	0.465
i	e	0.535
ˈa	e_#>	0.065
ˈa	ˈɛ	0.155
ˈe	ˈɛ	0.075
a	-	0.086
j	-	0.136
ɲ	ɲ	0.966
ʧ	ʧ	0.116
ˈø	w_ˈɛ	0.726
ˈɔ	ˈe	0.066
ˈɛ	ˈɛ	0.706
k	ʨ	0.47
ˈa	ˈe	0.247
ˈu	ˈɔ	0.067
b	-	0.108
ʤ	-	0.088
ʧ	ʨ	0.128
ˈãː	ˈa_ŋ	0.118
ˈe	ˈe_j	0.158
ˈu	ˈo	0.718
ˈyː	ˈo_w	0.8
ˈɔ	ˈa_w	0.098
d	d	0.899
e	e	0.879
j	j	0.519
s	ʃ	0.289
ʦ	ʦ	0.949
ˈaː	ˈɛ	0.79
ˈy	ˈe	0.069
