Bokmål Norwegian	East Low German	probability
b	b	0.984
b	-	0.034
d	d	0.679
d	t	0.17
d	-	0.129
d	p	0.033
e	ˈuː	0.24
f	f	0.976
f	ʃ	0.038
h	h	0.984
h	-	0.034
i	ɪ	0.24
j	-	0.236
j	ˈiː	0.201
j	x	0.126
j	ˈɛ	0.115
j	j	0.115
k	k	0.759
k	ç	0.116
k	-	0.081
kʰ	kʰ	0.789
kʰ	f	0.163
kː	ŋ_k	0.667
kː	k	0.333
l	l	0.925
l	ɡ_l	0.075
lː	l	0.927
lː	k	0.058
m	m	0.948
m	-	0.055
mː	m	1.0
n	n	0.807
n	-	0.089
n	m	0.06
n	ŋ	0.041
nː	n_d	0.416
nː	n	0.362
nː	-	0.069
nː	l	0.069
nː	t	0.065
nː_ə	n	1.0
p	p	1.0
s	s	0.325
s	z	0.309
s	ʃ	0.302
s	-	0.035
s	ç	0.034
s_k	ʃ	1.0
sː	s	1.0
t	t	0.956
t	-	0.049
tʰ	d	0.758
tʰ	tʰ	0.204
tː	x	0.464
tː	t	0.299
tː	ç	0.168
ç	d	0.488
ç	kʰ	0.316
ŋ	ɪ	0.561
ŋ	ç	0.135
ŋ	n	0.076
ŋː	ŋ	1.0
ə	-	0.666
ə	n	0.214
ə	æ	0.071
ə	ŋ	0.028
ə_ɾ	æ	1.0
ɡ	ɡ	0.511
ɡ	j	0.163
ɡ	x	0.142
ɡ	-	0.136
ɡː	ç	0.461
ɡː	-	0.226
ɡː	k	0.127
ɪ	ɪ	0.182
ɪ	-	0.089
ɳ	n	0.733
ɳ	æ	0.186
ɾ	r	0.418
ɾ	æ	0.28
ɾ	ɾ	0.154
ɾ	-	0.084
ɾ	ç	0.029
ɾ_ə	æ	1.0
ʂ	z	1.0
ʃ	ʃ	0.49
ʈ	t	0.49
ʈː	t	0.24
ʋ	v	0.518
ʋ	f	0.192
ʋ	w	0.154
ʋ	-	0.113
ʋ_ə	m	1.0
ˈeː	ˈae̯	0.494
ˈeː	ˈɛː	0.343
ˈeː	ɾ	0.085
ˈeː	ˈa	0.063
ˈiː	ˈiː	0.604
ˈiː	ˈɪ	0.194
ˈiː	ˈae̯	0.061
ˈiː	ˈɛː	0.061
ˈiː	ˈɛ	0.048
ˈoː	ˈɒː	0.53
ˈoː	ˈoː	0.187
ˈoː	ˈaʊ̯	0.139
ˈoː	ˈœː	0.073
ˈuː	ˈaʊ̯	0.4
ˈuː	ˈaʊ̯_t	0.136
ˈuː	ˈuː_æ	0.119
ˈuː	-	0.078
ˈuː	ˈʊ	0.063
ˈyː	ˈae̯	0.385
ˈyː	ˈyː	0.234
ˈyː	ˈiː	0.178
ˈyː	ˈaɪ̯	0.087
ˈyː	ˈɪ	0.085
ˈæ	ˈaː	0.281
ˈæ	ˈɪ	0.281
ˈæɪ̯	ˈae̯	0.319
ˈæɪ̯	ˈɛ	0.217
ˈæɪ̯	ˈɒː	0.143
ˈæɪ̯	ˈiː	0.143
ˈæɪ̯	ˈɪ	0.143
ˈæː	ɾ	0.28
ˈæː	ˈɛː	0.28
ˈæː	æ	0.171
ˈæː	ˈiː	0.171
ˈøː	ˈaʊ̯	0.29
ˈøː	ˈaʊ̯_t	0.153
ˈøː	ˈoː	0.104
ˈøː	ˈeː	0.101
ˈøː	ˈɛ	0.101
ˈœ	ˈɔʏ̯	0.278
ˈœ	ˈʏ	0.218
ˈœ	ˈœː	0.125
ˈœ	ˈɛ	0.125
ˈœ	ˈøː	0.071
ˈœʏ̯	ˈaʊ̯	0.49
ˈɑ	ˈa	0.728
ˈɑ	ˈɔ	0.093
ˈɑ	ˈɒː	0.081
ˈɑ	ˈaʊ̯	0.061
ˈɑ	ˈɛː	0.039
ˈɑ_ɾ	ˈaː	1.0
ˈɑː	ˈa	0.45
ˈɑː	ˈɒː	0.322
ˈɑː	ˈɛ	0.137
ˈɑː	ˈaː	0.067
ˈɔ	ˈʊ	0.253
ˈɔ	ˈa	0.253
ˈɔ	ˈɒː	0.164
ˈɔ	ˈuː	0.1
ˈɔ	ˈœ	0.1
ˈɛ	ˈɛ	0.228
ˈɛ	ˈɪ	0.198
ˈɛ	ˈaː	0.139
ˈɛ	ˈa	0.121
ˈɛ	ˈʏ	0.074
ˈɪ	ˈɪ	0.819
ˈɪ	r	0.088
ˈɪ	ˈiː	0.08
ˈʉ	ˈʊ	0.456
ˈʉ	v_ˈʊ	0.165
ˈʉ	ˈɔ	0.109
ˈʉ	ˈɪ	0.109
ˈʉ	ˈuː	0.081
ˈʉː	ˈuː	0.55
ˈʉː	ˈɒː	0.093
ˈʉː	ˈɛ	0.093
ˈʉː	ˈœː	0.073
ˈʉː	ˈɔ	0.073
ˈʊ	ˈʊ	0.306
ˈʊ	ˈøː	0.202
ˈʊ	ˈoː	0.202
ˈʊ	ˈuː	0.13
ˈʊ	ˈɔ	0.088
ˈʏ	ˈʏ	0.403
ˈʏ	ˈyː	0.245
ˈʏ	ˈɔ	0.186
ˈʏ	ˈɪ	0.126
