Ligurian	Campidanese	probability
a	a	0.846
a	-	0.119
b	b	0.928
d	d	0.656
d	ð	0.219
d	r	0.074
e	i	0.53
e	e	0.266
e	a	0.091
e	ˈe	0.054
f	f	1.0
i	i	0.589
i	j	0.13
i	ˈi	0.109
i	ŭ	0.076
j	-	0.323
j	e	0.269
j	r	0.197
j	o	0.065
j	i	0.058
j	z_ĕ	0.056
k	k	0.928
l	l	0.597
l	ɖː	0.309
l	lː	0.069
m	m	0.87
m	mː	0.063
n	n	0.879
n	-	0.052
o	u	1.0
p	p	0.924
p	b	0.076
r	r	0.714
r	rː	0.155
r	-	0.122
s	s	0.609
s	-	0.147
s	ʧ	0.118
t	t	0.901
t	ð	0.053
u	u	0.906
v	b	0.494
v	β	0.225
v	-	0.143
v	p	0.05
w	w	0.35
w	o	0.223
w	ˈo	0.169
w	-	0.107
w	l	0.086
w	u	0.065
z	z	0.399
z	b	0.256
z	ʤ	0.213
z	j	0.131
ŋ	n	0.824
ŋ	ŋ	0.062
ɔː	a	1.0
ɡ	ɣ	0.529
ɡ	ɡ	0.296
ɡ	k	0.107
ɡ	-	0.059
ɥ	ð	1.0
ɲ	ʤ	0.455
ɲ	nː	0.391
ɲ	ɲː	0.154
ʃ	ʃː	0.544
ʃ	f	0.255
ʃ	s	0.17
ʒ	ʒ	0.68
ʒ	ɣ	0.193
ʒ	b	0.127
ʤ	-	0.541
ʤ	ʣ	0.246
ʧ	p	0.486
ʧ	ʧ	0.248
ʧ	j	0.176
ʧ	sː	0.09
ˈa	ˈa	0.908
ˈa	ˈe	0.057
ˈaː	ˈa	0.84
ˈaː	l_ˈa	0.07
ˈe	ˈe	0.519
ˈe	ˈi	0.356
ˈeː	ˈe	0.837
ˈeː	ˈi	0.163
ˈi	ˈi	0.801
ˈi	ˈe	0.143
ˈi	ˈu	0.055
ˈiː	ˈi	0.545
ˈiː	-	0.139
ˈiː	ŏ	0.092
ˈiː	r_i	0.091
ˈiː	ˈe	0.068
ˈiː	i	0.065
ˈu	ˈo	0.671
ˈu	ˈu	0.242
ˈu	ˈi	0.061
ˈuː	ˈu	0.472
ˈuː	ˈo	0.39
ˈuː	r_ˈo	0.138
ˈy	ˈu	0.673
ˈy	ˈo	0.147
ˈy	ˈi	0.099
ˈy	a	0.081
ˈyː	ˈu	1.0
ˈø	ˈo	0.902
ˈø	ˈu	0.098
ˈøː	ˈo	1.0
ˈɔ	ˈo	0.882
ˈɔ	ˈa	0.086
ˈɔː	ˈo	0.79
ˈɔː	-	0.142
ˈɔː	ˈa	0.068
ˈɛ	ˈe	0.508
ˈɛ	e	0.253
ˈɛ	ˈi	0.239
ˈɛː	ˈa	0.481
ˈɛː	ˈe	0.408
ˈɛː	ˈi	0.1
