Dutch	English	probability
b	b	0.965
b	v	0.043
d	d	0.618
d	θ	0.263
d	ð	0.111
f	f	0.606
f	v	0.267
f	-	0.107
j	j	1.0
k	k	0.383
k	ʧ	0.282
k	kʰ	0.184
k	-	0.14
l	ɫ	0.517
l	l	0.45
m	m	1.0
n	n	0.578
n	-	0.405
n_s	s	0.489
n_t	θ	1.0
n_ˈeː	n	0.489
p	p	0.879
p	pʰ	0.105
p_ə	p	1.0
s	s	0.682
s	ʃ	0.154
s	z	0.086
s	k_s	0.065
s_χ	ʃ	1.0
t	t	0.475
t	d	0.305
t	tʰ	0.094
t	θ	0.055
t	ɫ_d	0.046
t_ə	t	1.0
v	f	0.88
v	v	0.116
v_ə	v	0.489
w	ˈuː	0.66
w	-	0.158
z	s	1.0
z_ə	z	0.489
ŋ	ŋ	0.949
ŋ	-	0.05
ə	-	0.48
ə	ə	0.375
ə	ɪ	0.087
ə	əʊ̯	0.03
ə	ˈe	0.03
ə_ɫ	ɫ	1.0
ɦ	h	1.0
ɪ	-	0.426
ɪ	ɪ	0.102
ɫ	l	0.597
ɫ	ɫ	0.296
ɫ	-	0.096
ɫ_ə	ɫ	0.489
ɾ	ɹ	0.433
ɾ	-	0.308
ɾ	ə	0.225
ɾ	ˈɔː	0.036
ɾ_n	n	1.0
ɾ_t	d	1.0
ʋ	w	0.959
ʋ	-	0.045
ˈaː	ˈiː	0.307
ˈaː	ˈeɪ̯	0.214
ˈaː	ˈɔː	0.104
ˈaː	ˈe	0.09
ˈaː	ˈɜː	0.06
ˈeː	ˈəʊ̯	0.279
ˈeː	ˈɪ	0.187
ˈeː	ˈe	0.128
ˈeː	ˈe_ð	0.103
ˈeː	ˈiː	0.089
ˈi	ˈiː	0.416
ˈi	ˈɪ	0.224
ˈi	ˈe	0.162
ˈi	j	0.081
ˈi	ˈəʊ̯	0.065
ˈi_χ	ˈaɪ̯	1.0
ˈoː	ˈiː	0.288
ˈoː	ˈe	0.196
ˈoː	ˈɪ	0.121
ˈoː	ˈɐ	0.09
ˈoː	ˈɔː	0.083
ˈoː_ɾ	ˈɔː	1.0
ˈoː_χ	ˈaɪ̯	1.0
ˈu	ˈɐ	0.332
ˈu	ˈiː	0.289
ˈu	ˈuː	0.162
ˈu	ˈʊ	0.153
ˈu	ˈaʊ̯	0.045
ˈyː	ˈaɪ̯	0.66
ˈyː	ˈɪ	0.158
ˈøː	ˈəʊ̯	1.0
ˈœy̯	ˈaʊ̯	0.711
ˈœy̯	ˈaɪ̯	0.133
ˈœy̯	ˈɪ	0.101
ˈɑ	ˈæ	0.36
ˈɑ	ˈɑː	0.238
ˈɑ	ˈɒ	0.121
ˈɑ	ˈeɪ̯	0.105
ˈɑ	ˈuː	0.06
ˈɑ_n	ˈuː	1.0
ˈɑ_ɾ	ˈɑː	0.5
ˈɑ_ɾ	ˈɔː	0.5
ˈɑ_χ	ˈeɪ̯	0.561
ˈɑ_χ	ˈaɪ̯	0.274
ˈɑu̯	ˈəʊ̯	0.66
ˈɑu̯	ˈɒ	0.322
ˈɔ	ˈɐ	0.263
ˈɔ	ˈɒ	0.191
ˈɔ	ˈɔː	0.141
ˈɔ	ˈʊ	0.123
ˈɔ	ˈaʊ̯	0.113
ˈɔ_ɾ	ɹ	1.0
ˈɛ	ˈɪ	0.271
ˈɛ	ˈe	0.179
ˈɛ	ˈeɪ̯	0.156
ˈɛ	-	0.118
ˈɛ	ˈæ	0.118
ˈɛ_ɾ	ˈɑː	1.0
ˈɛi̯	ˈaɪ̯	0.446
ˈɛi̯	ˈiː	0.265
ˈɛi̯	ˈəʊ̯	0.156
ˈɛi̯	ˈɪ	0.094
ˈɪ	ˈɪ	0.581
ˈɪ	ˈaɪ̯	0.375
ˈɪ	ˈe	0.048
ˈʏ	ˈɪ	1.0
χ	ɡ	0.401
χ	-	0.381
χ	ʤ	0.143
χ	f	0.068
χ_t	t	1.0
χ_ə	ˈaɪ̯	0.489
