Brazilian Portuguese	Valencian	probability
ˈũ	ˈu	1.0
ˈu	ˈu	1.0
ˈo_ʎ	ˈu_ʎ	1.0
ˈo_ɡ	ˈɒ_k	1.0
ˈe_h	w_ɾ	1.0
ʧ	t	1.0
ʒ	ʤ	1.0
ʎ_u_#>	ʎ_#>	1.0
ʎ	ʎ	1.0
ʃ_p	s_p	1.0
ʃ_#>	s_#>	1.0
ɾ_u	r	1.0
ɾ_i	ɾ_ɞ	1.0
ɦ	r	1.0
ɡ_u	k	1.0
ɐ̃	-	1.0
w_ɾ	r	1.0
w_s	l_s	1.0
w_#>	l_#>	1.0
v_u	w	1.0
v_i	w	1.0
s_ˈe	ʃ_e	1.0
s_u	w	1.0
s	s	1.0
p_u	s	1.0
p	p	1.0
õ	-	1.0
o	o	1.0
n_u_#>	#>	1.0
m	m	1.0
k_ɐ	k_ɞ	1.0
k_u	ŋ_k	1.0
k	k	1.0
j̃_u_#>	#>	1.0
j̃_#>	#>	1.0
j_ʃ	w	1.0
j_u	ʧ	1.0
ĩ	-	1.0
i_#>	#>	1.0
f	f	1.0
d_u	t	1.0
<#_ˈɛ	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_p_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_h	<#_r	1.0
<#_e	<#_e	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#_a	<#_a	1.0
u_#>	#>	0.962
ɾ	ɾ	0.941
ˈa	ˈa	0.938
t	t	0.9
l	ʎ	0.861
d	ð	0.857
h	r	0.816
ˈɐ̃	ˈa	0.812
ˈi	ˈi	0.808
ˈĩ	ˈi	0.8
v	v	0.771
n	n	0.75
ˈɐ̃_w̃_#>	ˈa_#>	0.727
w	w	0.7
a	a	0.684
ˈɔ	ˈɒ	0.667
ˈe_j	ˈi	0.667
ɡ	ɣ	0.625
e	e	0.611
ẽ	-	0.6
b	β	0.6
ʤ	t	0.571
z	-	0.571
ʃ	s	0.562
ˈɛ	ˈe	0.55
j	-	0.55
ˈe	ˈæ	0.543
ˈo	ˈɒ	0.514
#>	e_#>	0.5
ɐ	ɐ	0.493
ˈõ	ˈɒ	0.455
ˈɛ	ˈæ	0.45
u	-	0.444
j̃	ɲ	0.444
ʤ	d	0.429
z	z	0.429
ẽ	ɞ	0.4
ˈo	ˈo	0.378
ˈõ	ˈo	0.364
ˈe_j	ˈe	0.333
u	e	0.333
j̃	-	0.333
i	i	0.333
i	e	0.333
i	-	0.333
ɐ	ɜ	0.307
w	l	0.3
#>	l_#>	0.3
ˈẽ	ˈe_n	0.286
ˈe	ˈe	0.286
ˈɐ̃_w̃_#>	ˈo_#>	0.273
b	-	0.267
n	-	0.25
j	j	0.25
u	o_l	0.222
j̃	n	0.222
ˈẽ	ˈi	0.214
ˈẽ	ˈe	0.214
ˈĩ	-	0.2
#>	n_ɐ_#>	0.2
ˈi	-	0.192
ˈɐ̃	ˈa_n	0.188
ʃ	ʃ	0.188
ɡ	ɡ	0.188
ɡ	k	0.188
ˈõ	ˈɒ_n	0.182
ˈe	ˈi	0.171
e	i	0.167
a	ˈe	0.158
a	-	0.158
ɐ	ɞ	0.147
ˈɔ	ˈo	0.143
ˈẽ	ˈæ	0.143
ˈẽ	n	0.143
d	-	0.143
l	l	0.139
b	v	0.133
ʃ	k_l	0.125
ʃ	f_l	0.125
e	ˈæ	0.111
e	-	0.111
t	n_t	0.1
j	w	0.1
j	l_t	0.1
ˈɔ	z_ˈa	0.095
ˈɔ	-	0.095
v	β	0.086
v	-	0.086
ˈa	l_ˈa	0.062
h	d_ɾ	0.061
ɾ	r	0.059
v	w	0.057
ˈo	ˈu	0.054
ˈo	-	0.054
