Faroese	Afrikaans	probability
ˈʏ	-	1.0
ˈʊ_ʤ̊ː	ˈi_n	1.0
ˈɛːi̯_j	ˈʊə̯_d̥	1.0
ˈɛ_ɡ̊	ˈu	1.0
ˈɔːi̯	ˈʊə̯	1.0
ˈɔ_ʰt	ˈa_χ	1.0
ˈœ_t͡n̥	r	1.0
ˈuː	-	1.0
ˈoː	ˈʊə̯	1.0
ˈeː_v	ˈɪə̯	1.0
ˈaːi̯	ˈəɪ̯	1.0
ʰt	t	1.0
ʰp	p	1.0
ʧ	k	1.0
ʤ̊ː	-	1.0
ʤ̊	χ	1.0
ʊ_ɹ_#>	#>	1.0
ʊ_ɹ	n	1.0
ʈ	t	1.0
ɹ_ˈɛ	r	1.0
ɹ_a	r	1.0
ɹ_#>	#>	1.0
ɡ̊ː	χ	1.0
ɡ̊_ʊ	ə	1.0
ɡ̊_l	ɫ	1.0
ŋ	ŋ	1.0
w_ʊ	χ	1.0
w	-	1.0
v̥	-	1.0
t͡n̥	ə_ŋ	1.0
t͡l̥	ɫ	1.0
tʰ	d	1.0
s	s	1.0
r	-	1.0
p	p	1.0
m_j	m	1.0
m_a	ˈɔ_m	1.0
m	m	1.0
l̥	ɫ	1.0
h	ɦ	1.0
f	v̥	1.0
d̥_ʊ	d̥	1.0
d̥_ɹ	d_r	1.0
b̥	b	1.0
a_#>	#>	1.0
<#_ˈʊ	<#_ˈɔ	1.0
<#_ˈɛ	<#_ˈæ	1.0
<#_ɹ	<#_r	1.0
<#_ɡ̊	<#_χ	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
#>	s_#>	1.0
n	n	0.929
ɹ	r	0.923
l	ɫ	0.917
t	t	0.857
j	-	0.8
v	v	0.759
d̥	d	0.75
<#_kʰ	<#_k	0.75
ˈʉːu̯	ˈœɪ̯	0.714
k	k	0.714
ˈʊ	ˈɔ	0.667
ˈɔːu̯	ˈi	0.667
ˈeː	-	0.667
ˈai̯	ˈɪə̯	0.667
nː	n	0.667
a	ə	0.667
ɡ̊	-	0.636
<#	<#_v	0.636
ʊ	ə	0.625
ʃ	s	0.625
ˈœ	-	0.6
ʧʰ	-	0.6
v_ʊ	χ	0.6
ˈɔ̯aː	ˈɑː	0.583
ˈa	ˈa	0.579
ˈiː	ˈə	0.571
ˈʊ̯iː	ˈəɪ̯	0.562
ˈøː	ˈu	0.556
ˈɛːi̯	ˈʊə̯	0.5
ˈɛːi̯	-	0.5
ˈɔːu̯_w	ˈu_d̥	0.5
ˈɔːu̯_w	ˈu	0.5
ʰk	ŋ_k	0.5
ʰk	k	0.5
ɪ	ə	0.5
ɪ	-	0.5
ˈɔ	-	0.455
ˈɪ	ˈə	0.45
ˈɛ	ˈa	0.444
ˈøː	-	0.444
ˈɛːa̯	ˈa	0.438
ˈiː	ˈɪə̯	0.429
ʧʰ	d	0.4
v_ʊ	v̥	0.4
ˈɛːa̯	ˈɑː	0.375
ʊ	-	0.375
ʃ	s_k	0.375
ˈɔ	ˈa	0.364
ɡ̊	χ	0.364
ˈʊ	-	0.333
ˈɛ	ˈɛ	0.333
ˈɔːu̯	ˈu	0.333
ˈeː	ˈɪə̯	0.333
ˈai̯	-	0.333
nː	n_d̥	0.333
a	-	0.333
ˈʉːu̯	-	0.286
k	-	0.286
ˈɪ	-	0.25
ˈɔ̯aː	ˈʊə̯	0.25
d̥	d̥	0.25
<#_kʰ	<#	0.25
ˈɛ	ˈɪə̯	0.222
ˈa	ˈɑː	0.211
ˈa	-	0.211
ˈɪ	ˈœ	0.2
ˈœ	ˈɔ	0.2
ˈœ	ˈa	0.2
j	ɦ	0.2
ˈʊ̯iː	ˈi	0.188
ˈɛːa̯	-	0.188
ˈɔ	ˈʊə̯_r	0.182
<#	<#_k	0.182
<#	<#_j	0.182
v	v̥	0.172
ˈɔ̯aː	-	0.167
t	-	0.143
ˈʊ̯iː	ˈyː	0.125
ˈʊ̯iː	-	0.125
ˈɪ	ˈɛ	0.1
l	-	0.083
ɹ	ə	0.077
n	-	0.071
v	-	0.069
