Bavarian	Bavarian	probability
ˈɑː	ˈɛː	1.0
ˈɑ	ˈɑ	1.0
ˈoː	-	1.0
ˈoɐ̯_#>	ˈɪə̯_n_#>	1.0
ˈou̯	ˈʊə̯	1.0
ˈo_j	ˈɑu̯	1.0
ˈiː	ˈɪ	1.0
ˈe_ɐ	ɾ	1.0
ˈau̯	ˈyː	1.0
ʦ	t	1.0
ʋ	ʋ	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	s_#>	1.0
ɐ	ɾ	1.0
ŋ_#>	x_ə_#>	1.0
ç	k	1.0
x_d̥	x_t	1.0
s_#>	t_#>	1.0
r	ɾ	1.0
n_#>	ə_#>	1.0
n	n	1.0
m_#>	#>	1.0
l	ɫ	1.0
kʰ	k	1.0
f_ə	v̥	1.0
f_#>	p_#>	1.0
eɐ̯	iː	1.0
d̥_r	d_ɾ	1.0
d̥_a	ɾ	1.0
b̥͡v̥	p	1.0
b̥_#>	v̥_#>	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_ʦ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_h	<#	1.0
<#_d̥	<#_d	1.0
<#	<#_ˈoː	1.0
m	m	0.909
b̥	b	0.875
d̥	d̥	0.829
ɡ̊	x	0.826
ŋ	ŋ	0.818
f	v	0.818
ˈiɐ̯	ˈiː	0.8
ə	ə	0.778
j	ɫ	0.733
x	k	0.714
ˈuɐ̯	ˈuː	0.667
ˈa	-	0.667
#>	ə_#>	0.63
d̥_n	d_ə	0.6
s	z	0.515
β	ə_v̥	0.5
β	v	0.5
ˈoɐ̯	ˈɪə̯	0.5
ˈoɐ̯	ˈæi̯	0.5
ˈaː	ˈʊə̯	0.5
ˈaː	-	0.5
ɡ̊_#>	x_#>	0.5
ɡ̊_#>	k_#>	0.5
h	ˈʊə̯	0.5
h	ˈɑ	0.5
ˈi	ˈɪ	0.476
ˈe	ˈæ	0.471
a	ə_ɾ	0.405
a	ə	0.405
d̥_n	ə	0.4
ˈai̯	ˈi	0.389
ʃ	s_x	0.385
ˈo	ˈɔ	0.353
ˈɒː	ˈɛː	0.333
ˈɒː	ˈɑ	0.333
ˈuɐ̯	ˈu	0.333
ˈu	ˈɔ	0.333
ˈeː	ˈɪə̯	0.333
ˈa	ˈɑ	0.333
ʃ	z	0.308
ʃ	s	0.308
x	x	0.286
j	ɫ_ə	0.267
ˈeː	-	0.25
ˈi	ˈi	0.238
ˈe	ˈeː	0.235
ˈai̯	ˈiː	0.222
ə	-	0.222
s	z̥	0.212
s	t	0.212
ˈiɐ̯	-	0.2
ˈi	-	0.19
#>	n_#>	0.185
ŋ	n	0.182
f	p	0.182
ˈo	ˈʊə̯	0.176
ˈe	-	0.176
ɡ̊	k	0.174
ˈɒː	ˈæ	0.167
ˈɒː	-	0.167
ˈu	ˈøː	0.167
ˈu	ˈu	0.167
ˈeː	ˈɛː	0.167
ˈeː	ˈeː	0.167
ˈai̯	-	0.167
a	ɾ	0.135
b̥	-	0.125
ˈo	ˈʏ	0.118
ˈo	ˈɛː	0.118
ˈo	ˈɒː	0.118
ˈo	ˈɑ	0.118
ˈe	ˈʏ	0.118
d̥	d	0.114
ˈu	ˈʏ	0.111
ˈu	ˈuː	0.111
ˈu	-	0.111
ˈai̯	ˈɪ	0.111
ˈai̯	ˈyː	0.111
#>	k_#>	0.111
ˈi	ˈæ	0.095
m	v_ə	0.091
ˈeː	ˈiːə̯	0.083
#>	w_#>	0.074
s	-	0.061
d̥	t	0.057
a	-	0.054
